,open,high,low,close,adjclose,volume,ticker
2005-01-03,12.333333015441895,12.463492393493652,12.069841384887695,12.120635032653809,6.14141845703125,749700,PBCT
2005-01-04,12.123809814453125,12.13968276977539,11.752381324768066,11.882539749145508,6.020779609680176,1420800,PBCT
2005-01-05,11.84761905670166,11.936508178710938,11.777777671813965,11.80634880065918,5.982174396514893,535000,PBCT
2005-01-06,11.882539749145508,11.882539749145508,11.628571510314941,11.679365158081055,5.917834758758545,1380900,PBCT
2005-01-07,11.819047927856445,11.834920883178711,11.69523811340332,11.752381324768066,5.954831123352051,821700,PBCT
2005-01-10,11.765079498291016,11.898412704467773,11.698412895202637,11.7365083694458,5.9467878341674805,746100,PBCT
2005-01-11,11.717460632324219,11.774602890014648,11.584127426147461,11.676190376281738,5.916225910186768,542600,PBCT
2005-01-12,11.666666984558105,11.698412895202637,11.587301254272461,11.65079402923584,5.903356552124023,548300,PBCT
2005-01-13,11.606348991394043,11.74920654296875,11.587301254272461,11.587301254272461,5.871187210083008,460100,PBCT
2005-01-14,11.65396785736084,11.666666984558105,11.55555534362793,11.606348991394043,5.880837440490723,356700,PBCT
2005-01-18,11.587301254272461,11.765079498291016,11.425396919250488,11.720634460449219,5.938744068145752,1954200,PBCT
2005-01-19,11.682539939880371,11.907936096191406,11.682539939880371,11.873015403747559,6.015954971313477,657700,PBCT
2005-01-20,11.863492012023926,11.876190185546875,11.70793628692627,11.70793628692627,5.932309627532959,606900,PBCT
2005-01-21,11.774602890014648,11.869841575622559,11.733333587646484,11.822221755981445,5.9902167320251465,875000,PBCT
2005-01-24,11.74920654296875,12.120635032653809,11.733333587646484,11.936508178710938,6.048125743865967,1134800,PBCT
2005-01-25,11.866666793823242,12.126984596252441,11.853968620300293,11.857142448425293,6.007910251617432,541800,PBCT
2005-01-26,11.88888931274414,11.965079307556152,11.831746101379395,11.923809051513672,6.041689872741699,387000,PBCT
2005-01-27,11.844444274902344,11.977777481079102,11.746031761169434,11.777777671813965,5.967697620391846,658500,PBCT
2005-01-28,11.774602890014648,11.825396537780762,11.666666984558105,11.726984024047852,5.988772869110107,771300,PBCT
2005-01-31,11.714285850524902,11.968254089355469,11.714285850524902,11.755555152893066,6.003363609313965,898300,PBCT
2005-02-01,11.965079307556152,11.965079307556152,11.834920883178711,11.88888931274414,6.071454048156738,631800,PBCT
2005-02-02,11.853968620300293,11.904762268066406,11.780952453613281,11.873015403747559,6.063345909118652,326500,PBCT
2005-02-03,11.768254280090332,11.942856788635254,11.755555152893066,11.942856788635254,6.099015712738037,298800,PBCT
2005-02-04,11.815873146057129,12.009523391723633,11.809523582458496,12.0,6.128194332122803,411600,PBCT
2005-02-07,11.949206352233887,12.092063903808594,11.873015403747559,12.079364776611328,6.168728828430176,414700,PBCT
2005-02-08,11.990476608276367,12.142857551574707,11.907936096191406,12.019047737121582,6.137923717498779,269000,PBCT
2005-02-09,11.974602699279785,12.092063903808594,11.895237922668457,11.94603157043457,6.100636959075928,214400,PBCT
2005-02-10,11.996825218200684,12.006349563598633,11.895237922668457,12.006349563598633,6.131442070007324,313300,PBCT
2005-02-11,12.047618865966797,12.057143211364746,11.926983833312988,12.050793647766113,6.154137134552002,157500,PBCT
2005-02-14,11.984127044677734,12.123809814453125,11.863492012023926,11.961904525756836,6.1087422370910645,289300,PBCT
2005-02-15,12.019047737121582,12.085714340209961,11.857142448425293,12.079364776611328,6.168728828430176,727600,PBCT
2005-02-16,12.082539558410645,12.101587295532227,11.95555591583252,12.0,6.128194332122803,653300,PBCT
2005-02-17,11.952381134033203,12.117460250854492,11.926983833312988,12.003174781799316,6.129820346832275,1086700,PBCT
2005-02-18,12.133333206176758,12.133333206176758,11.933333396911621,12.034920692443848,6.146031856536865,290000,PBCT
2005-02-22,11.949206352233887,11.965079307556152,11.685714721679688,11.742856979370117,5.996879577636719,375600,PBCT
2005-02-23,11.742856979370117,11.777777671813965,11.603174209594727,11.603174209594727,5.925546646118164,213700,PBCT
2005-02-24,11.64126968383789,11.825396537780762,11.64126968383789,11.80634880065918,6.029303550720215,326300,PBCT
2005-02-25,11.758729934692383,11.993650436401367,11.673015594482422,11.952381134033203,6.103879451751709,364900,PBCT
2005-02-28,11.952381134033203,12.133333206176758,11.904762268066406,12.10793685913086,6.183318614959717,673000,PBCT
2005-03-01,12.146031379699707,12.15238094329834,12.060317039489746,12.142857551574707,6.2011518478393555,481900,PBCT
2005-03-02,12.142857551574707,12.222222328186035,12.079364776611328,12.177778244018555,6.218986511230469,389500,PBCT
2005-03-03,12.11111068725586,12.574603080749512,12.095237731933594,12.473015785217285,6.369758605957031,1380300,PBCT
2005-03-04,12.485713958740234,12.873015403747559,12.428571701049805,12.850793838500977,6.562682628631592,1069900,PBCT
2005-03-07,12.857142448425293,12.974602699279785,12.7619047164917,12.936508178710938,6.6064558029174805,1100800,PBCT
2005-03-08,12.926983833312988,13.0,12.876190185546875,12.984127044677734,6.630773544311523,725300,PBCT
2005-03-09,12.949206352233887,12.984127044677734,12.853968620300293,12.876190185546875,6.575653076171875,575100,PBCT
2005-03-10,12.841269493103027,13.01269817352295,12.841269493103027,12.974602699279785,6.625909805297852,595900,PBCT
2005-03-11,13.019047737121582,13.066666603088379,12.968254089355469,13.01269817352295,6.645364284515381,432100,PBCT
2005-03-14,13.069841384887695,13.320634841918945,13.0,13.215872764587402,6.7491254806518555,659100,PBCT
2005-03-15,13.174603462219238,13.333333015441895,13.031745910644531,13.047618865966797,6.6631975173950195,433400,PBCT
2005-03-16,13.022222518920898,13.038095474243164,12.774602890014648,12.819047927856445,6.546469688415527,992400,PBCT
2005-03-17,12.771428108215332,12.895237922668457,12.65079402923584,12.812698364257812,6.543231964111328,845400,PBCT
2005-03-18,12.882539749145508,12.974602699279785,12.74920654296875,12.94603157043457,6.611320495605469,416600,PBCT
2005-03-21,12.952381134033203,12.952381134033203,12.777777671813965,12.89206314086914,6.583759307861328,535700,PBCT
2005-03-22,12.834920883178711,12.98730182647705,12.784127235412598,12.84761905670166,6.561061382293701,311800,PBCT
2005-03-23,12.774602890014648,12.850793838500977,12.666666984558105,12.730158805847168,6.50107479095459,393700,PBCT
2005-03-24,12.70793628692627,12.88888931274414,12.682539939880371,12.682539939880371,6.476759910583496,323400,PBCT
2005-03-28,12.698412895202637,12.777777671813965,12.660317420959473,12.663492202758789,6.4670305252075195,397100,PBCT
2005-03-29,12.698412895202637,12.809523582458496,12.660317420959473,12.698412895202637,6.484865665435791,408200,PBCT
2005-03-30,12.65079402923584,12.857142448425293,12.65079402923584,12.825396537780762,6.549715995788574,489700,PBCT
2005-03-31,12.857142448425293,13.09841251373291,12.780952453613281,13.0,6.638880729675293,425800,PBCT
2005-04-01,13.09841251373291,13.168253898620605,12.968254089355469,13.022222518920898,6.650228977203369,413400,PBCT
2005-04-04,13.047618865966797,13.047618865966797,12.869841575622559,12.974602699279785,6.625909805297852,381300,PBCT
2005-04-05,12.961904525756836,13.15238094329834,12.961904525756836,13.09841251373291,6.689139366149902,315200,PBCT
2005-04-06,13.069841384887695,13.174603462219238,13.069841384887695,13.126984596252441,6.703727722167969,175900,PBCT
2005-04-07,13.095237731933594,13.184126853942871,13.095237731933594,13.184126853942871,6.73291015625,229500,PBCT
2005-04-08,13.120635032653809,13.171428680419922,12.965079307556152,13.003174781799316,6.640502452850342,124900,PBCT
2005-04-11,13.057143211364746,13.057143211364746,12.885714530944824,12.885714530944824,6.580516815185547,283700,PBCT
2005-04-12,12.869841575622559,12.930158615112305,12.7619047164917,12.920635223388672,6.598347187042236,677200,PBCT
2005-04-13,12.822221755981445,13.09841251373291,12.800000190734863,13.031745910644531,6.65509033203125,932400,PBCT
2005-04-14,13.015872955322266,13.095237731933594,12.911110877990723,12.939682960510254,6.6080780029296875,392000,PBCT
2005-04-15,12.920635223388672,12.984127044677734,12.517459869384766,12.593650817871094,6.431365966796875,427900,PBCT
2005-04-18,12.517459869384766,12.673015594482422,12.51111125946045,12.587301254272461,6.428121089935303,545100,PBCT
2005-04-19,12.647619247436523,12.74920654296875,12.546031951904297,12.74920654296875,6.510804653167725,1287300,PBCT
2005-04-20,12.809523582458496,12.86031723022461,12.603174209594727,12.720634460449219,6.496212959289551,873100,PBCT
2005-04-21,12.822221755981445,13.314285278320312,12.720634460449219,13.199999809265137,6.741017818450928,931100,PBCT
2005-04-22,13.253968238830566,13.450793266296387,13.177778244018555,13.234920501708984,6.758849143981934,880100,PBCT
2005-04-25,13.253968238830566,13.533333778381348,13.219047546386719,13.533333778381348,6.911247730255127,1225500,PBCT
2005-04-26,13.536507606506348,13.676190376281738,13.492063522338867,13.590476036071777,6.940425872802734,1185600,PBCT
2005-04-27,13.55555534362793,13.568253517150879,13.380952835083008,13.419047355651855,6.9061150550842285,649100,PBCT
2005-04-28,13.412698745727539,13.48888874053955,13.126984596252441,13.199999809265137,6.7933831214904785,793800,PBCT
2005-04-29,13.285714149475098,13.301587104797363,13.031745910644531,13.184126853942871,6.78521203994751,602400,PBCT
2005-05-02,13.120635032653809,13.492063522338867,13.120635032653809,13.48888874053955,6.9420599937438965,673000,PBCT
