,open,high,low,close,adjclose,volume,ticker
2005-01-03,490.0,490.0,482.0,482.70001220703125,352.33892822265625,1474660,C
2005-01-04,482.79998779296875,487.70001220703125,477.0,478.6000061035156,349.34625244140625,1584770,C
2005-01-05,480.5,487.79998779296875,480.20001220703125,484.6000061035156,353.72589111328125,1893350,C
2005-01-06,488.0,492.3999938964844,487.3999938964844,489.29998779296875,357.1565856933594,1804990,C
2005-01-07,491.0,491.1000061035156,486.0,486.5,355.11279296875,1280370,C
2005-01-10,485.1000061035156,487.3999938964844,480.20001220703125,483.3999938964844,352.8498840332031,1699870,C
2005-01-11,483.29998779296875,484.79998779296875,480.20001220703125,482.20001220703125,351.9739990234375,1295270,C
2005-01-12,481.0,481.8999938964844,477.1000061035156,480.70001220703125,350.8791198730469,1612300,C
2005-01-13,480.0,482.79998779296875,474.5,476.0,347.4483947753906,1543380,C
2005-01-14,477.5,478.5,474.6000061035156,475.1000061035156,346.7914123535156,1141110,C
2005-01-18,474.0,483.20001220703125,472.5,481.70001220703125,351.60919189453125,1511480,C
2005-01-19,481.0,484.3999938964844,480.1000061035156,480.3999938964844,350.66015625,1276380,C
2005-01-20,475.0,480.5,474.5,477.70001220703125,348.6893005371094,1731840,C
2005-01-21,485.0,485.0,478.5,479.29998779296875,349.8572082519531,1937040,C
2005-01-24,482.79998779296875,487.70001220703125,481.6000061035156,483.6000061035156,352.9959411621094,1598150,C
2005-01-25,485.5,487.5,483.6000061035156,485.1000061035156,354.0909729003906,1269150,C
2005-01-26,485.20001220703125,486.79998779296875,481.29998779296875,484.79998779296875,353.8719177246094,1487690,C
2005-01-27,484.8999938964844,487.70001220703125,481.0,485.6000061035156,354.455810546875,1236940,C
2005-01-28,485.0,486.1000061035156,482.1000061035156,483.79998779296875,353.1418762207031,1682050,C
2005-01-31,490.0,493.0,489.20001220703125,490.5,358.0325012207031,1914920,C
2005-02-01,493.0,496.0,491.20001220703125,494.79998779296875,361.1711120605469,1874180,C
2005-02-02,495.29998779296875,497.5,492.5,496.79998779296875,362.63104248046875,1608430,C
2005-02-03,492.3999938964844,493.5,487.5,491.5,361.9681701660156,1509990,C
2005-02-04,491.5,497.8999938964844,491.3999938964844,497.79998779296875,366.60784912109375,1404570,C
2005-02-07,497.6000061035156,499.8999938964844,495.3999938964844,497.29998779296875,366.23956298828125,946390,C
2005-02-08,498.0,498.8999938964844,494.20001220703125,494.79998779296875,364.3985595703125,1098460,C
2005-02-09,494.79998779296875,496.3999938964844,490.6000061035156,491.79998779296875,362.18914794921875,1060350,C
2005-02-10,495.0,495.0,489.5,489.79998779296875,360.7162170410156,1373160,C
2005-02-11,490.0,495.8999938964844,488.5,494.0,363.8092956542969,999570,C
2005-02-14,494.1000061035156,494.6000061035156,491.0,492.5,362.70477294921875,960370,C
2005-02-15,493.79998779296875,495.29998779296875,492.29998779296875,494.0,363.8092956542969,950090,C
2005-02-16,491.20001220703125,493.5,490.5,491.79998779296875,362.18914794921875,822810,C
2005-02-17,491.8999938964844,492.6000061035156,487.20001220703125,488.0,359.3907165527344,1412470,C
2005-02-18,485.5,487.70001220703125,483.6000061035156,485.70001220703125,357.6968688964844,1649340,C
2005-02-22,483.0,486.5,479.0,479.5,353.1307373046875,1741190,C
2005-02-23,483.29998779296875,485.0,479.70001220703125,483.79998779296875,356.2976379394531,1658700,C
