,open,high,low,close,adjclose,volume,ticker
2005-01-03,28.107173919677734,28.227832794189453,27.544092178344727,27.604421615600586,19.613279342651367,762200,DOV
2005-01-04,27.86585235595703,28.01332664489746,27.4033203125,27.47705841064453,19.52278709411621,1330300,DOV
2005-01-05,27.47705841064453,27.785411834716797,26.907272338867188,26.9407901763916,19.141756057739258,1176400,DOV
2005-01-06,26.981008529663086,26.981008529663086,26.625732421875,26.68606185913086,18.960765838623047,1395100,DOV
2005-01-07,26.625732421875,26.726282119750977,26.277156829833984,26.29726791381836,18.68453598022461,1192900,DOV
2005-01-10,26.18330955505371,26.397817611694336,26.143089294433594,26.143089294433594,18.574983596801758,1475900,DOV
2005-01-11,26.14979362487793,26.203420639038086,25.86825180053711,25.94198989868164,18.43210220336914,1654000,DOV
2005-01-12,26.042539596557617,26.50507164001465,25.995616912841797,26.50507164001465,18.83217430114746,1825600,DOV
2005-01-13,26.50507164001465,26.578807830810547,26.190013885498047,26.277156829833984,18.670238494873047,898700,DOV
2005-01-14,26.444740295410156,26.89386558532715,26.303970336914062,26.89386558532715,19.10841941833496,1240200,DOV
2005-01-18,26.89386558532715,27.041339874267578,26.3173770904541,26.639137268066406,18.927438735961914,1373900,DOV
2005-01-19,26.545291900634766,26.71957778930664,26.109573364257812,26.18330955505371,18.603561401367188,1189000,DOV
2005-01-20,26.169902801513672,26.27045440673828,25.640338897705078,25.88165855407715,18.38923454284668,1336900,DOV
2005-01-21,25.975505828857422,26.33078384399414,25.640338897705078,25.84143829345703,18.360658645629883,2030500,DOV
2005-01-24,25.801218032836914,26.230234146118164,25.640338897705078,26.01572608947754,18.484487533569336,2040900,DOV
2005-01-25,26.12298011779785,26.458147048950195,26.009023666381836,26.203420639038086,18.61785125732422,1075500,DOV
2005-01-26,25.405719757080078,25.439237594604492,24.695165634155273,24.963298797607422,17.73672103881836,5303900,DOV
2005-01-27,24.963298797607422,25.231433868408203,24.768901824951172,25.023630142211914,17.779592514038086,1779200,DOV
2005-01-28,25.11077308654785,25.231433868408203,24.72197914123535,24.923078536987305,17.70814323425293,1381900,DOV
2005-01-31,25.057146072387695,25.6872615814209,24.876155853271484,25.67385482788086,18.24158477783203,1916300,DOV
2005-02-01,25.801218032836914,25.921878814697266,25.325281143188477,25.486160278320312,18.108230590820312,2632200,DOV
2005-02-02,25.486160278320312,25.533084869384766,25.28506088256836,25.372203826904297,18.02726173400879,2380000,DOV
