,open,high,low,close,adjclose,volume,ticker
2005-01-03,34.119998931884766,34.369998931884766,33.599998474121094,33.599998474121094,14.996191024780273,888300,DRE
2005-01-04,33.709999084472656,33.79999923706055,32.97999954223633,33.18000030517578,14.808743476867676,1047900,DRE
2005-01-05,33.099998474121094,33.16999816894531,31.399999618530273,32.0,14.282079696655273,1107700,DRE
2005-01-06,31.899999618530273,32.400001525878906,31.809999465942383,32.0,14.282079696655273,634300,DRE
2005-01-07,32.150001525878906,32.400001525878906,31.899999618530273,32.0099983215332,14.286548614501953,318200,DRE
2005-01-10,32.02000045776367,32.189998626708984,31.709999084472656,32.060001373291016,14.30886459350586,649100,DRE
2005-01-11,32.0,32.119998931884766,31.5,31.75,14.170503616333008,648100,DRE
2005-01-12,31.959999084472656,32.15999984741211,31.149999618530273,31.790000915527344,14.188358306884766,811900,DRE
2005-01-13,31.790000915527344,32.18000030517578,31.719999313354492,31.850000381469727,14.215137481689453,518800,DRE
2005-01-14,32.4900016784668,32.70000076293945,32.09000015258789,32.5,14.505241394042969,567800,DRE
2005-01-18,32.5099983215332,33.13999938964844,32.2400016784668,33.13999938964844,14.790885925292969,475200,DRE
2005-01-19,33.2400016784668,33.52000045776367,32.81999969482422,32.970001220703125,14.715014457702637,811900,DRE
2005-01-20,32.970001220703125,33.20000076293945,32.5,32.7400016784668,14.612359046936035,490300,DRE
2005-01-21,32.900001525878906,33.09000015258789,32.59000015258789,32.810001373291016,14.643595695495605,284500,DRE
2005-01-24,32.810001373291016,32.97999954223633,32.33000183105469,32.400001525878906,14.460616111755371,336900,DRE
2005-01-25,32.54999923706055,32.59000015258789,31.559999465942383,31.59000015258789,14.09909439086914,476100,DRE
2005-01-26,31.399999618530273,31.84000015258789,31.389999389648438,31.799999237060547,14.19282054901123,827100,DRE
2005-01-27,31.700000762939453,31.719999313354492,30.850000381469727,31.049999237060547,13.858084678649902,545200,DRE
2005-01-28,31.25,31.520000457763672,30.809999465942383,31.079999923706055,13.871476173400879,524700,DRE
2005-01-31,31.479999542236328,31.68000030517578,30.65999984741211,31.100000381469727,13.880398750305176,627600,DRE
2005-02-01,31.139999389648438,31.360000610351562,30.889999389648438,31.15999984741211,13.907175064086914,521800,DRE
2005-02-02,31.149999618530273,31.700000762939453,31.110000610351562,31.690000534057617,14.143725395202637,676300,DRE
2005-02-03,31.649999618530273,31.989999771118164,31.649999618530273,31.770000457763672,14.179428100585938,533200,DRE
2005-02-04,31.979999542236328,32.599998474121094,31.850000381469727,32.56999969482422,14.536481857299805,587200,DRE
2005-02-07,32.5099983215332,32.68000030517578,32.27000045776367,32.27000045776367,14.402589797973633,356900,DRE
2005-02-08,32.470001220703125,32.5,32.130001068115234,32.369998931884766,14.447223663330078,486100,DRE
2005-02-09,32.47999954223633,32.81999969482422,32.36000061035156,32.790000915527344,14.634673118591309,569800,DRE
2005-02-10,32.290000915527344,32.33000183105469,31.950000762939453,32.33000183105469,14.636943817138672,453200,DRE
2005-02-11,32.22999954223633,32.290000915527344,31.860000610351562,32.13999938964844,14.550921440124512,382000,DRE
2005-02-14,32.040000915527344,32.290000915527344,32.0099983215332,32.20000076293945,14.578082084655762,417300,DRE
2005-02-15,32.189998626708984,32.5,32.099998474121094,32.380001068115234,14.659573554992676,471800,DRE
2005-02-16,32.52000045776367,32.599998474121094,32.20000076293945,32.599998474121094,14.759176254272461,412300,DRE
