,open,high,low,close,adjclose,volume,ticker
2005-01-03,24.8700008392334,24.875,24.399999618530273,24.450000762939453,14.530957221984863,4230000,GIS
2005-01-04,24.565000534057617,24.6200008392334,24.235000610351562,24.375,14.486382484436035,3371200,GIS
2005-01-05,24.274999618530273,24.950000762939453,24.219999313354492,24.875,14.783540725708008,7397200,GIS
2005-01-06,24.834999084472656,24.950000762939453,24.709999084472656,24.899999618530273,14.891186714172363,4572800,GIS
2005-01-07,24.9950008392334,25.475000381469727,24.985000610351562,25.469999313354492,15.232068061828613,10910400,GIS
2005-01-10,25.25,25.604999542236328,25.25,25.549999237060547,15.279911041259766,6671000,GIS
2005-01-11,25.350000381469727,25.5,25.299999237060547,25.489999771118164,15.244028091430664,6334600,GIS
2005-01-12,25.549999237060547,25.6200008392334,25.18000030517578,25.479999542236328,15.238051414489746,5076400,GIS
2005-01-13,25.364999771118164,25.469999313354492,25.235000610351562,25.295000076293945,15.127405166625977,3031200,GIS
2005-01-14,25.424999237060547,25.434999465942383,25.225000381469727,25.31999969482422,15.142359733581543,3024200,GIS
2005-01-18,25.25,25.924999237060547,25.200000762939453,25.90999984741211,15.495205879211426,5306000,GIS
2005-01-19,26.0,26.200000762939453,25.93000030517578,26.09000015258789,15.602856636047363,7021000,GIS
2005-01-20,25.950000762939453,26.295000076293945,25.950000762939453,26.174999237060547,15.65368938446045,6140600,GIS
2005-01-21,26.149999618530273,26.149999618530273,25.915000915527344,25.954999923706055,15.522114753723145,4454800,GIS
2005-01-24,25.975000381469727,26.0,25.760000228881836,25.920000076293945,15.50118637084961,4154200,GIS
2005-01-25,25.924999237060547,26.094999313354492,25.774999618530273,25.94499969482422,15.516138076782227,5205400,GIS
2005-01-26,25.985000610351562,26.114999771118164,25.950000762939453,26.040000915527344,15.572953224182129,3791200,GIS
2005-01-27,26.0,26.350000381469727,25.950000762939453,26.34000015258789,15.752368927001953,3970200,GIS
2005-01-28,26.34000015258789,26.94499969482422,26.25,26.450000762939453,15.818143844604492,8033800,GIS
2005-01-31,26.450000762939453,26.655000686645508,26.360000610351562,26.4950008392334,15.845060348510742,4098800,GIS
2005-02-01,26.25,26.770000457763672,26.15999984741211,26.68000030517578,15.955699920654297,4986000,GIS
2005-02-02,26.69499969482422,26.770000457763672,26.475000381469727,26.549999237060547,15.877947807312012,3177800,GIS
