,open,high,low,close,adjclose,volume,ticker
2005-01-03,25.885000228881836,25.9950008392334,25.420000076293945,25.475000381469727,13.619750022888184,3456400,PEG
2005-01-04,25.479999542236328,25.604999542236328,25.25,25.260000228881836,13.504800796508789,3309600,PEG
2005-01-05,25.125,25.375,24.895000457763672,24.924999237060547,13.32569694519043,3945400,PEG
2005-01-06,24.850000381469727,25.049999237060547,24.65999984741211,24.975000381469727,13.352437973022461,2634000,PEG
2005-01-07,24.90999984741211,25.19499969482422,24.799999237060547,24.834999084472656,13.277585983276367,3748200,PEG
2005-01-10,24.81999969482422,25.21500015258789,24.81999969482422,25.09000015258789,13.413915634155273,2249600,PEG
2005-01-11,24.979999542236328,25.145000457763672,24.75,24.844999313354492,13.28293514251709,1969600,PEG
2005-01-12,24.950000762939453,25.145000457763672,24.829999923706055,25.084999084472656,13.411245346069336,2892800,PEG
2005-01-13,25.104999542236328,25.559999465942383,25.09000015258789,25.299999237060547,13.526190757751465,1811200,PEG
2005-01-14,25.299999237060547,25.59000015258789,25.145000457763672,25.405000686645508,13.582322120666504,1695400,PEG
2005-01-18,25.30500030517578,25.790000915527344,25.30500030517578,25.780000686645508,13.782811164855957,1493000,PEG
2005-01-19,25.780000686645508,25.81999969482422,25.489999771118164,25.489999771118164,13.627768516540527,1723000,PEG
2005-01-20,25.450000762939453,25.5,25.219999313354492,25.264999389648438,13.507476806640625,2126200,PEG
2005-01-21,25.264999389648438,25.399999618530273,25.05500030517578,25.145000457763672,13.443321228027344,1355400,PEG
2005-01-24,25.100000381469727,25.59000015258789,25.079999923706055,25.3799991607666,13.568955421447754,1739800,PEG
2005-01-25,25.375,25.600000381469727,25.295000076293945,25.299999237060547,13.526190757751465,1876400,PEG
2005-01-26,25.299999237060547,25.94499969482422,25.295000076293945,25.875,13.83360481262207,2007200,PEG
2005-01-27,25.774999618530273,26.19499969482422,25.700000762939453,25.975000381469727,13.88707160949707,2213800,PEG
2005-01-28,25.950000762939453,26.170000076293945,25.770000457763672,26.100000381469727,13.953897476196289,1681200,PEG
2005-01-31,26.100000381469727,26.40999984741211,26.0049991607666,26.375,14.100922584533691,1287600,PEG
2005-02-01,26.375,26.834999084472656,26.295000076293945,26.799999237060547,14.328141212463379,2465800,PEG
2005-02-02,26.719999313354492,26.864999771118164,26.584999084472656,26.71500015258789,14.282691955566406,1767400,PEG
2005-02-03,26.524999618530273,26.860000610351562,26.389999389648438,26.860000610351562,14.360214233398438,1516400,PEG
2005-02-04,26.959999084472656,27.200000762939453,26.924999237060547,27.100000381469727,14.488532066345215,1752600,PEG
