,open,high,low,close,adjclose,volume,ticker
2005-01-03,17.299999237060547,17.540000915527344,16.84000015258789,16.989999771118164,14.82005500793457,797400,PRGO
2005-01-04,16.90999984741211,17.0,16.450000762939453,16.549999237060547,14.43625259399414,674100,PRGO
2005-01-05,16.469999313354492,16.790000915527344,16.389999389648438,16.420000076293945,14.32284927368164,409200,PRGO
2005-01-06,16.56999969482422,16.739999771118164,16.399999618530273,16.5,14.392632484436035,445900,PRGO
2005-01-07,16.639999389648438,16.639999389648438,16.18000030517578,16.25,14.17456340789795,548200,PRGO
2005-01-10,16.209999084472656,16.459999084472656,16.059999465942383,16.360000610351562,14.27051830291748,487400,PRGO
2005-01-11,16.31999969482422,16.450000762939453,16.299999237060547,16.350000381469727,14.261792182922363,583600,PRGO
2005-01-12,16.350000381469727,16.549999237060547,16.239999771118164,16.510000228881836,14.401358604431152,439300,PRGO
2005-01-13,16.610000610351562,16.649999618530273,16.280000686645508,16.40999984741211,14.314129829406738,521700,PRGO
2005-01-14,16.530000686645508,16.899999618530273,16.5,16.809999465942383,14.663043975830078,682600,PRGO
2005-01-18,16.81999969482422,17.190000534057617,16.329999923706055,17.139999389648438,14.950896263122559,851900,PRGO
2005-01-19,17.239999771118164,17.270000457763672,17.0,17.1299991607666,14.942170143127441,711700,PRGO
2005-01-20,17.100000381469727,17.260000228881836,16.809999465942383,17.149999618530273,14.959615707397461,490800,PRGO
2005-01-21,17.270000457763672,17.329999923706055,17.049999237060547,17.200000762939453,15.003235816955566,686100,PRGO
2005-01-24,17.239999771118164,17.450000762939453,17.079999923706055,17.309999465942383,15.0991849899292,670000,PRGO
2005-01-25,17.43000030517578,17.5,17.200000762939453,17.299999237060547,15.090460777282715,570900,PRGO
2005-01-26,17.440000534057617,17.549999237060547,17.280000686645508,17.3799991607666,15.160239219665527,521000,PRGO
2005-01-27,17.399999618530273,17.520000457763672,17.239999771118164,17.399999618530273,15.177690505981445,591500,PRGO
2005-01-28,17.510000228881836,17.510000228881836,17.100000381469727,17.40999984741211,15.186406135559082,670900,PRGO
2005-01-31,17.5,17.56999969482422,16.969999313354492,17.149999618530273,14.959615707397461,925600,PRGO
2005-02-01,16.260000228881836,18.739999771118164,16.25,17.920000076293945,15.631270408630371,2248300,PRGO
2005-02-02,17.81999969482422,17.989999771118164,17.3700008392334,17.68000030517578,15.421931266784668,1137300,PRGO
2005-02-03,17.510000228881836,17.600000381469727,17.190000534057617,17.420000076293945,15.195131301879883,995900,PRGO
2005-02-04,17.34000015258789,17.530000686645508,17.299999237060547,17.5,15.26491928100586,619700,PRGO
2005-02-07,17.479999542236328,17.510000228881836,17.270000457763672,17.440000534057617,15.212581634521484,456500,PRGO
2005-02-08,17.5,17.719999313354492,17.399999618530273,17.530000686645508,15.2910795211792,432300,PRGO
2005-02-09,17.469999313354492,17.760000228881836,17.469999313354492,17.469999313354492,15.238747596740723,488300,PRGO
2005-02-10,17.579999923706055,17.600000381469727,17.31999969482422,17.399999618530273,15.177690505981445,915200,PRGO
2005-02-11,17.399999618530273,17.6200008392334,16.950000762939453,17.329999923706055,15.11662483215332,439300,PRGO
2005-02-14,17.350000381469727,17.649999618530273,17.350000381469727,17.479999542236328,15.247471809387207,567100,PRGO
2005-02-15,17.40999984741211,17.459999084472656,17.06999969482422,17.260000228881836,15.055570602416992,411400,PRGO
2005-02-16,17.18000030517578,17.809999465942383,17.15999984741211,17.780000686645508,15.509159088134766,809700,PRGO
2005-02-17,17.8700008392334,18.15999984741211,17.780000686645508,17.90999984741211,15.622556686401367,1178400,PRGO
2005-02-18,18.059999465942383,18.1299991607666,17.860000610351562,18.110000610351562,15.79701042175293,636700,PRGO
2005-02-22,18.0,18.049999237060547,17.690000534057617,17.690000534057617,15.430647850036621,536300,PRGO
2005-02-23,17.700000762939453,17.84000015258789,17.489999771118164,17.600000381469727,15.386942863464355,348000,PRGO
2005-02-24,17.510000228881836,17.600000381469727,17.25,17.579999923706055,15.369450569152832,436300,PRGO
2005-02-25,17.520000457763672,17.790000915527344,17.350000381469727,17.790000915527344,15.553041458129883,615800,PRGO
2005-02-28,17.639999389648438,17.809999465942383,17.56999969482422,17.56999969482422,15.360715866088867,499700,PRGO
2005-03-01,17.56999969482422,17.700000762939453,17.329999923706055,17.389999389648438,15.203348159790039,497800,PRGO
2005-03-02,17.3799991607666,17.56999969482422,17.309999465942383,17.420000076293945,15.22956657409668,328600,PRGO
2005-03-03,17.440000534057617,17.440000534057617,17.270000457763672,17.299999237060547,15.12465763092041,532200,PRGO
2005-03-04,17.350000381469727,17.399999618530273,17.06999969482422,17.25,15.080952644348145,488300,PRGO
2005-03-07,17.25,17.780000686645508,17.25,17.649999618530273,15.43065357208252,586000,PRGO
2005-03-08,17.790000915527344,17.790000915527344,17.5,17.520000457763672,15.316997528076172,437400,PRGO
2005-03-09,17.440000534057617,17.790000915527344,17.399999618530273,17.639999389648438,15.421905517578125,498000,PRGO
2005-03-10,17.6200008392334,17.799999237060547,17.450000762939453,17.510000228881836,15.30825424194336,485500,PRGO
2005-03-11,17.440000534057617,17.739999771118164,17.440000534057617,17.729999542236328,15.500595092773438,392400,PRGO
2005-03-14,18.020000457763672,18.450000762939453,18.020000457763672,18.360000610351562,16.051366806030273,807100,PRGO
2005-03-15,18.920000076293945,19.079999923706055,18.649999618530273,18.719999313354492,16.36611557006836,1065400,PRGO
2005-03-16,18.579999923706055,18.920000076293945,18.579999923706055,18.860000610351562,16.488502502441406,729800,PRGO
2005-03-17,19.15999984741211,19.530000686645508,19.020000457763672,19.309999465942383,16.881921768188477,1037100,PRGO
2005-03-18,19.450000762939453,19.739999771118164,19.239999771118164,19.65999984741211,17.187910079956055,1953300,PRGO
2005-03-21,19.690000534057617,19.829999923706055,19.6200008392334,19.739999771118164,17.257850646972656,881200,PRGO
2005-03-22,19.780000686645508,19.889999389648438,19.56999969482422,19.639999389648438,17.17042350769043,496700,PRGO
2005-03-23,19.540000915527344,19.649999618530273,19.43000030517578,19.510000228881836,17.0567626953125,554300,PRGO
2005-03-24,19.510000228881836,19.790000915527344,19.510000228881836,19.600000381469727,17.135454177856445,349700,PRGO
2005-03-28,19.420000076293945,19.540000915527344,19.110000610351562,19.239999771118164,16.82071876525879,610600,PRGO
2005-03-29,19.09000015258789,19.09000015258789,18.700000762939453,18.790000915527344,16.427303314208984,646300,PRGO
2005-03-30,18.709999084472656,19.299999237060547,18.700000762939453,19.270000457763672,16.846952438354492,340200,PRGO
2005-03-31,19.299999237060547,19.299999237060547,18.979999542236328,19.149999618530273,16.742034912109375,424600,PRGO
2005-04-01,19.15999984741211,19.25,18.700000762939453,18.889999389648438,16.514724731445312,297800,PRGO
2005-04-04,18.649999618530273,18.959999084472656,18.579999923706055,18.8799991607666,16.505990982055664,361300,PRGO
2005-04-05,18.84000015258789,19.040000915527344,18.75,19.0,16.610897064208984,386600,PRGO
2005-04-06,18.950000762939453,19.59000015258789,18.860000610351562,19.43000030517578,16.98682975769043,598600,PRGO
2005-04-07,19.290000915527344,19.3700008392334,19.0,19.309999465942383,16.881921768188477,419000,PRGO
2005-04-08,19.25,19.25,18.969999313354492,18.989999771118164,16.602157592773438,610700,PRGO
2005-04-11,19.059999465942383,19.40999984741211,18.8700008392334,18.979999542236328,16.593408584594727,427000,PRGO
2005-04-12,18.90999984741211,19.190000534057617,18.760000228881836,19.110000610351562,16.707067489624023,437200,PRGO
2005-04-13,19.040000915527344,19.139999389648438,18.81999969482422,19.0,16.610897064208984,600200,PRGO
2005-04-14,19.0,19.329999923706055,18.90999984741211,19.0,16.610897064208984,233200,PRGO
2005-04-15,19.0,19.389999389648438,18.809999465942383,18.90999984741211,16.5322208404541,297900,PRGO
2005-04-18,19.010000228881836,19.010000228881836,18.459999084472656,18.850000381469727,16.479759216308594,650400,PRGO
2005-04-19,18.899999618530273,19.059999465942383,18.770000457763672,19.049999237060547,16.65460968017578,584700,PRGO
2005-04-20,18.850000381469727,19.0,18.450000762939453,18.549999237060547,16.21748161315918,627900,PRGO
2005-04-21,18.600000381469727,18.760000228881836,18.459999084472656,18.600000381469727,16.261205673217773,394600,PRGO
2005-04-22,18.649999618530273,18.649999618530273,18.149999618530273,18.200000762939453,15.911489486694336,539500,PRGO
2005-04-25,18.280000686645508,18.43000030517578,18.1200008392334,18.270000457763672,15.97268295288086,528700,PRGO
2005-04-26,18.149999618530273,18.549999237060547,17.920000076293945,18.049999237060547,15.780352592468262,370100,PRGO
2005-04-27,17.959999084472656,18.3799991607666,17.799999237060547,18.280000686645508,15.981436729431152,319100,PRGO
2005-04-28,18.299999237060547,18.399999618530273,17.8799991607666,17.90999984741211,15.65796184539795,415600,PRGO
2005-04-29,18.0,18.389999389648438,17.860000610351562,18.31999969482422,16.016403198242188,326400,PRGO
2005-05-02,18.149999618530273,18.270000457763672,17.969999313354492,18.260000228881836,15.963948249816895,313300,PRGO
