date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-10-31,2.297,,,50.4589,4.6105,4.6105,8.4525,6.2113,6.9797,0.694,3.7925,6.91,52.8218,4.6802,5.1124,2.8292,4.6802,8.1133,1.798,1.666
2006-10-31,2.5735,0.2914,0.4112,53.4486,9.3304,9.3304,12.7488,12.6081,66.4991,0.6749,3.6922,7.1864,50.7903,39.3915,45.1887,19.5006,27.9138,8.9412,0.3604,0.1785
2007-10-31,2.2075,0.3922,0.6453,54.7786,10.7749,10.7749,14.2989,12.3616,11.7712,0.7175,3.8118,7.3742,49.4972,19.7279,25.5404,8.4459,11.9902,8.7405,0.9491,0.5494
2008-10-31,2.3925,0.4537,0.8304,55.3516,13.7686,13.7686,17.2497,14.115,12.0021,0.824,3.9907,7.4987,48.6751,27.0809,41.1276,9.8901,14.7951,7.3114,0.349,0.3765
2009-10-31,3.5272,0.536,1.1555,51.1493,1.0489,1.0489,4.6641,0.1562,0.6918,0.5887,3.9656,7.5311,48.4657,1.2331,1.8322,0.4073,0.5722,7.2659,0.8585,0.8483
2010-10-31,2.001,0.4036,1.1406,53.8207,10.3968,10.3968,14.1073,12.7112,12.5643,0.5615,3.5112,6.2647,58.2632,21.1372,53.1882,7.0545,12.606,9.3526,0.8548,0.8989
2011-10-31,3.0316,0.3092,0.5063,53.3485,16.1905,16.1905,20.0151,15.6009,15.2986,0.7304,3.4365,7.6919,47.4528,23.4476,43.6207,11.1737,16.1972,12.438,1.5153,1.3594
2012-10-31,2.4453,0.2894,0.4555,52.5518,16.3167,16.3167,20.7057,15.2085,16.8125,0.6509,3.2091,7.4301,49.1244,22.2372,107.3557,10.9434,15.801,14.9856,0.0705,0.1412
2013-10-31,3.1105,0.3379,0.5103,48.9728,9.9127,9.9127,19.4659,7.5244,18.8495,0.3644,1.864,4.3315,84.2668,4.2541,16.9683,2.1056,2.8167,15.8829,0.1397,0.1495
2014-10-31,3.2559,0.2387,0.3135,48.8142,10.3508,10.3508,19.2935,5.6571,13.5623,0.3743,3.6098,6.4665,56.4452,4.3741,10.8008,2.1452,3.33,15.8328,1.1764,1.1821
2015-10-31,3.7766,0.2841,0.3969,50.5448,12.9272,12.9272,19.1927,11.8871,9.9307,0.5399,3.6913,6.6634,54.7771,10.5036,32.2296,5.8564,7.5193,12.5602,0.6343,0.326
2016-10-31,3.8466,0.3096,0.4484,52.2846,14.6359,14.6359,20.4902,12.9462,10.9948,0.5391,3.7617,6.6593,54.8108,10.8808,35.1866,5.9276,7.5122,13.1049,0.8819,0.7162
2017-10-31,3.3009,0.2714,0.4159,53.6449,18.0456,18.0456,22.7862,17.9562,15.2952,0.5307,3.6052,6.1768,59.0921,14.1469,36.6363,8.1177,10.3074,15.0155,0.3167,0.1993
2018-10-31,3.2861,0.2824,0.3936,54.5381,18.3964,18.3964,22.6699,19.2511,6.4306,0.5753,3.5016,6.3325,57.6394,6.9131,28.5456,3.6998,4.9608,14.3742,0.6176,0.616
2019-10-31,1.5332,0.2739,0.507,54.3289,18.2258,18.2258,22.8356,17.7997,20.7438,0.5462,3.4728,5.5516,65.7467,22.5569,2231.25,11.3309,16.3787,15.3657,0.1339,0.0798
2020-10-31,2.3279,0.3191,0.4841,53.1373,15.8457,15.8457,21.6145,15.7707,13.4669,0.5546,3.475,5.1435,70.9627,14.7548,163.4091,7.4686,10.0461,15.9248,0.2588,0.1496
