date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-11-30,4.1811,,,94.2747,37.0455,37.0455,41.2552,38.9446,30.6582,0.8058,,9.6036,38.0067,32.3355,34.863,24.7033,32.3355,3.8146,1.4927,1.3965
2006-11-30,4.2585,,,88.6438,21.4069,21.4069,33.3598,26.3941,19.6408,0.4319,,6.3017,57.9207,9.818,20.265,8.4831,9.818,8.7732,0.0227,0.0625
2007-11-30,3.0183,,,88.768,27.157,27.157,37.1467,29.9945,22.9207,0.5527,,9.9259,36.7724,15.5658,33.9141,12.668,15.5658,8.1377,0.9367,0.8521
2008-11-30,3.5866,0.0735,0.0794,89.8704,28.7235,28.7235,36.2732,30.1269,24.3531,0.6149,,7.6619,47.6385,19.7674,42.3074,14.9755,18.3141,8.3829,0.072,0.0552
2009-11-30,2.9289,0.1698,0.2045,89.9271,23.4402,23.4402,33.0273,23.8138,13.1204,0.4045,,7.1696,50.9091,7.9031,44.4983,5.3075,6.5615,9.3571,0.2281,0.2497
2010-11-30,3.011,0.2257,0.2932,89.3815,26.1335,26.1335,33.8372,24.8198,20.3863,0.4668,,6.8551,53.2447,14.9195,75.8183,9.5156,11.552,10.3455,0.0101,0.026
2011-11-30,3.0153,0.2065,0.2619,89.6147,26.0729,26.0729,32.4815,24.5533,19.7532,0.4689,,6.6463,54.9175,14.4014,59.9874,9.2629,11.4273,11.7653,0.9459,0.7901
2012-11-30,3.4575,0.1834,0.2263,89.0141,26.8001,26.8001,33.6073,25.4059,18.9109,0.4386,,7.1345,51.1595,12.4944,41.9136,8.2944,10.2029,13.4887,0.0797,0.2016
2013-11-30,2.6519,0.1823,0.2251,85.5358,10.4241,10.4241,18.3454,8.7822,7.1509,0.3907,,6.7608,53.988,4.3123,21.5218,2.7936,3.5261,13.5506,0.74,0.5204
2014-11-30,1.845,0.1185,0.2235,84.9995,9.9513,9.9513,17.513,8.714,6.4719,0.3845,,7.0075,52.0867,3.961,16.9411,2.4884,3.4915,13.6204,0.2891,0.317
2015-11-30,2.1783,0.2141,0.2724,84.4789,18.8321,18.8321,25.9111,18.2208,13.1279,0.4089,,7.1361,51.1483,8.9916,55.9754,5.3686,7.0666,14.0648,0.3655,0.4065
2016-11-30,2.077,0.2031,0.2548,85.9951,25.5123,25.5123,31.1753,24.5137,19.9641,0.4611,,7.0278,51.9362,15.7415,72.8687,9.205,12.5446,15.0223,1.4645,1.311
2017-11-30,2.0547,0.1819,0.2224,86.1605,29.6938,29.6938,34.1586,29.2767,23.2001,0.5023,,5.9948,60.8859,20.0234,75.1983,11.6539,16.3805,17.2207,1.4507,1.4994
2018-11-30,1.1292,0.3058,0.4406,86.7663,31.4507,31.4507,35.2824,30.9413,28.6932,0.4811,,6.8639,53.1767,27.6754,78.8033,13.8049,19.2112,19.1979,2.2777,2.097
2019-11-30,0.7929,0.0859,0.393,85.0237,29.2543,29.2543,36.0308,28.6904,26.4166,0.5381,,7.2775,50.1544,28.0247,156.8013,14.2135,25.6185,21.8012,0.8974,0.6308
2020-11-30,1.4779,0.2369,0.3104,86.618,32.9266,32.9266,38.8095,32.4526,40.8766,0.5299,,9.2046,39.6542,39.6562,452.2786,21.6604,30.2629,27.691,2.8205,2.7593
