date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-06-30,1.7017,0.0129,0.0131,48.3747,19.6924,19.6924,25.3291,20.1882,17.2133,0.222,,2.938,124.2344,13.4961,25.8272,2.8267,13.3217,9.9688,2.4297,2.1695
2006-06-30,2.0503,0.0122,0.0124,47.2804,18.9918,18.9918,23.6936,19.9134,22.7339,0.2487,,9.0875,40.1652,14.0046,23.9912,3.0626,13.8336,10.7082,0.6937,0.5079
2007-06-30,1.0679,0.0084,0.0085,47.5987,19.3141,19.3141,23.5359,20.8141,14.5987,0.2927,,7.4863,48.7556,19.8372,48.4831,3.8321,19.671,9.6079,0.7968,0.6606
2008-06-30,1.0846,0.0101,0.0102,46.6755,19.6641,19.6641,23.7975,20.6488,14.1486,0.368,,8.4416,43.2382,22.7178,57.1167,4.8693,22.4875,9.969,1.0349,1.0027
2009-06-30,1.1035,0.008,0.008,45.4347,20.6531,20.6531,24.7941,21.4982,15.0774,0.3486,,8.4119,43.3908,24.8957,55.9492,5.2269,24.6976,10.6091,0.2721,0.1913
2010-06-30,1.1129,0.0072,0.0073,43.6619,19.8327,19.8327,23.9379,20.8699,13.569,0.3324,,7.9167,46.1049,22.0354,47.2858,4.4944,21.8765,11.136,0.2501,0.3132
2011-06-30,1.0671,0.0057,0.0057,41.9465,18.4074,18.4074,22.1519,19.5058,12.755,0.2872,,7.2047,50.6612,20.7141,56.0533,3.6363,20.5969,12.2461,0.0837,0.0569
2012-06-30,1.0869,0.0027,0.0027,41.4472,18.2966,18.2966,21.8765,19.836,13.1047,0.3438,,7.6133,47.9426,22.4926,58.18,4.4624,22.431,12.627,0.4577,0.6573
2013-06-30,1.0599,0.0024,0.0024,40.9648,17.2082,17.2082,20.7085,18.1116,14.8888,0.2926,,5.9186,61.6696,18.1295,44.7537,3.4777,18.0866,12.8262,0.643,0.7508
2014-06-30,1.1376,0.0017,0.3275,40.9274,17.7492,17.7492,21.2792,18.376,14.8234,0.319,,6.8231,53.4951,18.6291,28.9266,3.8759,18.5971,13.8905,0.5323,0.4493
2015-06-30,1.0625,0.0019,0.0019,41.2388,18.412,18.412,21.8695,18.9304,13.2788,0.3304,,7.0712,51.6176,28.6264,54.8013,4.1573,28.5717,10.3098,0.3786,0.4243
2016-06-30,1.1019,0.3094,0.448,41.3746,18.7739,18.7739,22.0539,19.1527,12.7916,0.2672,,6.6949,54.5195,33.3229,65.9221,3.4197,23.0133,9.8345,0.0161,0.0648
2017-06-30,1.0953,0.3349,0.5035,41.4444,19.0244,19.0244,28.6421,21.1518,14.4504,0.3328,,7.2623,50.2598,44.9535,110.6449,4.8085,29.8993,8.9371,0.5884,0.3879
2018-06-30,1.0464,0.2972,0.4228,41.5603,19.266,19.266,28.9577,17.1958,14.1997,0.3417,,6.69,54.5594,39.8003,117.366,4.8519,27.9729,10.7928,0.9527,1.0221
2019-06-30,1.0526,0.2705,0.3708,43.1504,21.4341,21.4341,30.8819,21.3009,16.2492,0.3369,,5.7845,63.0994,42.4601,114.3314,5.4737,30.975,12.4364,0.4695,0.5813
2020-06-30,1.0477,0.1485,0.3485,42.1164,21.5335,21.5335,31.4391,21.8139,16.9057,0.3725,,5.9762,61.0752,42.8793,110.7544,6.2976,36.5137,13.3803,0.8505,0.8715
