date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-01-31,1.6694,,,86.3024,18.7021,18.7021,22.8913,19.6223,17.8465,1.0847,13.576,6.2952,57.9805,34.1151,46.8234,19.3574,34.1151,2.8475,1.5113,1.3462
2006-01-31,1.531,,,88.8694,24.6227,24.6227,27.4655,25.4814,21.7018,1.1338,12.0493,5.8806,62.0681,41.5442,76.6897,24.6054,41.5442,3.4974,0.1663,0.2485
2007-01-31,2.0719,,,88.1672,19.0075,19.0075,21.9154,19.9206,15.7463,1.0235,,6.1062,59.7752,25.9821,40.895,16.1168,25.9821,4.8248,0.6933,0.631
2008-01-31,2.029,,,90.437,20.5166,20.5166,23.339,21.64,16.4004,0.9818,,5.6194,64.9535,28.9476,49.2874,16.1016,28.9476,5.35,0.5568,0.5231
2009-01-31,1.7348,,0.0397,90.5365,10.5606,10.5606,20.0933,10.9062,7.9302,0.9564,,7.315,49.8974,14.0078,28.0348,7.5846,14.0078,5.7893,0.3466,0.5085
2010-01-31,1.9597,,,88.8079,3.828,3.828,11.5598,4.9425,3.3845,0.7003,,6.1777,59.0833,3.9362,6.8835,2.3701,3.9362,6.4373,1.5178,1.3135
2011-01-31,1.9709,,,89.9273,13.9051,13.9051,19.3053,13.9359,10.8618,0.7002,,6.13,59.543,13.1734,21.2425,7.6051,13.1734,7.0894,1.2458,1.2615
2012-01-31,1.9871,,,89.6597,16.0498,16.0498,21.2629,16.3793,12.8769,0.6864,,5.6077,65.0891,15.1522,25.5668,8.8388,15.1522,8.3351,0.1491,0.0001
2013-01-31,2.4455,0.2674,0.3649,89.6852,13.2298,13.2298,18.757,13.4072,10.6998,0.5367,,4.6702,78.1557,12.1085,22.5792,5.7423,8.8712,9.1377,0.0452,0.0186
2014-01-31,2.6458,0.2481,0.33,87.937,12.5247,12.5247,18.1934,12.3093,10.062,0.4949,,5.3668,68.0111,10.1172,19.2512,4.9793,7.6066,9.9757,0.0413,0.0051
2015-01-31,1.9079,0.2509,0.3349,86.3825,4.8046,4.8046,10.6122,3.3039,3.2561,0.5117,,5.4744,66.674,3.686,12.0916,1.6661,2.7614,9.7762,0.5948,0.5495
2016-01-31,1.8813,0.4788,0.9186,85.1963,0.0519,0.0519,5.8744,0.8107,13.1984,0.454,,3.8312,95.2694,20.4063,2394.961,5.9924,10.6362,7.2175,1.2172,1.2127
2017-01-31,1.1259,0.5982,2.032,83.1659,24.5987,24.5987,17.745,25.7903,28.6608,0.4233,,4.4904,81.2848,79.3484,66.6629,12.1319,31.8854,3.33,1.0699,1.0908
2018-01-31,0.8845,1.1925,6.1953,85.2475,24.7545,24.7545,19.4836,27.0981,27.5649,0.5,,4.6933,77.7706,221.4453,29.7851,13.7811,42.6241,1.1727,0.7579,0.6476
2019-01-31,0.704,1.1124,9.899,88.8746,0.9728,0.9728,2.7317,1.6616,3.1442,0.5434,,5.4181,67.3669,38.312,2.9198,1.7085,4.3052,0.9613,1.7186,1.6435
2020-01-31,0.8261,1.093,14.9878,90.0773,10.4755,10.4755,14.3634,9.0035,6.551,0.5299,,5.0196,72.7146,154.2055,8.0791,3.4713,14.3382,0.634,4.6373,4.7043
2021-01-31,0.8293,0.629,1.6957,91.1065,16.5972,16.5972,19.8633,14.4233,31.8753,0.5207,,5.894,61.9279,125.1372,66.0363,16.5966,46.421,4.3966,0.111,0.0601
