date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.5348,1.2565,,13.985,13.985,26.0275,13.985,9.6313,0.1275,,,,12.1378,13.3936,1.2282,5.6459,627.4573,178.2489,128.2984
2006-12-31,,0.571,1.4623,,26.4845,29.7098,43.064,19.1265,12.3894,0.1158,,,,13.7829,15.0609,1.4309,5.9133,781.7712,130.5783,129.4955
2007-12-31,,0.6297,1.8377,,16.0279,20.6124,35.3231,7.8489,5.9827,0.0989,,,,7.168,7.9491,0.655,2.6541,757.4447,204.7678,247.092
2008-12-31,,0.6927,2.2641,,1380.439,1150.716,799.2836,1506.272,1457.442,0.0079,,,,448.671,173.3348,10.8489,47.178,452.1389,253.3646,254.588
2009-12-31,,0.536,1.1552,,11.7195,7.3111,36.8007,18.963,16.2286,0.089,,,,45.3061,13.9507,1.5123,6.0641,726.107,138.2549,146.0218
2010-12-31,,0.4301,0.7548,,5.7999,15.0572,29.0626,27.8007,2.8093,0.1066,,,,32.1262,11.7045,1.9393,6.6699,806.1838,15.8715,15.8715
2011-12-31,,0.4236,0.7349,,8.2344,11.9883,23.3853,1.3839,30.4278,0.1177,,,,18.4222,18.4222,3.4107,10.6183,53.9814,121.5022,121.5022
2012-12-31,,0.3296,0.4915,,13.5633,16.8197,27.1393,4.0596,4.8277,0.1298,,,,3.7489,3.7489,0.6742,2.5134,66.8343,2.2237,2.2237
2013-12-31,,0.292,0.4125,,14.6166,17.7266,24.5695,13.6017,13.1908,0.1272,,,,8.9117,8.9117,1.6641,6.3093,69.0414,1.7809,1.7809
2014-12-31,,0.2254,0.291,,16.4364,19.1038,26.01,16.3044,11.6899,0.1249,,,,7.0606,7.0606,1.469,5.469,77.9634,0.5007,0.5007
2015-12-31,,0.2448,0.3242,,6.9402,9.1364,17.0727,5.6252,3.765,0.1174,,,,2.4631,2.4631,0.4472,1.8601,75.558,1.303,1.303
2016-12-31,,0.2868,0.4022,,1.0407,1.3654,9.1756,0.1413,1.6213,0.1051,,,,0.337,0.337,0.052,0.2403,77.2182,1.0537,1.0537
2017-12-31,,0.325,0.4815,,2.813,5.1716,12.9948,2.9604,12.2859,0.0994,,,,9.2226,9.2226,1.2161,6.2251,73.0864,11.611,11.611
2018-12-31,,0.3761,0.6027,,0.4769,3.2391,14.554,0.5423,0.0127,0.0963,,,,0.1797,0.1797,0.0209,0.1121,66.1302,7.9685,7.9685
2019-12-31,,0.3439,0.5243,,10.8431,13.6916,23.7547,10.628,6.686,0.0947,,,,6.1561,6.1118,0.7849,4.0097,77.5024,1.5986,1.5986
2020-12-31,,0.3584,0.5586,,2.8443,6.1757,15.5959,16.6751,13.6569,0.0746,,,,8.7433,8.6802,0.9946,5.5694,77.9971,3.2256,3.2256
