date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,5.7372,0.2427,0.3204,80.3419,25.917,25.917,34.8074,24.8676,115.8533,0.3176,,5.4276,67.2488,52.5457,67.2916,36.7917,39.7953,4.0819,0.5276,0.2972
2006-12-31,4.1974,0.1732,0.2095,78.0485,19.3869,19.3869,29.0507,22.9707,13.3904,0.3435,,4.9711,73.4237,6.0125,8.7444,4.5997,4.9711,5.9557,0.2232,0.0614
2007-12-31,7.8647,0.1282,0.1471,73.6891,22.7729,22.7729,34.2019,26.4305,15.8652,0.3843,,5.3505,68.2183,7.432,11.1024,6.0969,6.4789,8.1736,0.5294,0.3788
2008-12-31,4.9963,0.113,0.1274,71.8544,26.8375,26.8375,39.3444,29.6533,18.3504,0.4205,,5.6652,64.4289,9.2517,14.0295,7.7162,8.2063,9.2623,0.5598,0.4849
2009-12-31,2.3257,,0.1149,70.9298,25.9929,25.9929,40.3379,27.5924,16.9711,0.4119,,5.5732,65.4919,8.392,11.9493,6.9898,8.392,10.1532,0.4096,0.4546
2010-12-31,5.9143,,,70.3588,24.8418,24.8418,38.8855,25.6326,16.7275,0.4351,,5.8369,62.5337,7.8628,10.3006,7.2777,7.8628,11.6697,0.1386,0.5723
2011-12-31,7.5612,,,60.8382,25.0876,25.0876,39.5781,26.5158,17.3412,0.4939,,5.4924,66.4559,9.3173,12.1176,8.5655,9.3173,12.1475,0.2684,0.3368
2012-12-31,3.5891,,,61.4323,22.8893,22.8893,37.7489,23.4064,14.8469,0.5283,,6.2801,58.1199,8.6961,13.2676,7.8438,8.6961,13.1945,0.5368,0.2591
2013-12-31,3.9128,,,67.6101,26.235,26.235,37.9232,26.589,18.5996,0.5335,,5.8014,62.9154,11.1616,16.3536,9.9229,11.1616,14.724,0.1859,0.0291
2014-12-31,3.78,0.1704,0.2054,68.8909,24.9262,24.9262,38.3114,24.4301,17.0046,0.4908,,5.9588,61.2544,11.3382,18.9568,8.3455,9.4065,16.5189,0.5299,0.2021
2015-12-31,3.7697,0.1653,0.198,66.979,21.2133,21.2133,35.6886,20.7797,14.6263,0.5255,,5.7767,63.185,10.2986,17.7128,7.686,8.5962,17.611,0.7659,0.058
2016-12-31,3.497,0.1656,0.1985,65.5405,19.8685,19.8685,34.9001,19.8622,13.6597,0.5369,,6.3701,57.2991,9.947,17.3704,7.334,8.2994,18.6106,0.5495,1.221
2017-12-31,2.9478,0.1647,0.1972,64.8122,12.6269,12.6269,28.342,12.623,8.9499,0.5354,,5.3939,67.6695,6.6251,13.3993,4.7918,5.534,19.7917,0.3097,0.9164
2018-12-31,2.0941,0.215,0.4889,64.874,13.3543,13.3543,30.9076,12.6392,10.9919,0.497,,5.6565,64.528,9.3479,19.424,5.4629,7.3384,19.5934,1.3221,1.3255
2019-12-31,3.2187,0.3346,0.503,65.8689,18.97,18.97,35.7839,18.4019,16.5203,0.413,,5.2426,69.6219,13.0684,25.4509,6.8224,8.6951,22.5799,0.4708,0.5464
2020-12-31,2.545,0.3096,0.4485,64.5835,20.5911,20.5911,37.5138,19.2637,17.418,0.4119,,4.8453,75.3308,13.1032,23.7834,7.1747,9.046,26.1281,0.9235,0.0909
