date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.2956,,,69.2051,1.1809,1.1809,6.2267,1.3176,0.6822,1.4575,21.7693,7.0679,51.6419,1.5122,1.5335,0.9943,1.5122,1.5051,0.2546,0.0361
2006-12-31,1.5946,,0.1376,68.6098,18.1901,18.1901,13.2127,16.542,16.9432,1.3616,20.9628,6.1351,59.4938,41.8438,50.4852,23.0691,41.8438,1.2883,0.4764,0.4107
2007-12-31,3.0023,,,73.6101,11.9069,11.9069,16.6144,12.9954,12.5642,1.2764,25.7852,6.3396,57.5744,22.1676,23.8063,16.0369,22.1676,2.3477,0.9605,1.0093
2008-12-31,2.9371,,,74.0605,5.1037,5.1037,9.3116,5.6175,26.3136,1.0882,40.1272,5.8053,62.8738,36.6006,38.0394,28.6342,36.6006,3.3297,0.1547,0.2586
2009-12-31,3.2163,,,74.7574,10.8897,10.8897,4.7523,10.8516,10.0114,0.8792,38.5342,5.727,63.7333,11.4523,11.6863,8.8022,11.4523,3.6616,0.4894,0.5932
2010-12-31,4.1798,,,78.3768,26.5376,26.5376,30.4157,26.3488,19.1806,0.8117,32.9045,5.9166,61.6904,19.6568,19.7965,15.5685,19.6568,4.945,0.5855,0.4587
2011-12-31,2.5981,,,75.3079,18.8352,18.8352,22.4782,18.7478,13.9067,0.7389,12.5992,5.241,69.6438,13.5939,21.8472,10.2756,13.5938,6.2301,0.034,0.1818
2012-12-31,3.1186,,,74.3496,15.2832,15.2832,18.4635,15.0518,10.4798,0.7405,9.4996,5.6574,64.5169,10.0962,13.4519,7.7602,10.0962,7.2114,0.0139,0.0968
2013-12-31,3.1064,,,75.4471,14.2701,14.2701,16.8185,14.1076,9.7386,0.7934,11.6051,5.8296,62.6111,10.1417,11.7197,7.7264,10.1417,7.8673,0.6408,0.8674
2014-12-31,3.2563,,,75.9457,25.4153,25.4153,27.7596,24.9942,19.1468,0.7709,11.5024,5.8701,62.1794,19.3727,21.7428,14.7604,19.3727,9.3856,0.5057,0.448
2015-12-31,2.6945,,,75.7091,22.3107,22.3107,24.4401,22.0111,17.034,0.7297,10.551,5.3326,68.4467,16.985,18.734,12.4302,16.985,10.6657,0.162,0.201
2016-12-31,2.6895,,,75.499,23.0509,23.0509,25.2736,22.4624,17.5652,0.7735,9.7519,4.3646,83.6269,19.0561,20.7668,13.5861,19.0561,12.5123,0.1198,0.0906
2017-12-31,2.3165,,,75.8068,23.9995,23.9995,26.5608,24.7588,15.7063,0.8259,11.2492,4.5449,80.3095,20.0486,21.7249,12.9718,20.0486,14.4214,2.3197,0.7944
2018-12-31,1.882,,,73.6269,23.7257,23.7257,26.5087,23.7301,20.3527,0.9581,9.3209,4.4794,81.4843,31.9449,34.1806,19.5003,31.9449,15.7047,1.4589,1.1054
2019-12-31,1.6823,,,72.4572,22.5401,22.5401,25.822,23.3776,18.3969,0.9624,5.916,4.3737,83.4538,32.8916,34.8512,17.7061,32.8916,17.1633,2.5113,3.3872
2020-12-31,1.3952,,,71.33,15.6626,15.6626,19.4466,15.33,71.8418,0.5118,5.0899,3.7584,97.1148,54.9153,66.7884,36.7703,54.9153,41.0077,0.9716,1.0579
