date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.3215,0.5394,1.3081,100.0,5.5961,5.5961,10.4158,4.6113,0.1983,0.7846,,23.9557,15.2365,10.2103,10.6423,2.2284,4.7031,6.1846,1.9909,1.0902
2006-12-31,1.2714,0.5381,1.2996,100.0,2.7051,2.7051,2.0183,2.7201,1.6345,0.8178,,24.8465,14.6902,6.1547,6.1547,1.3367,2.8427,5.494,0.9731,0.4168
2007-12-31,1.0121,0.5231,1.2683,100.0,6.0154,6.0154,11.0753,5.7188,3.5454,0.7807,,25.4058,14.3668,12.1221,12.1221,2.7678,5.7814,6.737,0.0169,0.2803
2008-12-31,1.109,0.7069,2.7817,100.0,4.7016,4.7016,0.8846,5.821,3.7105,0.7574,,31.3848,11.6299,20.5318,20.5318,2.8104,6.0181,4.5617,1.7943,0.2003
2009-12-31,1.2874,0.6608,2.1273,100.0,7.8652,7.8652,14.3126,5.968,3.5767,0.6805,,30.4097,12.0028,13.9434,13.9434,2.4339,4.7291,6.1258,0.836,0.5684
2010-12-31,1.1666,0.5429,1.3879,100.0,12.2912,12.2912,18.2933,10.595,6.5501,0.7639,,31.9067,11.4396,22.7067,22.7067,5.0034,10.3788,7.6926,1.7357,3.5875
2011-12-31,1.057,0.4835,1.1133,100.0,10.3983,10.3983,16.1186,9.1246,5.6739,0.8357,,31.75,11.4961,20.8688,20.8688,4.7416,10.7787,8.2734,0.9815,0.3216
2012-12-31,1.1572,0.38,0.7262,100.0,11.4237,11.4237,17.0926,11.0372,6.7855,0.846,,35.8231,10.189,22.2379,22.2379,5.7402,13.7871,10.0956,0.5051,0.5338
2013-12-31,1.1152,0.2709,0.4293,100.0,16.2529,16.2529,21.4895,15.8262,9.8526,0.8832,,33.9211,10.7603,25.037,25.037,8.7016,18.2537,14.7572,1.6695,1.1904
2014-12-31,0.9808,0.2439,0.3775,100.0,17.921,17.921,23.3979,18.1632,11.2705,0.8852,,20.7259,17.6108,28.4438,28.4438,9.9769,21.5073,16.1772,0.6148,0.4478
2015-12-31,0.9213,0.1909,0.2833,100.0,23.1869,23.1869,28.9032,23.4369,15.1483,0.8573,,26.4057,13.8228,35.1721,35.1721,12.9862,28.4564,19.261,4.7146,3.774
2016-12-31,0.8087,0.4744,1.0113,100.0,22.0422,22.0422,28.1688,22.211,13.4515,0.5948,,19.6192,18.6042,27.1921,93.3255,8.0004,14.2934,23.7659,1.1013,0.4981
2017-12-31,0.8012,0.3953,0.7425,100.0,15.3028,15.3028,20.0152,14.682,12.1611,0.7346,,23.1496,15.767,27.7457,69.3642,8.9336,16.7774,28.1161,1.6952,0.5485
2018-12-31,0.6074,0.3012,0.5607,100.0,7.7807,7.7807,12.5968,7.0789,5.288,0.7573,,22.5792,16.1653,11.6502,25.9964,4.0048,8.1408,30.4479,3.1987,3.1589
2019-12-31,0.6364,0.2259,0.3461,100.0,12.1057,12.1057,16.9229,11.5704,8.7575,0.6758,,27.1858,13.4262,17.7557,33.9365,5.9186,13.7444,35.2114,4.2158,6.4556
2020-12-31,0.9331,0.441,1.1697,100.0,49.7757,49.7757,37.9978,51.5984,37.1284,0.2539,,7.4292,49.1307,44.3106,141.1514,9.4262,24.7708,24.0545,15.7503,9.7844
