date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.1949,0.2626,,6.9864,6.9864,6.797,5.9011,4.9883,0.2267,,,,8.7437,9.1163,1.1309,7.0394,31.2477,8.3995,8.1058
2006-12-31,,0.1755,0.2134,,21.8181,21.8181,21.2929,20.0525,13.9485,0.2272,,,,22.8554,23.7524,3.1691,18.8444,35.1222,0.4664,0.4253
2007-12-31,,0.2052,0.2581,,19.1058,19.1058,18.4068,18.0941,12.6085,0.2351,,,,21.2164,22.0489,2.964,16.8637,38.8117,1.1598,0.9538
2008-12-31,,0.3087,0.4465,,8.9984,8.9984,10.2776,10.2912,5.7121,0.2181,,,,13.2486,14.23,1.2456,9.1588,23.6437,1.9618,2.0339
2009-12-31,,0.2611,0.3534,,5.5071,5.5071,5.2229,3.8984,2.6677,0.2413,,,,5.1074,5.3894,0.6438,3.7736,31.1378,0.8205,1.0017
2010-12-31,,0.2368,0.3102,,4.707,4.707,5.0064,3.5032,2.9013,0.2399,,,,4.7837,5.0138,0.6961,3.651,35.7298,1.1516,1.1007
2011-12-31,,0.2438,0.3224,,4.2169,4.2169,4.9887,2.9369,2.4101,0.2608,,,,4.2944,4.6067,0.6286,3.2475,36.5788,3.1124,3.284
2012-12-31,,0.2274,0.2943,,11.0911,11.0911,12.2557,9.9235,6.9218,0.2624,,,,11.2051,11.9235,1.8165,8.6571,42.9645,2.5071,2.3992
2013-12-31,,0.224,0.2887,,14.5246,14.5246,15.591,9.8415,6.5581,0.2794,,,,11.0145,11.2665,1.8459,8.2367,47.8397,2.8251,2.963
2014-12-31,,0.1873,0.2305,,13.1984,13.1984,14.2371,12.0208,7.7925,0.3248,,,,13.8632,13.5167,2.6272,10.3848,53.3589,1.635,1.8521
2015-12-31,,0.2037,0.2559,,10.1254,10.1254,11.166,9.2054,5.7639,0.3407,,,,11.877,11.5442,2.0744,8.6325,52.5591,1.5041,1.4166
2016-12-31,,0.2358,0.3085,,8.2195,8.2195,9.2409,7.3638,4.7087,0.3443,,,,9.9697,9.6983,1.7282,6.9725,56.2104,1.6942,1.6094
2017-12-31,,0.2197,0.2816,,12.5866,12.5866,14.1295,11.5436,8.7243,0.3505,,,,17.0824,17.4472,3.1613,12.2972,63.5239,1.1461,1.1628
2018-12-31,,0.2324,0.3027,,7.5876,7.5876,8.871,6.6005,5.0534,0.3547,,,,11.1444,11.5004,1.9243,7.7801,64.1928,2.9226,2.9512
2019-12-31,,0.2032,0.2551,,14.4398,14.4398,15.8881,13.6296,10.4712,0.3724,,,,20.4084,20.6669,4.0409,14.8549,81.4984,0.7275,0.2135
2020-12-31,,0.2057,0.259,,16.8159,16.8159,18.3474,15.5366,12.1922,0.3555,,,,19.7402,20.1496,4.4259,14.6575,99.398,2.0248,2.3469
