date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2010-12-31,,,,38.9287,16.5168,16.5168,18.9206,16.6031,9.7474,,,,,,,,,,,
2011-12-31,2.568,0.0024,0.0034,40.0653,17.7617,17.7617,20.0376,17.9201,10.7906,0.9926,7.3956,7.0327,51.9004,16.1373,35.7893,11.379,16.0981,,2.7656,2.5292
2012-12-31,2.3776,0.002,0.0037,40.8046,18.3512,18.3512,20.516,18.1239,10.8783,1.0199,7.1977,7.0205,51.9908,16.835,39.8062,11.5939,16.8006,,0.0386,0.0927
2013-12-31,1.9303,1.0283,38.3971,41.6264,11.6351,11.6351,20.5112,10.7944,1.5607,1.0345,6.4432,7.96,45.8543,138.2857,7.0554,2.4193,3.9127,0.3646,0.4743,0.0683
2014-12-31,1.8811,0.985,68.3568,40.3012,15.4039,15.4039,17.7076,12.6469,8.2708,1.0508,7.4696,9.194,39.6998,992.9731,31.0671,9.1126,14.8926,0.1931,0.3028,0.4456
2015-12-31,1.6442,0.98,51.2828,42.0241,17.3396,17.3396,19.912,10.1204,7.4416,0.9139,5.8746,6.8164,53.5472,520.8755,14.6385,6.8361,10.4021,0.3094,0.0195,0.1841
2016-12-31,1.9304,0.924,12.5756,44.2225,19.4057,19.4057,22.395,13.1814,10.2368,0.9958,5.6587,8.6077,42.4039,198.6254,24.1387,10.2874,15.0914,1.2217,1.2436,1.1661
2017-12-31,2.2411,0.7805,3.6432,44.552,20.451,20.451,23.229,16.4314,11.3487,0.9474,5.5684,8.1194,44.9543,68.2368,36.8933,10.8851,14.9746,4.2656,0.2791,0.3551
2018-12-31,1.7888,0.6831,2.2092,42.9513,19.2481,19.2481,22.4036,17.3958,15.9205,0.9721,5.5598,8.4078,43.412,66.5749,56.101,15.4936,21.1001,6.9106,1.167,1.1675
2019-12-31,1.9759,0.6525,1.8776,43.8788,19.8003,19.8003,22.9152,16.6503,14.0785,0.9618,5.9344,8.6537,42.1784,52.8801,64.4598,13.5515,18.3775,8.2007,0.3934,0.2108
2020-12-31,2.1956,0.6319,1.717,43.3398,14.8351,14.8351,21.5523,13.4343,11.5556,0.8861,5.4437,8.4521,43.1843,37.7732,66.4203,10.2463,13.9036,9.1281,0.1063,0.2945
