date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.0826,0.3693,0.6256,19.4483,9.2464,9.2464,13.5867,7.9572,4.6785,1.1718,6.6476,7.9671,45.8132,12.0449,24.538,5.4823,7.5967,2.5125,0.51,0.1734
2006-12-31,1.969,0.3291,0.5365,19.1438,9.2126,9.2126,13.3995,7.8529,4.8441,1.1975,6.2897,8.1167,44.9693,11.9765,23.0091,5.8011,8.0345,2.753,0.1309,0.1783
2007-12-31,2.1269,0.3317,0.5397,18.5229,8.4515,8.4515,12.7961,7.9359,4.82,1.1435,6.2109,8.1421,44.8288,11.8608,22.707,5.8064,7.9265,3.0476,0.1291,0.0933
2008-12-31,2.3298,0.3231,0.4966,17.1466,7.7849,7.7849,12.0715,7.105,4.3979,1.3391,7.1875,8.8533,41.2275,12.4571,24.384,6.1023,8.432,2.7188,0.1947,0.1011
2009-12-31,3.8208,0.3986,0.6798,19.9219,7.9731,7.9731,12.5049,6.8375,4.1889,0.8946,7.0525,7.51,48.6019,8.2363,13.6227,3.8819,4.9529,3.0711,0.3252,0.4086
2010-12-31,2.1724,0.3997,0.6675,18.4736,8.2896,8.2896,12.6267,6.7694,4.1655,1.1281,5.8496,7.5815,48.1436,10.8798,29.3854,4.8929,6.5308,3.5099,0.2373,0.2892
2011-12-31,2.2713,0.4956,0.9923,17.1003,6.9025,6.9025,11.0414,5.4897,3.4062,1.232,6.8305,7.9992,45.6293,11.8387,60.1864,4.3352,5.9709,3.0147,0.1228,0.0775
2012-12-31,2.3717,0.4635,0.8693,18.5815,6.7262,6.7262,11.1834,5.2622,3.7525,1.0951,5.6382,7.1042,51.3784,9.0743,36.7291,3.5574,4.8684,3.1177,0.0091,0.0057
2013-12-31,2.4996,0.4576,0.8525,19.555,7.8229,7.8229,12.0739,6.4714,4.7491,1.0891,5.5531,7.2743,50.1767,11.4257,43.552,4.6835,6.1973,3.2419,0.0908,0.0802
2014-12-31,2.6751,0.4779,0.9371,19.779,9.3864,9.3864,13.5444,8.3734,4.3997,1.2029,6.0514,8.7518,41.7059,16.6853,79.3561,6.6218,8.7117,2.8613,0.2236,0.3249
2015-12-31,1.8995,0.5286,1.1507,21.4521,10.0604,10.0604,13.9436,8.938,5.8776,1.1667,6.081,9.0215,40.4589,20.0348,223.7741,6.9316,9.4444,2.4894,0.6257,0.5448
2016-12-31,2.0231,0.5481,1.2266,21.6387,10.2712,10.2712,14.3192,8.7629,5.8985,1.0777,5.7115,8.6694,42.1021,18.7505,312.0213,6.3568,8.4735,2.6645,0.2046,0.1899
2017-06-30,,,,21.0065,10.0659,10.0659,14.2116,7.8651,6.1971,,,,,,,,,,0.1211,0.0298
2017-12-31,1.8572,0.5622,1.3015,19.4306,3.0152,3.0152,12.0706,1.3025,2.3232,1.0936,5.2564,9.0176,40.4764,7.8255,45.5868,2.5406,3.4262,2.5939,0.0279,0.0887
2018-06-30,0.7162,0.7946,6.972,19.9247,10.6652,10.6652,14.5046,7.7572,6.1723,1.0289,5.4918,6.7579,54.0111,84.3543,34.7924,6.4764,17.3253,0.6014,0.0585,0.1164
2018-12-31,1.7597,0.5259,1.119,19.6851,8.7777,8.7777,12.8756,6.9855,5.5185,1.1453,5.3023,9.226,39.562,18.5624,90.5335,6.3204,8.8009,2.6199,0.2389,0.1354
2019-06-30,1.1471,0.4834,1.0755,19.0216,8.3705,8.3705,13.1473,6.3871,4.5484,0.551,3.9201,5.0733,71.9449,7.6956,24.4226,2.5441,3.9759,3.4932,0.3334,0.2427
2020-06-30,1.1412,0.5626,1.3302,20.3369,7.9727,7.9727,13.2641,6.6188,4.9104,0.7583,5.4217,7.7155,47.3073,13.3195,23.5897,3.797,5.8261,3.0011,0.2087,0.1763
