date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.4318,0.7956,,14.301,14.301,62.6155,14.3476,19.1958,0.1075,,,,3.1688,44.7019,1.6379,1.8006,11.0063,1.313,1.02
2006-12-31,,0.4286,0.808,,21.5503,21.5503,62.3714,5.3791,2.0863,0.1529,,,,0.6463,7.5715,0.329,0.3693,10.3254,0.11,0.1116
2007-12-31,,0.5863,1.418,,25.9759,25.9759,62.4114,10.493,3.8663,0.1792,,,,3.079,10.913,1.1445,1.2737,7.5643,0.2027,0.1318
2008-12-31,,0.5912,1.447,,38.0767,38.0767,64.1048,23.3398,21.7914,0.1941,,,,7.8956,31.1954,2.8792,3.2274,7.5432,0.2226,0.0029
2009-12-31,,0.5552,1.2693,,38.9915,38.9915,63.6104,24.4466,14.3027,0.2024,,,,7.2013,45.3379,2.8046,3.2034,8.2623,0.2211,0.1881
2010-12-31,,0.6113,1.5943,,39.5086,39.5086,63.1889,28.0066,18.7845,0.1914,,,,10.6597,41.8238,3.6024,4.143,8.7905,0.4573,0.2144
2011-12-31,,0.6766,2.122,,37.6558,37.6558,60.9258,20.7444,16.225,0.1996,,,,11.1972,21.6807,3.119,3.6212,8.6631,0.3867,0.0623
2012-12-31,,0.7023,2.3759,,38.9337,38.9337,61.7215,24.3847,22.159,0.2041,,,,16.1237,25.1221,4.2161,4.7992,9.3249,0.6289,0.5131
2013-12-31,,0.8005,4.0329,,36.1249,36.1249,60.1548,16.1167,16.4019,0.1657,,,,13.4318,7.0551,2.3773,2.6792,9.0918,0.4639,0.0714
2014-12-31,,0.7709,3.5872,,36.266,36.266,60.6299,21.1145,19.5369,0.1928,,,,19.816,11.8064,3.7773,4.5388,10.2177,1.3291,0.7088
2015-12-31,,0.7177,2.5502,,33.8007,33.8007,60.8823,17.395,12.4678,0.1774,,,,10.0107,9.3115,2.4977,2.8257,15.8364,0.2128,0.4998
2016-12-31,,0.7239,2.6567,,32.0272,32.0272,58.7016,19.4601,14.6793,0.1874,,,,13.9104,10.3575,3.1426,3.84,16.3338,1.171,1.3041
2017-12-31,,0.74,2.9591,,29.9884,29.9884,56.0378,18.8493,17.2797,0.2006,,,,17.9464,11.5674,3.6894,4.6667,15.923,0.4836,0.2119
2018-12-31,,0.7573,3.5867,,25.6045,25.6045,54.2721,15.5186,16.4917,0.2254,,,,21.4371,11.7356,3.8312,5.2035,13.376,1.6848,1.4848
2019-12-31,,0.7937,4.3814,,35.4656,35.4656,59.2681,25.2813,24.904,0.1771,,,,34.9082,14.7359,4.4779,7.2005,12.3968,0.0389,0.2025
2020-12-31,,0.8618,6.4109,,35.9075,35.9075,59.7239,22.6463,21.0234,0.1702,,,,37.0261,10.218,3.5811,5.1155,10.2816,0.2777,0.1901
