date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.113,0.5264,1.1331,33.2083,18.9878,18.9878,21.8439,17.0322,11.4116,0.9356,3.7061,5.9701,61.138,29.9374,104.4834,10.6771,14.1794,0.9646,0.3173,0.2383
2006-12-31,2.0878,0.4285,0.7535,31.8917,17.18,17.18,20.1388,15.1035,10.3459,1.1257,4.0414,6.4384,56.6911,28.3159,1099.842,11.6467,16.1813,1.2664,0.0776,0.0523
2007-12-31,2.3513,0.3632,0.5713,32.6246,19.3914,19.3914,22.2798,17.9409,12.3883,1.0655,4.2044,5.5858,65.3446,28.7539,210.1338,13.593,18.3094,1.7682,0.1365,0.1059
2008-12-31,2.1043,0.3648,0.5747,32.4166,19.5348,19.5348,22.3559,18.3095,12.9509,1.0809,4.2679,6.2722,58.1929,31.3888,315.3229,14.3472,19.9378,1.9987,0.1418,0.1266
2009-12-31,2.823,0.2993,0.4274,31.4374,17.3369,17.3369,20.8306,15.8339,11.2705,0.876,4.1874,6.2725,58.1904,18.5621,83.019,10.1646,13.0061,2.5443,0.1637,0.2278
2010-12-31,3.0415,0.2545,0.3415,32.5885,19.7056,19.7056,22.5993,18.6739,13.9671,0.885,4.3627,4.9462,73.7933,21.4458,62.0711,12.5107,15.9884,3.3362,0.2345,0.301
2011-12-31,3.3954,0.3866,0.6303,31.5667,19.0792,19.0792,22.1108,18.1927,13.3051,0.8863,4.1488,5.1354,71.0752,24.2057,120.5549,11.8969,14.8484,3.3484,0.22,0.2385
2012-12-31,3.0466,0.3968,0.6988,31.2947,19.2983,19.2983,22.136,18.145,12.9377,0.823,4.0191,4.7129,77.4468,22.9098,159.37,10.7277,13.8203,3.8193,0.2064,0.1509
2013-12-31,1.9614,0.332,0.7405,31.4387,19.4336,19.4336,22.3915,18.3457,13.7755,0.7482,3.9918,4.6101,79.1742,22.1763,158.841,10.3551,14.8139,4.5512,0.1563,0.1074
2014-12-31,3.3016,0.4747,0.9041,31.6865,19.3546,19.3546,22.4993,18.1929,13.2654,0.7652,4.2187,4.7571,76.7282,24.3439,14023.26,10.2378,12.7886,4.7401,0.1896,0.1104
2015-12-31,3.8179,0.4618,0.8582,31.9554,19.8377,19.8377,22.9192,18.9057,13.7106,0.7466,4.4485,5.0414,72.4009,23.5572,276.3148,10.3548,12.6781,5.3221,0.2533,0.3127
2016-12-31,2.1962,0.4145,0.8087,32.451,19.1715,19.1715,22.6234,18.1519,13.0902,0.7397,4.5714,4.659,78.3429,22.3631,176.0254,9.7968,13.0941,6.0381,0.0814,0.0482
2017-12-31,2.948,0.4669,0.8761,32.9454,20.3614,20.3614,23.5962,19.2889,9.2779,0.7009,4.2474,4.3859,83.2212,16.3402,135.4727,6.6044,8.7107,6.6133,0.0982,0.0381
2018-12-31,1.865,0.4085,0.8786,32.3689,20.5669,20.5669,24.2209,19.366,14.6915,0.8165,4.4959,4.5775,79.7375,29.9419,278.5306,12.1146,17.7117,6.8077,0.0278,0.1652
2019-12-31,1.9746,0.4107,0.7847,31.8039,19.6854,19.6854,23.4797,18.1864,14.0419,0.7605,4.2817,4.737,77.0523,25.3253,163.2768,10.7623,14.9238,7.7143,0.6598,0.6817
2020-12-31,2.3828,0.4001,0.7092,30.9819,19.0536,19.0536,22.6366,17.7534,13.9948,0.6975,4.0588,4.4061,82.8401,22.2546,5440.855,9.8424,13.3504,9.1078,0.149,0.1866
