date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2009-12-31,,,,1.9396,9.5959,9.5959,3.8197,77.2522,79.1153,,,,,,,,,,0.1431,0.5796
2010-12-31,2.0613,0.0115,0.0474,14.8296,6.8032,6.8032,9.8502,6.8322,4.5668,1.2468,11.9109,5.9892,60.9434,11.5265,12.9371,6.3436,11.3938,18.5806,1.8078,1.651
2011-12-31,1.482,0.479,0.9687,16.5513,10.2487,10.2487,13.2722,9.3884,7.138,1.7573,12.7002,6.5234,55.9526,56.3335,77.6508,13.3983,29.3497,6.614,1.6041,0.8728
2012-12-31,1.4285,0.4509,0.8707,17.1274,9.5109,9.5109,12.7521,8.6668,6.9399,1.5251,12.0647,6.3996,57.0349,40.9894,74.6461,11.3994,22.5068,8.9756,1.3029,0.5087
2013-12-31,1.4771,0.4064,0.7024,18.4506,10.8099,10.8099,14.1984,9.7402,8.0526,1.3625,11.2296,5.654,64.5559,36.1386,56.0271,11.2338,21.452,11.208,1.0409,1.3252
2014-12-31,1.3433,0.4426,0.8052,19.5367,11.3427,11.3427,14.8848,10.42,8.7167,1.4457,12.311,6.4579,56.5198,45.8015,84.7146,12.8719,25.5319,10.332,1.4595,0.7633
2015-12-31,1.304,0.5914,1.4665,20.0018,11.3678,11.3678,14.6355,9.1771,13.3468,0.9074,7.359,3.9505,92.3923,31.1745,450.7936,7.116,12.7373,9.8236,1.1308,0.3305
2016-12-31,1.3064,0.5886,1.4343,22.3806,12.5387,12.5387,16.5961,8.1473,10.2412,0.9985,11.0908,5.7624,63.3412,31.4151,768.1416,7.0615,12.9244,10.2413,1.1504,0.5498
2017-12-31,1.5935,0.5402,1.1797,20.2887,10.9904,10.9904,15.2825,9.7408,10.5169,1.0588,9.4829,5.2803,69.1245,30.2246,300.2825,8.7353,13.8972,13.2298,1.6147,1.8618
2018-12-31,1.2932,0.5239,1.1837,18.9054,10.2044,10.2044,14.9359,9.2414,7.3918,1.1567,9.1668,5.8042,62.8857,30.1635,473.0769,8.8702,14.3617,14.1159,0.6613,0.0986
2019-12-31,1.312,0.4975,1.088,18.43,8.8877,8.8877,13.9235,7.8429,6.8956,1.0667,9.1065,5.5886,65.312,25.1558,241.3876,7.4968,12.6409,15.7117,0.1712,0.3321
2020-12-31,1.845,0.3312,0.5063,14.8477,16.21,16.21,22.1261,14.9548,13.539,0.7457,8.5783,4.6465,78.5535,22.4938,41.138,10.3984,15.0442,29.9972,1.0897,0.2302
