date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.629,1.6952,,45.8948,45.8948,69.4753,24.6881,20.4412,0.098,,,,8.7986,6.8143,2.3935,2.5283,36.977,5.6611,14.6533
2006-12-31,,0.5997,1.4981,,45.4729,45.4729,68.3766,22.6011,18.9783,0.0835,,,,5.6661,4.8816,1.824,1.9541,46.5894,1.0086,18.6443
2007-12-31,,0.6496,1.8539,,43.322,43.322,69.7695,19.5618,18.1329,0.0837,,,,5.5281,5.0515,1.6365,1.7701,47.5847,1.6505,8.2794
2008-12-31,,0.6279,1.6875,,43.8561,43.8561,68.894,22.1932,19.9339,0.0887,,,,7.4208,5.8027,1.9686,2.1591,54.5817,1.794,18.3358
2009-12-31,,0.5374,1.1617,,42.7519,42.7519,69.2923,28.0376,21.7991,0.0882,,,,6.8018,5.7098,2.4741,2.6414,53.9305,2.7355,1.0319
2010-12-31,,0.4652,0.87,,39.4598,39.4598,69.1291,14.5636,22.9996,0.078,,,,2.5893,2.2584,1.1359,1.2077,54.0398,0.6718,1.0507
2011-12-31,,0.4485,0.8134,,34.8612,34.8612,65.0063,21.8469,18.9972,0.0817,,,,3.8611,3.4321,1.7838,1.8926,55.5045,0.5095,3.3224
2012-12-31,,0.477,0.9121,,29.2964,29.2964,63.9612,16.5098,11.772,0.0803,,,,3.0513,2.7189,1.3265,1.4219,55.1584,0.7351,3.9085
2013-12-31,,0.4357,0.7721,,32.3962,32.3962,63.7559,21.3142,17.2306,0.0838,,,,3.753,3.3932,1.7866,1.9148,55.703,0.3189,0.3575
2014-12-31,,0.4857,0.9444,,31.6542,31.6542,63.6097,13.6395,9.9209,0.0893,,,,2.8101,2.5452,1.2186,1.309,54.5064,0.1012,0.709
2015-12-31,,0.4791,0.9196,,30.9828,30.9828,62.4956,15.6591,13.8554,0.095,,,,3.7356,3.4151,1.6457,1.7791,58.9911,0.0922,1.8163
2016-12-31,,0.4367,0.7753,,28.8621,28.8621,63.4761,5.8157,16.398,0.089,,,,0.968,0.9289,0.4818,0.5232,61.2663,0.3807,8.9653
2017-12-31,,0.424,0.7363,,27.5416,27.5416,63.5638,17.1814,12.8885,0.0932,,,,3.034,2.9991,1.6036,1.7273,64.8567,0.273,1.7484
2018-12-31,,0.41,0.6949,,28.496,28.496,63.419,29.6875,27.4195,0.0918,,,,5.1511,5.109,2.7846,3.0144,71.0187,0.6226,1.3162
2019-12-31,,0.4003,0.6675,,28.2355,28.2355,62.202,26.355,22.9214,0.0833,,,,3.9791,3.9791,2.197,2.3863,84.0578,0.5573,11.5323
2020-12-31,,0.3602,0.5631,,27.7873,27.7873,62.1417,35.6952,40.3466,0.0826,,,,6.158,6.158,3.6235,3.9397,98.2693,0.8995,5.9631
