date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.4787,0.9183,,13.104,13.104,38.2513,14.6602,46.0566,0.1269,,,,3.7793,3.7792,1.8597,1.9701,34.5039,4.0965,4.2291
2006-12-31,,0.5212,1.0887,,18.9689,18.9689,43.1588,21.9795,38.0505,0.1159,,,,5.7884,5.7883,2.5467,2.7712,34.4613,0.5559,6.9869
2007-12-31,,0.5106,1.0434,,21.9364,21.9364,46.2817,30.1413,48.0169,0.108,,,,7.2478,7.2477,3.2564,3.5469,39.145,1.0437,2.5735
2008-12-31,,0.5562,1.2533,,18.7291,18.7291,43.4348,12.1753,49.2812,0.1134,,,,3.3976,3.3976,1.381,1.5078,37.8127,0.7194,5.5058
2009-12-31,,0.5658,1.3032,,11.7576,11.7576,38.1116,9.9645,18.7544,0.1113,,,,2.7113,2.7113,1.1089,1.1772,37.4116,0.3045,0.2502
2010-12-31,,0.5451,1.1983,,10.8319,10.8319,38.6224,10.9223,20.7438,0.1078,,,,2.7764,2.7764,1.177,1.263,38.5987,0.7481,1.01
2011-12-31,,0.4498,0.8176,,15.3761,15.3761,42.0186,15.5779,49.0644,0.1061,,,,3.1853,3.1853,1.653,1.7524,46.25,0.8057,0.9079
2012-12-31,,0.3602,0.563,,21.6356,21.6356,47.5008,25.0274,42.3603,0.0897,,,,3.6608,3.6608,2.244,2.3423,59.7956,0.7874,4.0746
2013-12-31,,0.4163,0.7133,,4.6989,4.6989,42.4609,3.9528,24.1394,0.0954,,,,0.6724,0.6724,0.3773,0.3925,66.4497,0.1741,0.0581
2014-12-31,,0.4177,0.7174,,25.7756,25.7756,51.1771,39.6731,40.5663,0.1044,,,,7.2863,7.2863,4.0838,4.2427,68.5074,1.0647,2.7896
2015-12-31,,0.3962,0.6562,,28.9534,28.9534,54.5917,40.0434,39.9799,0.1096,,,,7.5375,7.5375,4.3808,4.5512,71.8276,1.2286,0.7934
2016-12-31,,0.4087,0.6912,,28.3715,28.3715,54.5448,50.5567,50.5561,0.1145,,,,10.1629,10.1629,5.7855,6.0091,74.065,0.4561,2.1816
2017-12-31,,0.4137,0.7056,,26.4342,26.4342,54.4062,40.6184,40.5099,0.1172,,,,8.4391,8.4391,4.7606,4.948,75.2245,0.6582,1.5726
2018-12-31,,0.3984,0.6621,,25.5931,25.5931,54.5318,42.6352,42.6575,0.1243,,,,9.1621,9.1621,5.3001,5.5123,76.7653,0.3097,2.7152
2019-12-31,,0.399,0.6639,,27.0031,27.0031,56.9493,34.3757,33.8108,0.1216,,,,7.1528,7.1528,4.1112,4.2988,78.142,0.0618,3.541
2020-12-31,,0.413,0.7035,,20.6236,20.6236,52.7046,35.8264,35.9642,0.1199,,,,7.698,7.698,4.3112,4.5189,77.0616,0.7858,5.1783
