date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2007-10-31,,,,23.7066,6.8762,6.8762,4.9116,13.8834,10.4126,,,,,,,,,,0.6822,0.5093
2008-10-31,1.8872,0.4758,0.9103,38.5521,9.4173,9.4173,19.0112,3.5315,4.8852,0.9081,5.5532,9.2337,39.5291,7.3077,51.8182,3.0465,3.8306,3.6531,0.2676,0.1665
2009-10-31,1.3649,0.183,0.576,37.7359,3.2345,3.2345,14.2857,2.4259,2.965,0.7533,5.7037,7.9785,45.748,4.2308,19.8198,2.2335,3.4564,4.4181,0.3151,0.3014
2010-10-31,1.9239,0.0027,0.1568,46.1539,22.2647,22.2647,29.957,19.398,19.828,0.9703,5.963,7.3439,49.7014,27.5748,54.6053,19.2397,27.5017,6.2738,1.4385,1.3858
2011-10-31,3.98,0.002,0.003,49.101,25.0,25.0,31.7637,24.0154,23.6301,0.955,6.1289,7.122,51.25,27.5175,41.5038,22.5675,27.4627,8.1557,0.8078,0.6763
2012-10-31,4.8873,0.0008,0.0012,48.308,24.6193,24.6193,31.176,24.7462,23.8156,0.826,6.299,6.9326,52.6502,23.2741,30.9851,19.6716,23.2549,9.8543,0.109,0.6285
2013-10-31,4.3913,,,47.5397,21.9048,21.9048,29.3651,22.5397,21.9048,0.7379,4.6386,6.0287,60.5437,19.1268,27.5587,16.164,19.1268,11.5857,0.0931,0.1206
2014-10-31,3.7746,0.6275,1.6987,43.9681,10.26,10.26,25.2284,8.0112,6.1607,0.4069,4.6089,5.4591,66.8611,9.5282,15.6853,2.9454,3.5493,12.7511,1.5356,0.9403
2015-10-31,3.3592,0.448,0.8214,52.0662,23.9156,23.9156,38.3353,21.4977,19.9883,0.649,6.2424,6.6968,54.504,29.5079,586.9199,13.2287,16.2881,17.0637,3.8484,3.6613
2016-10-31,2.3148,0.3761,0.6236,44.8641,3.0891,3.0891,20.1586,8.361,13.1344,0.265,5.2143,6.0706,60.1258,7.9951,9.7579,3.5004,4.988,54.926,0.6569,0.5011
2017-10-31,6.2566,0.4292,0.7568,48.2479,13.4441,13.4441,40.3039,10.3482,9.594,0.3241,6.3075,7.2042,50.6646,7.7202,14.4916,3.2894,4.407,56.6895,6.6546,7.0376
2018-10-31,3.8952,0.3962,0.6562,51.4822,24.6307,24.6307,44.2057,21.8007,58.8018,0.4159,8.9991,6.2701,58.213,47.3759,114.6215,25.1955,28.6048,65.3358,5.0427,5.6156
2019-10-31,1.4375,0.5461,1.315,55.2419,15.241,15.241,40.9435,9.8509,11.9264,0.3348,11.5721,6.9337,52.6413,10.9699,9.3293,4.0538,4.9789,62.6658,2.5399,2.6377
2020-10-31,1.8671,0.6276,1.7199,56.5807,16.8034,16.8034,45.7091,10.2269,11.1479,0.3146,10.341,10.3997,35.0973,12.4026,8.1447,3.8995,4.6187,58.6585,5.5053,5.255
