date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.7448,5.08,,,,,20.6081,18.9861,0.1726,,,,29.0265,29.0265,2.6869,7.4087,8.5004,6.3951,6.1089
2006-12-31,,0.8026,6.2028,,,,,23.2491,16.7283,0.1727,,,,34.4877,34.4877,2.8248,6.8065,8.7665,0.9652,0.6423
2007-12-31,,0.8337,7.2756,,,,,24.2752,16.9935,0.1566,,,,37.4105,37.4105,2.7554,6.2219,9.5242,0.6453,0.7763
2008-12-31,,0.8353,6.3734,,,,,15.8683,11.8935,0.179,,,,24.2463,24.2463,2.2772,3.994,10.2078,0.009,0.0727
2009-12-31,,0.7842,4.2105,,,,,14.9346,11.197,0.152,,,,14.8341,14.8341,1.7076,3.2018,12.0856,1.3124,1.1072
2010-12-31,,0.8036,4.6487,,,,,23.5035,15.7872,0.173,,,,24.9969,24.9969,2.7657,4.9089,13.5589,1.893,1.7749
2011-12-31,,0.7602,3.673,,,,,24.1109,16.9047,0.1881,,,,26.0668,26.0668,3.1949,6.2516,16.1461,0.9454,0.6759
2012-12-31,,0.7574,3.5417,,,,,21.6165,14.8544,0.1949,,,,23.7319,23.7319,2.9267,5.7566,17.0914,2.0432,1.9618
2013-12-31,,0.7394,3.313,,,,,25.414,17.1145,0.2024,,,,27.4877,27.4877,3.4941,7.1619,18.3233,1.6417,1.6407
2014-12-31,,0.7371,3.1494,,,,,27.971,18.1651,0.202,,,,28.4671,28.4671,3.6989,7.4846,20.2082,2.6082,2.395
2015-12-31,,0.6992,2.7147,,,,,25.7477,16.4223,0.1913,,,,24.9746,24.9746,3.2032,7.5116,21.3344,0.2173,0.0173
2016-12-31,,0.6962,2.7015,,,,,24.0699,15.7194,0.2103,,,,26.2182,26.2182,3.3828,7.964,22.6781,1.8066,1.9402
2017-12-31,,0.7534,3.3753,,,,,21.7627,7.7554,0.1883,,,,15.0485,15.0485,1.5166,3.7103,21.2584,6.4148,6.6867
2018-12-31,,0.7238,2.7601,,,,,21.9597,18.3502,0.1961,,,,31.0498,31.0498,3.6696,8.5748,26.3164,4.8864,5.2127
2019-12-31,,0.7148,2.7861,,,,,21.0815,16.5846,0.2016,,,,29.2965,29.2965,3.4081,8.3541,28.4827,6.0283,5.5714
2020-12-31,,0.6514,1.9505,,,,,13.7003,9.682,0.1639,,,,13.6399,13.6399,1.6382,4.7546,28.5516,9.4874,9.3392
