date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.7789,0.4631,0.97,16.777,5.2442,5.9137,8.7596,5.2573,4.7966,0.8937,5.6645,9.553,38.2079,23.1667,31.017,4.2703,12.4387,14.5398,8.7184,6.8552
2006-12-31,0.7738,0.6325,2.0127,18.6023,4.8984,5.4721,8.0059,5.191,3.5999,1.188,6.1794,10.8806,33.5458,46.5499,36766.66,4.2592,17.1061,6.2536,0.8029,0.8175
2007-12-31,0.865,0.4529,0.9126,20.0039,8.7818,9.2262,11.4631,9.2157,6.1367,1.1255,5.5534,10.9405,33.3623,45.0689,105.953,6.8796,24.6552,12.2221,2.8852,2.5694
2008-12-31,0.8437,1.1966,6.5779,17.6985,6.4851,6.8512,9.3172,6.559,4.3869,1.1326,3.2109,10.106,36.1171,232.3993,35.5098,4.935,45.6799,1.6359,12.9566,13.0418
2009-12-31,1.0727,0.8459,5.8085,17.4514,3.0697,3.326,5.7835,2.5351,1.9215,1.1004,3.3287,11.0972,32.8912,60.0,26.8558,2.1514,9.2439,3.0635,8.404,9.029
2010-12-31,1.1463,0.8003,4.34,19.6296,7.7302,7.979,10.6942,7.0087,5.1286,0.9379,2.1254,11.2679,32.3929,115.6883,65.5125,4.829,23.0973,3.8923,3.8712,3.6794
2011-12-31,1.2068,0.7352,3.4288,18.9074,8.4717,8.6884,11.1253,7.8461,5.8325,0.8593,1.7289,10.9643,33.29,111.1696,91.5544,5.0146,29.4364,4.8449,1.377,0.6529
2012-12-31,1.274,0.6006,1.7444,16.0861,7.6991,7.8325,10.0492,7.234,4.7737,0.919,1.816,13.6802,26.681,65.4098,179.1189,4.3905,26.1245,7.897,4.4998,4.5477
2013-12-31,1.2639,0.3499,0.6425,15.504,7.5754,7.6619,9.7907,7.1944,5.285,0.9348,1.7057,12.5723,29.0321,30.5795,66.4445,4.9491,19.8795,20.0656,0.7958,0.238
2014-12-31,1.405,0.4808,1.0319,15.512,8.2336,8.3096,10.4096,7.8634,5.9937,0.9768,1.6401,11.4613,31.8463,61.9568,679.0524,5.8609,32.1659,12.4376,1.3686,1.0464
2015-12-31,1.3535,0.5771,1.5576,14.6597,7.7439,7.8105,9.7176,7.4443,5.3811,1.0181,1.7357,10.7691,33.8933,80.9129,373.4488,5.4826,34.217,9.5961,1.448,0.9723
2016-12-31,1.2464,0.916,11.3478,15.5397,6.981,7.0442,9.0646,6.1853,5.381,1.0389,1.828,10.0968,36.1502,574.0023,72.0481,5.5935,48.1953,1.421,2.8567,2.3155
2017-12-31,1.1413,0.851,6.4898,18.5767,11.0037,11.0781,13.2557,10.7516,8.991,0.8366,1.2469,8.2482,44.252,493.7537,131.7651,7.5275,73.5798,2.8983,5.5501,6.856
2018-12-31,1.0765,0.963,33.7732,19.4864,11.8534,11.9216,14.0121,11.4747,10.3365,0.8617,1.3013,7.0403,51.8443,2551.219,96.3256,8.9128,94.5152,0.7223,4.2904,4.2543
2019-12-31,1.0505,1.7117,3.2894,5.9144,2.5797,2.4987,0.4676,2.9507,0.8307,0.5729,0.9401,6.139,59.4563,7.6627,3.2288,0.476,5.4536,14.7448,30.4952,30.4121
2020-12-31,1.3937,1.4125,3.5177,9.7012,21.9523,21.8783,18.0164,24.8908,20.4151,0.3823,0.7808,5.7863,63.0802,66.0636,41.1773,7.8489,27.2532,31.0396,28.0517,27.1697
