date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.4983,5.0098,,,,,46.0488,30.9381,0.0412,,,,16.2598,32.8125,1.2746,8.1356,25.3852,3.0046,3.3064
2006-12-31,,0.5191,4.2322,,,,,47.1815,31.1528,0.0464,,,,15.959,36.9827,1.4477,7.5134,30.3426,6.1615,6.3006
2007-12-31,,0.5736,4.6823,,,,,35.7993,25.1369,0.0341,,,,10.5215,26.9315,0.8732,4.3513,33.0795,0.6842,1.0017
2008-12-31,,0.6024,3.8671,,,,,9.6351,5.4116,0.0253,,,,2.8762,5.4511,0.2205,0.9,35.2874,1.5951,1.5713
2009-12-31,,0.6545,3.5804,,,,,6.1345,3.101,0.0319,,,,3.2311,5.5378,0.2814,0.9368,26.7558,15.9083,16.0749
2010-12-31,,0.6627,3.6177,,,,,1.6177,4.4006,0.0361,,,,1.0572,1.731,0.0988,0.3307,22.6321,8.3552,8.1662
2011-12-31,,0.618,2.9697,,,,,0.2873,0.1062,0.0376,,,,0.683,1.0,0.0679,0.2401,21.8396,2.146,2.1727
2012-12-31,,0.5377,2.8409,,,,,4.087,3.6719,0.034,,,,1.9194,2.7116,0.1895,0.8171,21.9846,7.7658,7.6378
2013-12-31,,0.5176,2.4808,,,,,18.9399,11.8076,0.0406,,,,5.2117,7.5098,0.5437,2.3698,21.9684,9.5582,9.5577
2014-12-31,,0.4997,2.2581,,,,,9.523,5.3529,0.0397,,,,2.4625,3.3343,0.2623,1.1344,23.1512,5.1677,5.1677
2015-12-31,,0.4803,1.9757,,,,,27.8019,18.078,0.0372,,,,6.802,8.8605,0.742,3.2276,24.6791,0.3821,0.3821
2016-12-31,,0.4489,1.781,,,,,31.2356,20.1488,0.0366,,,,7.3958,9.164,0.8145,3.6897,26.4802,0.9633,0.9633
2017-12-31,,0.4598,1.9395,,,,,34.8895,19.8471,0.0367,,,,7.447,9.199,0.7992,3.6866,25.9685,0.6488,0.6488
2018-12-31,,0.4637,1.9025,,,,,39.4174,30.427,0.0373,,,,11.5832,14.3334,1.1955,5.6895,27.44,2.9453,2.9453
2019-12-31,,0.4763,1.9389,,,,,37.3674,29.6598,0.036,,,,11.3625,14.005,1.1269,5.4245,29.9689,2.6817,2.6817
2020-12-31,,0.4907,1.9196,,,,,25.597,22.1984,0.0263,,,,7.2033,8.7727,0.6346,3.3393,31.5489,2.2233,2.2233
