date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.7314,0.0063,0.0063,84.5773,9.7436,9.7436,26.3467,10.5757,6.6341,0.289,2.0437,8.636,42.265,2.3272,5.74,1.9174,2.3126,20.3137,2.5696,2.8289
2006-12-31,2.9382,0.0133,0.0135,89.7735,16.4,16.4,30.4091,18.3434,8.1069,0.3137,1.6226,8.4545,43.1725,2.9894,6.5809,2.499,2.9495,21.1423,0.1331,0.7518
2007-12-31,1.0819,0.0093,0.2824,89.4315,24.586,24.586,36.5765,26.8686,20.1214,0.3676,1.4325,5.6704,64.3698,10.4755,30.4397,6.7187,10.3783,18.716,0.7454,0.2695
2008-12-31,2.6624,0.1569,0.1908,90.1894,29.6183,29.6183,40.8949,28.2094,19.1133,0.4833,1.525,9.1736,39.7883,13.5433,31.1769,9.3184,11.4188,20.2535,2.1148,2.0146
2009-12-31,3.4696,0.1471,0.1757,91.2709,29.5939,29.5939,39.3706,30.4449,22.1626,0.5119,1.2999,7.9414,45.9618,15.6033,30.0433,11.4252,13.3077,21.7054,1.5834,1.2202
2010-12-31,2.4192,0.1637,0.2209,91.5135,26.4796,26.4796,34.0222,26.0771,21.3143,0.5828,1.3847,7.7915,46.8459,16.4893,35.5125,11.1038,13.7906,22.6552,2.6613,2.5546
2011-12-31,3.2594,0.1417,0.1656,90.7543,34.1615,34.1615,41.2711,33.8946,24.4507,0.5579,1.4281,8.636,42.2649,19.7089,34.4913,13.9971,16.9167,26.5452,0.6765,0.5065
2012-12-31,1.9575,0.0898,0.1638,90.1115,33.642,33.642,40.2703,33.6285,25.0166,0.5446,1.2193,8.0316,45.4457,19.8173,33.4071,13.6231,18.0368,29.435,0.7903,0.5775
2013-12-31,1.8114,0.0643,0.0691,87.6273,36.2857,36.2857,43.9558,35.7837,26.8645,0.5843,1.3015,8.4087,43.4073,21.6035,63.9282,15.6988,20.2143,36.4777,1.9996,2.0278
2014-12-31,2.0445,0.0509,0.0539,87.932,40.9397,40.9397,48.0311,40.6728,30.2454,0.6779,1.4565,7.508,48.615,27.2018,58.5358,20.5495,25.8164,46.1026,2.5625,2.3827
2015-12-31,2.5993,0.4103,0.6961,88.4762,45.4393,45.4393,51.0173,44.2901,32.9531,0.5519,1.3884,8.7725,41.6075,38.3279,136.8317,18.4221,22.6039,42.8861,4.5489,2.9812
2016-12-31,2.5534,0.3494,0.5374,87.0842,44.9977,44.9977,50.9608,43.0875,32.3423,0.5005,1.4763,7.9417,45.9598,30.471,79.4603,16.1548,19.8253,56.1769,4.0129,3.9782
2017-12-31,2.3375,0.3202,0.4714,86.7198,43.5542,43.5542,52.3615,41.7862,20.687,0.5189,1.8057,6.8684,53.1416,21.1945,65.3475,11.2888,14.4072,59.5655,0.4009,0.8556
2018-12-31,2.3188,0.313,0.4555,86.4988,43.772,43.772,48.6074,43.8537,32.9349,0.532,1.9532,6.869,53.1374,34.3319,106.3921,17.6916,23.587,66.0832,8.7736,9.0924
2019-12-31,1.7233,0.2505,0.4464,86.4,48.9821,48.9821,52.2142,49.5615,40.9552,0.5279,2.4315,7.6458,47.7387,44.1447,145.2551,21.6216,33.085,87.5269,7.6329,8.6409
2020-12-31,1.8404,0.41,0.6949,86.573,33.8433,33.8433,37.244,37.543,29.7562,0.5461,1.6893,7.0251,51.9567,37.998,220.7153,16.4934,22.4185,61.3439,11.5495,11.4376
