date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.4689,1.2321,,,,,32.6295,25.9155,0.0594,,,,13.5986,24.1764,1.3151,7.2216,13.572,1.5293,1.7089
2006-12-31,,0.471,1.1983,,,,,31.6419,41.5136,0.0664,,,,12.9145,29.7101,1.4301,6.8324,16.0255,6.9431,7.0231
2007-12-31,,0.3889,1.0054,,,,,28.4287,18.0299,0.0572,,,,7.5775,33.4033,1.1272,4.6305,25.6575,1.1481,1.3837
2008-12-31,,0.3717,1.1323,,,,,14.448,10.2903,0.0567,,,,5.7503,22.9676,0.6126,3.2544,24.4578,1.7282,1.6211
2009-12-31,,0.3791,0.947,,,,,30.1557,18.6698,0.0345,,,,2.8032,11.3452,0.3831,1.7404,24.0124,0.6697,0.6332
2010-12-31,,0.3695,0.9647,,,,,26.6446,17.9963,0.0561,,,,8.0054,28.38,1.0705,5.0477,26.6325,0.1228,0.2098
2011-12-31,,0.3934,1.0695,,,,,24.557,16.8375,0.0453,,,,7.5366,23.2889,0.7898,4.5717,28.1786,1.5222,1.8589
2012-12-31,,0.3482,0.9621,,,,,22.8523,16.2628,0.0409,,,,6.9483,17.4896,0.7006,4.3989,32.0278,0.4255,0.4593
2013-12-31,,0.3491,0.9722,,,,,25.0414,13.2732,0.0403,,,,5.9508,13.8686,0.5834,3.7155,33.5128,1.9384,1.9178
2014-12-31,,0.3536,1.0384,,,,,22.6366,15.5718,0.0409,,,,7.1819,16.0881,0.688,4.4537,34.4062,4.4981,4.8445
2015-12-31,,0.3627,1.0722,,,,,28.1695,20.0213,0.0382,,,,8.8949,18.6081,0.8182,5.2954,35.726,0.2324,0.5915
2016-12-31,,0.3901,1.0042,,,,,30.9877,22.462,0.0457,,,,9.8866,19.1628,1.064,5.4884,37.6415,2.1364,1.9677
2017-12-31,,0.4272,1.2806,,,,,29.6139,24.8731,0.0419,,,,10.8192,19.9786,1.1066,5.6687,41.0157,1.3598,1.8015
2018-12-31,,0.4429,1.2777,,,,,31.6528,24.8125,0.0452,,,,11.4364,21.0918,1.1723,5.8171,42.4176,1.4673,1.5406
2019-12-31,,0.4032,1.1615,,,,,33.8873,25.8022,0.0432,,,,11.742,21.1787,1.1709,6.4103,46.1705,5.8517,6.0574
2020-12-31,,0.3643,0.9505,,,,,28.878,22.0851,0.0329,,,,8.7578,14.2554,0.7721,5.0167,51.8109,5.5429,5.4568
