date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.3279,0.2158,0.2752,94.5768,28.5836,28.5836,31.9619,31.5393,19.6333,0.6447,,3.8379,95.103,25.363,53.3719,12.6574,19.8896,14.1683,3.8121,4.6649
2006-12-31,1.037,0.0229,0.0235,91.7541,22.4976,22.4976,27.4071,25.1668,15.3956,0.1025,,2.1755,167.7758,2.9958,90.3326,1.578,2.927,92.6207,4.8373,2.9768
2007-12-31,1.2629,0.0755,0.1075,88.8751,26.708,26.708,33.1063,37.5645,20.4954,0.2148,,3.9199,93.1146,11.7023,284.4864,6.0148,10.8188,99.9138,4.1814,4.0186
2008-12-31,1.7521,0.0712,0.0929,88.3294,31.4574,31.4574,38.6848,20.0632,15.4818,0.2542,,5.6204,64.9417,5.1163,196.5625,3.157,4.7522,104.8162,10.116,10.3748
2009-12-31,1.2697,0.4812,1.0183,89.8511,27.1915,27.1915,34.4043,27.0638,18.617,0.0264,,2.7357,133.4191,3.6535,15.4842,0.5036,1.8955,396.6815,4.554,4.4339
2010-12-31,2.0237,0.4572,0.8461,95.2624,34.8119,34.8119,39.5959,35.079,23.955,0.0483,,4.1107,88.7918,7.7867,51.3913,1.1487,4.2265,200.6447,2.8818,2.668
2011-12-31,2.2735,0.5182,1.0796,100.0,35.778,35.778,39.9626,34.5226,25.7351,0.0505,,4.6332,78.7799,9.256,47.95,1.3002,4.4593,182.5036,2.1911,1.5509
2012-12-31,2.6473,0.5487,1.2199,100.0,37.7423,37.7423,41.4908,37.164,26.3254,0.0466,,4.1498,87.9565,9.5368,51.6184,1.2173,4.3037,151.5026,2.5199,2.0425
2013-12-31,2.4013,0.5223,1.0932,100.0,37.888,37.888,41.2574,39.0275,28.8016,0.0463,,4.5305,80.5653,11.0873,76.3519,1.3421,5.2969,159.7704,8.3686,8.6705
2014-12-31,2.8003,0.6042,1.5268,100.0,40.3754,40.3754,43.3896,39.6625,29.7266,0.0462,,5.2269,69.8313,11.8756,115.7447,1.3612,4.6998,166.7911,2.9108,2.7558
2015-12-31,2.7864,0.5593,1.2689,100.0,40.9087,40.9087,43.4962,40.3649,29.3395,0.0506,,5.0966,71.617,11.7285,175.0392,1.4881,5.1692,174.8429,0.2697,1.1914
2016-12-31,3.0036,0.5304,1.1294,100.0,37.2319,37.2319,39.3769,36.3347,25.838,0.0557,,5.7972,62.9618,10.8611,237.8663,1.4379,5.1004,180.4574,4.126,3.533
2017-12-31,1.1692,0.4317,0.917,100.0,38.6324,38.6324,40.3971,38.6691,36.4118,0.0618,,5.0389,72.4364,15.665,402.6634,2.2652,8.9029,199.0785,10.3795,10.1511
2018-12-31,2.7881,0.4415,0.7904,100.0,38.435,38.435,39.9845,37.8786,30.3212,0.089,,5.3436,68.3058,13.2643,402.809,2.6959,7.4087,205.8539,5.0371,5.354
2019-12-31,2.4839,0.3779,0.6075,100.0,38.1801,38.1801,40.216,39.8033,30.7862,0.0862,,4.5735,79.8085,13.465,663.6364,2.6841,8.3762,217.7349,0.6717,1.0251
2020-12-31,3.4587,0.4022,0.6728,100.0,35.1435,35.1435,37.3527,40.2592,30.4351,0.0916,,4.5842,79.622,14.9601,209.7619,2.9867,8.9434,231.6484,5.8575,6.2177
