date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.0577,0.6332,1.8628,16.4922,8.3461,8.3461,12.0584,6.3222,4.7312,1.3186,6.862,15.2714,23.9009,31.8842,38.4539,6.2387,11.6947,2.0487,1.2731,0.6085
2006-12-31,1.2111,0.6608,2.1037,16.3271,7.6388,7.6388,11.4536,6.7492,4.9777,1.1336,5.923,11.4262,31.9441,28.2821,31.7473,5.643,9.5931,2.7978,0.3169,0.3184
2007-12-31,1.218,0.6191,1.7569,15.7408,6.9543,6.9543,10.7569,4.9325,3.8066,1.2274,6.2384,12.6818,28.7814,20.9832,31.5101,4.6789,7.9931,3.3487,0.6811,0.5967
2008-12-31,1.1626,0.6596,2.2166,16.5043,8.5056,8.5056,12.1666,6.4883,4.6806,1.0718,5.8504,9.257,39.4297,28.9984,28.4003,4.9508,9.8704,2.9,0.0201,0.004
2009-12-31,1.5817,0.5906,1.6401,17.7709,9.7431,9.7431,13.3658,7.9965,5.7806,1.0342,6.2618,12.5452,29.0949,24.6747,48.1628,6.0201,10.1011,4.2092,0.1441,0.1747
2010-12-31,1.6668,0.6197,1.6961,18.0328,10.021,10.021,13.5007,7.9476,6.1337,1.1014,5.77,8.9796,40.6475,33.0861,59.9105,7.9189,12.5834,4.8156,0.0696,0.3356
2011-12-31,1.251,0.6618,2.2816,17.9553,9.6966,9.6966,13.1852,7.6446,5.1443,1.1848,6.6025,9.4803,38.5007,34.0058,34.3423,6.4327,11.5002,4.2978,1.4092,0.7746
2012-12-31,1.3877,0.7052,2.5621,17.8772,9.0491,9.0491,12.2875,6.818,4.5366,1.1637,6.869,9.3922,38.862,32.7209,26.3648,5.6227,9.6473,4.3078,0.1141,0.2374
2013-12-31,1.282,0.6921,2.546,18.8082,9.3929,9.3929,12.9344,6.8917,4.8039,1.0828,6.6862,9.8535,37.0427,30.6921,27.8376,5.5573,9.4509,4.9818,0.1126,0.1902
2014-12-31,1.1528,0.7072,2.5564,19.4516,9.79,9.79,13.0688,7.5379,5.4842,1.132,6.7896,8.9541,40.7633,40.1742,31.376,6.5777,11.7636,4.5252,0.7414,0.6363
2015-12-31,1.0196,0.7978,4.0056,19.2197,7.5778,7.5778,11.1542,4.3266,3.5138,0.8247,7.1938,9.0362,40.3933,24.0286,27.2727,3.1247,4.8597,4.4311,0.0187,0.4812
2016-12-31,1.2304,0.6737,2.1271,19.4791,5.1098,5.1098,10.1093,1.3795,2.9025,0.5603,5.1635,6.0771,60.0613,7.512,7.6261,1.6447,2.4514,10.125,2.9736,2.9779
2017-12-31,0.915,0.617,1.7229,20.6319,7.3022,7.3022,13.9397,4.68,3.4053,0.6397,5.7123,6.7215,54.303,9.392,11.3467,2.2133,3.5971,11.5639,3.5425,3.8618
2018-12-31,0.9621,0.6463,1.8891,19.8195,8.0361,8.0361,14.0696,5.4405,3.902,0.7029,7.3399,6.4567,56.5303,12.7176,14.6082,2.7365,4.4976,10.6247,0.3046,0.454
2019-12-31,0.8757,0.6773,2.5893,19.7926,8.1227,8.1227,14.0317,5.2989,4.9329,0.6609,7.2237,7.0349,51.8838,17.7542,15.7554,3.0876,5.7289,9.2997,0.1065,0.6644
2020-12-31,1.052,0.6999,2.3374,20.8641,8.5137,8.5137,14.1839,5.8314,4.9656,0.6455,6.8906,6.7785,53.8469,17.4408,19.2079,3.1887,5.2338,10.1867,0.2486,1.8346
