date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.1329,0.1787,,11.2699,11.2699,11.9575,9.9404,7.8545,0.2096,,,,8.7045,11.2855,1.6464,7.5461,36.5332,14.4904,14.4904
2006-12-31,,0.0985,0.1497,,22.5015,22.5015,22.5765,21.181,17.2944,0.1985,,,,16.118,19.9273,3.4274,14.5284,43.7365,1.9458,1.9458
2007-12-31,,0.098,0.1309,,23.5128,23.5128,23.4704,22.2764,18.2139,0.1963,,,,15.4603,18.6285,3.5761,13.9442,50.5816,1.6155,1.6155
2008-12-31,,0.1626,0.2268,,13.1822,13.1822,13.1749,11.495,8.7808,0.1892,,,,8.286,11.188,1.6612,6.9383,43.2975,1.9039,1.9039
2009-12-31,,0.1384,0.1688,,21.9038,21.9038,22.2554,20.4113,16.9088,0.1933,,,,12.9608,16.1985,3.2688,11.1676,58.4414,2.3759,2.3759
2010-12-31,,0.1275,0.2028,,24.1285,24.1285,25.0344,22.729,19.274,0.192,,,,13.4282,16.8487,3.701,11.7158,68.5908,0.511,0.511
2011-12-31,,0.1213,0.1895,,13.6153,13.6153,14.5182,12.1302,9.1482,0.1928,,,,6.3291,7.8841,1.7636,5.5612,72.2174,0.2088,0.2088
2012-12-31,,0.1088,0.1729,,17.9862,17.9862,19.2128,16.5923,15.087,0.1938,,,,9.8289,11.9968,2.924,8.7598,80.8969,1.4733,1.4733
2013-12-31,,0.1167,0.198,,23.4308,23.4308,24.8222,22.003,19.5109,0.2038,,,,13.0373,16.0454,3.9763,11.5163,84.8308,0.031,0.031
2014-12-31,,0.1019,0.1997,,19.6495,19.6495,20.6301,18.1889,14.8819,0.1951,,,,9.6427,11.9558,2.9039,8.6602,90.0231,1.5763,1.5763
2015-12-31,,0.2437,0.3704,,19.1131,19.1131,20.8458,17.3593,14.926,0.1856,,,,9.7271,12.0843,2.7701,7.3565,89.7669,1.5125,1.5125
2016-12-31,,0.2071,0.3006,,19.2157,19.2157,26.5722,15.7298,13.1399,0.1969,,,,8.5655,15.7945,2.5878,6.7915,103.6013,0.3931,0.3931
2017-12-31,,0.1842,0.2731,,14.3876,14.3876,17.3464,11.5436,11.9747,0.193,,,,7.5451,13.2598,2.3117,6.1551,110.3242,1.801,1.801
2018-12-31,,0.1937,0.2785,,16.3738,16.3738,19.2194,14.2342,12.1099,0.195,,,,7.8749,13.7103,2.3616,6.3495,109.5637,2.183,2.183
2019-12-31,,0.1968,0.2941,,17.0362,17.0362,19.0838,15.3542,13.0287,0.1932,,,,8.0497,13.1108,2.5172,6.4654,122.4213,2.0801,2.0801
2020-12-31,,0.2009,0.2751,,12.9966,12.9966,14.8219,11.563,9.8155,0.1887,,,,5.9437,9.2414,1.8519,4.7494,131.8763,7.7598,7.7598
