date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.2757,0.9332,14.6255,22.8843,9.222,9.222,15.389,5.2372,5.0664,0.7079,6.2523,3.7643,96.9639,91.0638,17.908,2.8744,6.0847,1.4821,4.2178,2.9964
2006-12-31,1.4039,0.8021,4.4447,22.6549,10.7304,10.7304,16.3205,9.1035,6.8536,0.7319,6.8438,3.9146,93.2399,40.5337,57.8947,4.0405,8.0231,4.96,0.1534,0.0454
2007-12-31,1.5081,0.7556,3.3484,22.424,11.6077,11.6077,16.4339,6.9367,6.4556,0.7997,7.8601,4.4564,81.9041,31.7326,147.1616,4.1822,7.7543,6.9821,1.0657,1.3274
2008-12-31,1.6698,0.9472,19.2011,18.4083,6.4488,6.4488,11.7251,6.3462,3.9719,0.9521,9.6482,7.5392,48.4135,201.0869,38.5819,5.1633,10.62,1.2822,0.2792,0.285
2009-12-31,1.7772,0.8476,5.9744,19.7363,5.7064,5.7064,11.9835,4.939,9.6025,0.6041,7.8142,5.1699,70.6011,84.3003,97.6285,5.8726,12.8479,4.0583,0.2087,0.7646
2010-12-31,1.7302,0.7635,3.4752,19.9392,8.4995,8.4995,13.5688,9.0909,6.3197,0.7146,7.7672,5.4796,66.6103,46.0043,426.0,5.1443,10.8785,5.9451,0.9394,3.0584
2011-12-31,1.9516,0.6818,2.2498,20.9522,5.9441,5.9441,10.5427,6.9052,6.3138,0.794,7.5084,6.1148,59.691,31.7673,110.9375,5.0012,10.1092,8.5707,1.1593,0.9199
2012-12-31,2.0952,0.6288,1.7908,18.4014,2.7267,2.7267,7.7127,5.0016,5.7962,0.7131,7.3657,6.195,58.9187,21.7341,47.7157,4.1778,8.0687,10.8368,0.504,1.4174
2013-12-31,2.0595,0.5168,1.1352,20.9677,23.1644,23.1644,28.0645,24.7158,16.9124,0.7219,6.3993,5.3802,67.8418,40.7929,62.5924,12.2089,19.71,17.1977,0.2651,0.4642
2014-12-31,2.0164,0.4566,0.8847,23.7577,11.1438,11.1438,15.5249,13.8342,9.1738,0.7733,6.6317,6.5278,55.9144,20.3704,28.5389,7.1282,11.0699,20.1304,1.3777,0.5977
2015-12-31,1.7981,0.4659,1.0537,23.2288,5.7455,5.7455,12.1431,8.6006,5.3578,0.6608,6.3871,5.7255,63.7496,10.1449,14.3572,3.3427,5.4182,19.2735,0.4998,0.4271
2016-12-31,2.2953,0.4889,0.9957,26.0716,17.3316,17.3316,22.8057,19.113,16.7007,0.6448,5.5333,5.2627,69.3561,30.0563,44.707,10.8651,15.3612,21.4773,0.4701,2.1959
2017-12-31,1.7909,0.5012,1.1037,24.6091,13.9577,13.9577,19.0065,17.5081,13.7296,0.6437,5.1433,4.9919,73.1189,26.1291,43.208,9.0375,13.033,24.2986,0.3249,0.5664
2018-12-31,1.6155,0.4678,1.045,27.5612,18.6443,18.6443,23.522,21.1041,16.8693,0.7683,4.9551,5.4287,67.2355,36.0462,60.5368,13.0785,19.1841,26.3787,5.6997,5.1414
2019-12-31,1.5764,0.5405,1.3475,25.5042,13.2444,13.2444,18.8979,15.69,13.5303,0.6645,4.5193,5.3319,68.4556,29.8137,57.1429,9.1178,13.6991,24.2399,0.1593,0.3204
2020-12-31,1.9072,0.4531,0.9558,22.8647,11.7418,11.7418,18.0371,39.8055,35.1017,0.5184,4.4601,4.5531,80.1645,51.4506,83.1535,18.3702,28.1382,34.1164,0.3293,0.4333
