date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.5054,0.2035,0.2932,78.0592,12.0984,12.0984,21.924,11.6511,7.4304,0.8904,26.5713,3.6622,99.6672,11.3409,14.7705,6.6162,9.0334,2.4689,0.7327,0.2105
2006-12-31,2.4058,0.1689,0.2251,78.8852,12.0582,12.0582,21.1475,12.1582,7.9745,0.9209,16.0899,3.8128,95.7301,11.915,14.8693,7.3435,9.9029,2.9413,0.0208,0.0881
2007-12-31,2.841,0.1356,0.1694,81.5702,13.4276,13.4276,23.4822,13.42,8.3642,0.8994,26.0713,3.8866,93.9135,11.2259,13.5002,7.5224,9.7039,3.5323,0.1129,0.0389
2008-12-31,2.517,0.0782,0.1078,82.3354,16.6396,16.6396,26.8105,16.7916,11.2563,0.891,29.3248,3.5742,102.1216,14.3762,16.9397,10.0297,13.2516,4.0481,0.0196,0.2269
2009-12-31,3.2011,0.057,0.0762,83.1806,17.4659,17.4659,28.8067,17.5063,11.5718,0.7781,25.0132,3.6234,100.7349,12.2384,13.8625,9.0044,11.5412,4.8328,0.1907,0.1017
2010-12-31,3.7461,0.0344,0.0487,82.6855,19.4211,19.4211,29.8705,19.5767,12.824,0.7637,29.0283,3.8796,94.0808,12.4525,13.9116,9.7933,12.0239,5.7227,0.3007,0.3873
2011-12-31,3.4243,0.0362,0.0548,79.9527,20.87,20.87,30.5178,21.3192,13.9176,0.7343,18.9591,3.9118,93.3078,13.2693,15.1525,10.2197,12.7888,6.8139,0.2352,0.2317
2012-12-31,3.0865,0.046,0.0692,77.1821,21.4472,21.4472,29.7978,22.0492,14.9031,0.7195,25.6829,4.6127,79.1295,14.0184,16.1872,10.7231,13.3739,8.2331,0.4447,0.1775
2013-12-31,2.7508,0.0341,0.0523,82.3165,19.7892,19.7892,28.8431,20.2029,13.6856,0.7102,15.9362,4.9933,73.0974,12.5756,14.6663,9.7198,12.1472,9.2146,0.0404,0.7307
2014-12-31,3.7029,0.0173,0.0365,82.2383,22.4258,22.4258,31.3115,22.7517,15.4416,0.7511,25.4057,5.0577,72.1673,14.7347,16.8473,11.5975,14.4794,10.4167,0.4421,0.6427
2015-12-31,2.3498,0.1271,0.1564,83.0342,17.6517,17.6517,27.8709,17.6572,12.1882,0.7956,47.5539,4.2794,85.2922,13.9356,22.6324,9.6973,12.165,11.3849,0.5461,0.0567
2016-12-31,1.9155,0.1204,0.1435,83.7565,18.9934,18.9934,29.506,19.1481,13.2698,0.852,52.8573,5.0759,71.9079,16.204,25.2804,11.3053,14.2534,11.9158,0.6612,0.2559
2017-12-31,3.0145,0.0972,0.1101,83.3908,18.678,18.678,29.9711,18.8074,16.8598,0.7949,54.2315,4.9313,74.0169,18.1173,25.1109,13.4014,16.3566,14.3937,0.2442,0.5533
2018-12-31,2.4087,0.0818,0.09,82.5328,14.4379,14.4379,26.4124,14.9236,11.741,0.7999,37.4505,4.5343,80.4974,12.7843,17.1419,9.3918,11.7391,15.1966,0.49,0.2121
2019-12-31,2.0406,0.1939,0.2405,81.1854,10.5518,10.5518,22.637,11.4976,9.3007,0.8257,46.2014,4.9953,73.069,12.2635,17.2476,7.6792,9.8858,13.8861,0.2712,0.4313
2020-12-31,2.2685,0.2296,0.2981,83.0553,16.611,16.611,29.2781,18.0078,14.1685,0.732,40.5151,4.711,77.4785,17.4027,24.0857,10.372,13.4067,14.656,0.5598,1.0064
