date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2011-12-31,,,,,,,,18.7515,12.1957,,,,,,,,,,4.4268,4.2464
2012-12-31,,0.028,0.1988,,,,,22.852,14.3495,0.0353,,,,2.6648,5.0164,0.5061,2.5903,43.0877,1.3661,1.4928
2013-12-31,,0.0682,0.44,,,,,82.3557,81.3584,0.0345,,,,17.8475,27.8084,2.8047,16.6303,34.2787,1.6697,1.7357
2014-12-31,,0.1941,0.7874,,,,,27.2103,18.5622,0.0351,,,,4.4893,6.9803,0.6511,3.6177,35.2969,2.2381,2.2445
2015-12-31,,0.3348,0.6779,,,,,27.9301,18.4211,0.0327,,,,4.3301,6.5779,0.6078,2.8444,37.2243,0.2089,0.1583
2016-12-31,,0.3931,0.8684,,,,,31.3958,21.1011,0.0327,,,,5.359,8.119,0.6989,3.2117,38.5718,0.5605,0.4997
2017-12-31,,0.3673,0.7122,,,,,35.4994,30.4122,0.0354,,,,8.2505,12.344,1.0844,5.1569,41.2988,0.8945,0.65
2018-12-31,,0.4334,0.8283,,,,,37.625,29.1624,0.0361,,,,8.6149,12.3866,1.0722,4.684,44.6709,0.0605,0.0412
2019-12-31,,0.3875,0.6451,,,,,36.9137,28.1732,0.0368,,,,8.6811,11.8163,1.0807,4.941,51.2582,0.0831,0.3554
2020-12-31,,0.2691,0.3788,,,,,24.5415,17.9618,0.0288,,,,5.1043,6.7657,0.5765,3.4076,53.0723,3.5017,3.5667
