date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.2068,0.4769,1.0856,36.6829,12.2531,12.2531,14.796,10.0762,7.0778,0.885,7.0414,9.2435,39.4873,17.6367,33.3288,6.2639,9.2262,2.7057,0.6859,0.5498
2006-12-31,1.2513,0.4786,1.0805,39.1197,12.9571,12.9571,15.6157,10.9525,7.1403,0.8336,6.0776,8.4081,43.4105,16.0826,27.6884,5.9519,8.3855,3.3041,0.0098,0.0463
2007-12-31,1.6063,0.3957,0.7924,39.078,13.7345,13.7345,16.2861,11.9288,7.6105,0.877,6.333,8.9591,40.7408,15.6472,61.7476,6.6745,9.4559,3.8877,0.2081,0.2326
2008-12-31,1.7181,0.3698,0.6429,40.1139,14.0494,14.0494,16.997,12.7254,8.0571,0.8647,7.2938,11.47,31.8221,14.6566,60.2976,6.9672,9.2367,4.7511,0.2976,0.1549
2009-12-31,1.6371,0.2716,0.5096,43.6749,16.3791,16.3791,19.7668,15.5579,9.6592,0.8084,6.5472,11.3473,32.1662,15.2019,780.5264,7.8084,11.0726,5.6761,0.2199,0.1426
2010-12-31,1.4527,0.1177,0.1816,44.7165,17.1868,17.1868,19.9521,16.1556,10.455,0.8791,7.3255,11.2038,32.5782,14.469,191.986,9.1912,12.7653,6.5687,0.082,0.2576
2011-12-31,1.9687,0.109,0.1236,44.1749,17.9173,17.9173,20.7216,17.99,11.2611,0.8819,7.6472,10.3904,35.1286,15.1705,115.3932,9.9307,13.5167,7.1714,0.0177,0.0525
2012-12-31,1.2869,0.2396,0.4382,44.1973,18.6557,18.6557,21.5647,18.5667,11.9717,0.713,6.732,9.6401,37.8629,16.9715,85.8194,8.5357,12.9054,7.4257,0.3332,0.3349
2013-12-31,1.7135,0.2202,0.3493,45.0177,19.4785,19.4785,22.3116,18.7146,12.347,0.7499,7.0112,9.6738,37.7306,17.1478,311.7793,9.2589,13.3718,8.2755,0.0655,0.0421
2014-12-31,1.1246,0.2471,0.517,44.0593,19.4445,19.4445,22.2101,18.9502,12.5516,0.7565,7.5018,10.2125,35.7407,19.6917,83.5318,9.4949,14.825,7.881,0.1956,0.1769
2015-12-31,1.0382,0.2551,0.519,44.5328,19.8598,19.8598,22.8349,18.7169,12.0891,0.7975,6.8723,12.2911,29.6963,20.2847,68.2635,9.6408,15.1105,7.7843,0.3036,0.3287
2016-12-31,0.7554,0.2596,0.5664,45.5355,20.7323,20.7323,23.8127,20.2084,13.1402,0.8023,7.3683,12.1711,29.9891,23.2064,51.1136,10.5418,17.1827,7.7881,0.2319,0.2731
2017-12-31,1.0697,0.4867,1.0705,45.8027,19.4031,19.4031,22.7239,18.3438,19.6865,0.6278,6.1887,10.917,33.434,33.5167,36.0629,12.3595,17.2028,8.9569,0.1609,0.1752
2018-12-31,0.8129,0.3808,0.8587,44.4005,19.096,19.096,22.4993,17.3545,13.7148,0.6831,6.0217,12.0067,30.3998,23.1722,31.3607,9.3686,14.3492,9.939,0.3848,0.3195
2019-12-31,0.8756,0.4042,0.7733,45.5286,19.2808,19.2808,23.3288,17.7548,14.1336,0.6546,5.6869,12.227,29.852,23.0864,28.4915,9.2514,13.7539,10.8705,0.3833,0.332
2020-12-31,0.8011,0.375,0.7164,45.2265,21.0323,21.0323,24.9071,19.8905,16.0525,0.6603,5.413,12.2763,29.732,26.0197,33.8838,10.5995,16.2615,12.3101,0.4974,0.4254
