date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.2746,1.3389,3.9506,56.2289,6.0401,6.0401,35.8236,17.7032,19.2728,0.3063,,23.5187,15.5196,20.3862,6.8018,6.1043,6.9091,13.072,0.9269,2.7951
2006-12-31,0.2612,1.4821,3.0743,55.7049,6.6679,6.6679,31.4135,25.4179,24.891,0.3645,,28.2256,12.9315,25.5025,10.2707,10.5033,12.2946,16.8558,0.1493,3.5947
2007-12-31,0.2523,1.6533,2.5308,56.3479,9.1303,9.1303,31.2563,21.9594,25.5582,0.4092,,26.6756,13.6829,19.3487,9.0709,10.4118,12.6397,21.9149,0.0941,3.5537
2008-12-31,0.8314,1.9482,2.0694,56.6754,9.4768,9.4768,10.7424,39.3579,37.8299,0.4667,,29.1847,12.5066,23.2915,13.6194,17.6271,22.0848,28.2162,0.1995,0.3762
2009-12-31,1.1064,0.8736,6.9458,56.9356,14.493,14.493,4.9889,144.456,168.2605,0.4055,,27.2379,13.4004,526.6423,152.1235,60.6375,66.5854,18.4746,0.5353,1.7903
2010-12-31,0.3394,0.8928,8.3261,36.4499,14.5063,14.5063,36.0958,0.8216,3.3574,0.4486,,28.579,12.7716,16.0352,3.5215,1.506,1.7194,14.2686,18.2003,7.616
2011-12-31,0.3086,0.9692,31.4328,36.6463,14.4503,14.4503,36.5491,0.9717,5.1222,0.4618,,26.8806,13.5786,90.2201,4.8958,2.3652,2.7818,4.4977,1.2142,2.704
2012-12-31,0.2696,0.9885,85.9597,35.2345,12.1935,12.1935,35.0213,0.6263,4.0512,0.4811,,32.0684,11.3819,204.0268,4.0452,1.9492,2.3462,1.6287,3.1864,2.8706
2013-12-31,0.2195,0.9895,93.9139,34.4574,11.1465,11.1465,33.8811,0.6009,2.0723,0.4715,,34.8504,10.4733,111.9205,2.0062,0.9772,1.1792,1.5733,2.5946,2.1591
2014-12-31,0.211,0.9931,143.0616,34.4203,10.661,10.661,33.7396,0.5819,2.0092,0.3735,,31.9579,11.4213,125.3425,2.2501,0.7504,0.8701,1.4417,0.66,2.2046
2015-12-31,0.1749,1.0013,776.587,34.1193,11.421,11.421,33.2069,3.3935,2.7783,0.2481,,34.9606,10.4403,589.1304,3.3556,0.6893,0.7596,0.4091,0.7523,3.7225
2016-12-31,0.3448,0.5425,1.226,35.6791,8.4681,8.4681,32.2829,2.8273,12.1436,0.1946,,20.2535,18.0216,7.4356,6.1326,2.5123,3.4019,187.3052,10.9264,6.4369
2017-12-31,0.2304,0.5892,1.4776,36.1704,9.8747,9.8747,35.3383,2.4723,23.7969,0.2836,,25.4318,14.3521,21.2809,16.5027,6.8986,8.7412,199.2864,6.0418,0.5365
2018-12-31,0.2257,0.611,1.645,36.1507,11.9654,11.9654,35.6121,3.864,2.8189,0.2986,,25.1783,14.4966,3.4017,2.4225,1.0306,1.3233,196.4554,9.6714,0.1863
2019-12-31,0.5225,0.6607,2.0375,36.142,14.2273,14.2273,35.9169,5.312,3.6448,0.3088,,20.5496,17.7619,5.1326,3.0404,1.3442,1.7414,184.8354,2.5359,9.1278
2020-12-31,0.3955,0.7297,2.7328,37.7716,17.4751,17.4751,37.651,8.9444,6.699,0.3335,,21.8523,16.703,12.1396,5.0907,2.5491,3.2814,156.3044,17.0872,11.5891
