date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-06-30,0.8086,1.3525,4.4901,43.186,18.7101,18.7101,22.8806,16.6135,24.9772,1.2132,7.7183,10.6764,34.1876,93.4901,27.2823,14.2936,32.9509,3.6458,4.2695,3.4268
2006-06-30,0.8912,1.0862,14.5769,42.1835,16.7743,16.7743,20.8226,14.0612,9.5607,1.2843,9.1952,10.6759,34.1893,283.9744,29.4548,12.2511,24.4751,1.0311,0.8578,1.1915
2007-06-30,0.7232,0.8953,11.9064,43.1401,17.8874,17.8874,21.8486,15.3291,10.3363,1.3535,8.9191,10.537,34.64,290.0585,41.2646,13.8509,30.3736,1.1305,1.1941,1.4156
2008-06-30,0.7526,1.1574,9.3919,41.2479,16.8405,16.8405,20.7282,13.1424,8.7427,1.1191,8.0677,10.4416,34.9564,124.5946,17.0048,9.7835,19.617,2.6804,0.5643,0.3152
2009-06-30,0.6092,1.0886,17.9943,42.7297,17.7201,17.7201,21.3649,13.7456,10.3141,1.1272,8.071,10.6132,34.3912,269.7143,19.1326,10.3147,23.8866,1.2576,0.095,0.0993
2010-06-30,0.9052,0.9624,33.6747,44.3065,18.59,18.59,22.0864,15.3802,11.4635,1.1508,8.7801,9.6926,37.6576,633.7349,28.1886,11.5655,23.8333,0.5981,0.5215,0.4996
2011-06-30,0.937,1.0422,30.0465,43.4525,12.6744,12.6744,20.9138,10.7628,10.6098,1.2565,7.7435,9.9638,36.6326,333.7209,16.0425,6.8941,14.0755,0.6562,0.7323,0.9631
2012-06-30,0.6676,1.094,20.1556,42.1361,16.5143,16.5143,19.7696,14.466,9.8939,1.2556,8.2396,9.4931,38.4492,402.2222,28.7454,12.4684,37.8134,1.042,0.4288,0.2289
2013-06-30,1.2522,0.937,16.2466,43.2135,17.5312,17.5312,20.7844,15.3985,10.338,1.2835,7.9746,9.5397,38.2613,392.4658,36.1286,13.2916,24.7409,1.1199,1.2029,1.2251
2014-06-30,0.8516,0.9119,15.0195,42.7276,17.7185,17.7185,20.9285,16.0319,10.1197,1.295,8.1813,10.0989,36.1426,375.974,37.163,13.5979,33.1046,1.1957,0.0064,0.3826
2015-06-30,1.0171,0.9383,18.5678,43.5897,17.8249,17.8249,20.8134,16.2865,10.2564,1.3581,8.2857,10.896,33.4987,513.5593,39.5046,14.5533,31.6614,0.9175,0.7605,0.859
2016-06-30,0.9531,0.8576,7.7845,45.0963,18.469,18.469,21.3331,17.063,11.2481,1.2774,7.14,10.1248,36.0502,218.1818,39.633,14.3681,31.0642,2.296,0.6759,1.0403
2017-06-30,0.8369,0.7196,4.0498,44.7179,18.8682,18.8682,21.5972,17.2945,11.7362,1.3061,7.1939,10.5717,34.5262,129.7048,51.0901,15.3728,36.3683,4.2011,0.668,0.2181
2018-06-30,1.0925,0.7588,3.4201,43.6806,18.55,18.55,21.2606,17.211,13.4389,1.2103,6.8162,10.2067,35.7609,113.3609,45.5956,16.2648,27.3422,5.6726,0.8429,1.1242
2019-06-30,0.9063,0.8036,4.7996,43.9009,18.0882,18.0882,20.9849,16.4789,13.196,1.2146,6.8086,9.8479,37.0639,146.6905,42.1811,16.0282,28.8124,4.4476,0.2255,0.1127
2020-06-30,1.4245,0.7538,3.0617,45.5736,18.9555,18.9555,21.6337,17.6313,13.9711,1.0818,8.0573,10.3719,35.1912,103.4141,60.0768,15.1135,25.461,7.195,4.4663,4.064
