date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.4387,0.8528,,,,,42.842,30.5103,0.0532,,,,16.101,16.101,1.5392,9.0375,31.1111,5.0059,4.2249
2006-12-31,,0.5358,1.2886,,,,,40.2356,31.8815,0.0483,,,,15.1756,15.1756,1.3483,7.0438,32.7021,1.0126,0.7874
2007-12-31,,0.6329,2.2818,,,,,36.8794,25.3826,0.043,,,,13.3281,13.3281,1.0942,4.8931,34.1161,0.5659,0.3448
2008-12-31,,0.6779,2.3512,,,,,13.4026,9.4955,0.0299,,,,4.2206,2.9642,0.3139,0.9547,47.5248,0.7992,0.686
2009-12-31,,0.6114,1.6408,,,,,7.4919,7.6873,0.0259,,,,0.328,0.2276,0.027,0.0885,46.4943,5.1745,4.557
2010-12-31,,0.5145,1.082,,,,,16.0961,7.8181,0.0365,,,,4.4882,4.4882,0.4845,2.1792,32.8148,6.8228,7.3194
2011-12-31,,0.4186,0.7301,,,,,23.0335,16.9057,0.0377,,,,5.7222,5.7222,0.6442,3.3271,34.8039,3.1539,3.8045
2012-12-31,,0.4047,0.6958,,,,,30.2501,20.4446,0.0387,,,,7.505,7.505,0.8007,4.4675,36.8716,0.6754,0.4155
2013-12-31,,0.3313,0.5309,,,,,31.3397,21.252,0.0385,,,,7.5664,7.5664,0.8294,5.0594,39.2202,0.8664,0.7116
2014-12-31,,0.2655,0.3771,,,,,35.0101,23.5815,0.0359,,,,8.0113,8.0113,0.8571,5.8847,41.3476,1.0165,0.8494
2015-12-31,,0.288,0.4075,,,,,29.1036,19.9845,0.0359,,,,6.8915,6.8915,0.7248,4.9068,43.0259,1.3249,1.0458
2016-12-31,,0.3983,0.6651,,,,,25.7692,18.1923,0.0356,,,,6.1185,6.1185,0.6536,3.6817,44.4688,2.0332,1.9125
2017-12-31,,0.3673,0.5817,,,,,39.8837,23.8526,0.0432,,,,9.3307,9.3307,1.0382,5.9039,46.0667,3.3497,3.4989
2018-12-31,,0.4626,0.8668,,,,,46.1099,36.8579,0.047,,,,16.4513,16.4513,1.7439,8.8404,46.8941,3.3548,3.2161
2019-12-31,,0.498,1.0018,,,,,46.7786,36.3664,0.0446,,,,16.3505,16.3505,1.6321,8.2077,51.5637,2.2318,2.275
2020-12-31,,0.4157,0.7116,,,,,24.8842,19.3263,0.0269,,,,6.1912,5.8882,0.5378,3.4403,57.8442,0.5899,0.5847
