date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.3369,,,100.0,53.7159,53.7159,61.3832,57.1363,34.4874,0.2242,,10.471,34.8581,27.4302,27.4302,7.7306,27.4302,6.4761,1.9991,1.5075
2006-12-31,1.4695,,,100.0,57.0177,57.0177,63.9284,61.6229,37.3732,0.2531,,8.9983,40.5632,26.8152,27.2506,9.4589,26.8152,8.7206,0.6868,0.6784
2007-12-31,1.2235,,0.0134,100.0,59.8998,59.8998,67.9688,62.3996,37.4979,0.0865,,9.3665,38.9686,5.3512,26.0548,3.2429,5.3512,46.1915,1.0069,0.7647
2008-12-31,1.0251,0.137,0.1721,100.0,61.7806,61.7806,71.925,48.731,27.9383,0.0532,,10.9444,33.3503,3.8285,7.7924,1.4857,3.3041,56.274,0.3678,0.4313
2009-12-31,1.0269,0.0945,0.1199,100.0,60.8198,60.8198,70.9277,55.0176,31.6059,0.0733,,10.5228,34.6867,4.2785,9.742,2.3163,3.8741,58.0359,0.8055,0.6014
2010-12-31,1.1268,0.095,0.1259,100.0,60.9615,60.9615,70.3965,57.326,31.6743,0.0857,,10.0965,36.1513,4.7462,11.3112,2.7167,4.2955,60.0153,0.8342,0.8276
2011-12-31,1.1384,0.089,0.0978,100.0,61.6076,61.6076,69.5483,59.0288,55.2429,0.0805,,11.3359,32.1987,8.4187,26.7402,4.4516,7.669,65.1795,0.0562,0.0908
2012-12-31,1.1445,0.0895,0.1333,100.0,58.0526,58.0526,66.7364,58.1006,30.7521,0.075,,10.8957,33.4995,4.232,14.6929,2.3331,3.8531,64.5649,0.3628,0.1734
2013-12-31,1.047,0.0906,0.135,100.0,55.7504,55.7504,63.8593,54.5244,33.2664,0.0541,,9.7004,37.6275,4.6223,15.464,1.802,4.2037,63.3823,0.159,0.3383
2014-12-31,1.0244,0.0915,0.1007,100.0,56.8161,56.8161,64.3084,56.9125,36.2121,0.0431,,9.1222,40.0122,5.3858,17.4491,1.5599,4.8929,62.3735,0.0134,0.5814
2015-12-31,1.0293,0.0979,0.1085,100.0,59.7782,59.7782,66.6496,58.8193,37.4835,0.0494,,9.2979,39.256,6.0676,18.5279,1.8513,5.4738,60.9953,0.6927,0.7499
2016-12-31,1.0279,0.0988,0.1097,100.0,61.2066,61.2066,67.4733,63.6293,42.6708,0.0518,,9.8661,36.9954,7.542,22.4107,2.2115,6.7965,60.1364,0.5743,0.6413
2017-12-31,1.027,0.0906,0.0996,100.0,63.3962,63.3962,69.1168,69.3144,111.4879,0.0481,,10.1326,36.0223,18.1306,86.8471,5.3613,16.4878,66.0657,0.0372,0.0674
2018-12-31,1.0149,0.1285,0.1695,100.0,60.5096,60.5096,66.2807,64.4591,45.533,0.0556,,7.7885,46.8637,7.5628,26.129,2.5346,6.5913,72.7672,1.9539,1.8551
2019-12-31,1.0271,0.1252,0.1431,100.0,53.1594,53.1594,62.8821,55.2506,43.4778,0.0647,,9.8983,36.8749,8.0881,30.7699,2.813,7.0757,73.1786,0.3601,0.0141
2020-12-31,1.0123,0.1156,0.1307,100.0,54.0052,54.0052,63.5146,55.7396,43.1075,0.0392,,10.5866,34.4775,7.9935,32.4666,1.6897,7.0696,73.5843,0.1135,0.2481
