date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.7656,0.3942,0.7334,20.609,9.0139,9.0139,11.9883,8.046,5.5455,1.4405,6.707,6.9698,52.3689,29.5064,39.1181,7.9884,17.8746,10.0215,3.7182,2.911
2006-12-31,1.8708,0.1876,0.2894,21.6951,9.9542,9.9542,12.5594,9.5318,6.2929,1.522,6.3869,6.4301,56.7642,25.5175,30.8456,9.578,20.7307,13.4453,0.4176,0.24
2007-12-31,1.7761,0.14,0.1977,19.5892,8.8749,8.8749,11.0975,8.9592,5.6637,1.5922,6.2009,6.5305,55.8913,23.1153,27.4469,9.6156,19.8789,16.8595,0.0837,0.6447
2008-12-31,1.7859,0.1531,0.192,20.4992,8.8691,8.8691,11.0584,8.2136,5.2643,1.6835,6.3948,8.0483,45.3514,23.5058,28.2556,9.6021,19.9075,17.2876,0.97,0.0996
2009-12-31,2.0572,0.1368,0.1677,20.0833,6.3148,6.3148,9.3333,5.9259,3.963,1.225,6.4362,5.3892,67.7278,12.0398,14.119,5.49,10.393,19.9702,0.7292,1.8271
2010-12-31,1.9291,0.1243,0.1583,23.9528,12.1125,12.1125,14.532,12.2259,7.8633,1.2715,5.0875,5.8966,61.9004,22.8183,25.8679,10.9594,19.9825,25.2578,0.6485,0.6984
2011-12-31,1.939,0.1014,0.1343,25.4266,14.8548,14.8548,16.6556,14.7994,10.2394,1.5468,6.2863,7.1449,51.0854,33.3734,36.9611,16.6781,29.9892,30.3698,5.605,4.0008
2012-12-31,2.2854,0.091,0.1111,25.4759,13.0034,13.0034,15.086,13.1014,9.49,1.3814,5.8163,7.0036,52.1158,24.9211,28.2143,13.8508,22.6538,36.7439,2.6306,3.0969
2013-12-31,2.565,0.1752,0.2211,24.7385,12.1438,12.1438,14.4963,12.2479,8.5718,1.1747,5.4687,6.5311,55.8861,20.1779,22.5184,10.7822,16.6422,42.1532,3.069,3.1
2014-12-31,2.2519,0.1631,0.2083,25.2901,12.3043,12.3043,14.6715,12.6632,8.5896,1.2193,5.0105,6.5244,55.9435,21.4506,23.8757,11.0124,17.9524,44.688,1.231,0.7795
2015-12-31,2.0897,0.169,0.2115,25.887,10.764,10.764,13.4537,10.5966,7.3208,1.2627,5.232,6.7766,53.8619,18.9677,21.1816,9.7132,15.7624,44.4636,0.8025,0.7743
2016-12-31,1.782,0.1794,0.2587,25.4612,10.7373,10.7373,13.7644,11.0229,7.9616,1.1664,4.8789,5.7881,63.0604,20.2955,22.8859,9.6996,16.6552,42.8299,0.1242,0.853
2017-12-31,1.5727,0.1628,0.2457,24.9657,11.4255,11.4255,14.2794,11.5773,4.8903,1.1302,4.8414,5.6462,64.6451,12.1754,16.2711,5.4993,10.1928,49.4189,2.1598,2.8458
2018-12-31,1.5379,0.162,0.2998,24.1345,11.7202,11.7202,14.2905,11.5813,9.0068,1.247,4.7976,6.1487,59.3618,26.4802,35.1382,11.4731,22.1895,52.2722,0.9966,0.9915
2019-12-31,1.4995,0.157,0.2796,25.3702,11.4548,11.4548,14.3057,12.0233,9.5881,1.1943,5.0462,6.4226,56.8304,26.7927,36.7228,11.4911,22.5874,56.1712,5.7711,5.6419
2020-12-31,1.878,0.2865,0.4632,24.7035,11.4532,11.4532,14.8503,11.8015,9.0303,0.8757,4.3553,5.1861,70.3801,20.1469,26.8974,8.0048,14.3742,60.9011,2.1095,1.1689
