date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.8369,0.7583,3.3338,42.4902,5.8683,5.8683,3.7421,13.0294,1.5989,0.3665,2.6518,6.5395,55.8148,6.0724,6.1438,0.879,1.4675,10.5306,2.8234,0.3116
2006-12-31,1.4578,0.7419,3.1267,42.034,0.8815,0.8815,9.2393,6.9376,1.4691,0.3985,2.6461,8.5083,42.8991,5.9534,5.9534,0.8653,1.5369,10.0269,0.3144,0.5799
2007-12-31,1.1646,0.731,3.0568,36.413,0.0155,0.0155,9.5024,4.914,3.6273,0.4546,3.075,7.2975,50.0171,5.6338,5.6338,0.8455,1.5155,9.4625,3.0354,1.8897
2008-12-31,1.5174,0.7153,2.7201,23.1526,11.6645,11.6645,20.9637,6.4639,4.1722,0.4568,3.7231,7.9428,45.9534,12.1567,12.1567,2.02,3.461,10.9364,2.2558,2.6163
2009-12-31,1.4033,0.6746,2.3233,42.4658,11.249,11.249,20.4351,5.3989,3.5133,0.4067,2.7066,6.2299,58.5882,8.1512,7.4881,1.4421,2.4363,12.8916,1.2063,1.121
2010-12-31,1.3652,0.7005,2.6035,45.3047,15.2052,15.2052,24.1605,9.1729,5.0373,0.4119,2.994,6.4904,56.2368,12.901,12.901,2.3438,3.8636,11.3662,0.2275,0.4196
2011-12-31,1.0971,0.6689,2.3646,45.9942,15.4237,15.4237,23.8198,9.3188,6.3817,0.3953,2.9587,7.3982,49.3365,13.5091,13.5091,2.5225,4.4725,12.0897,0.6461,0.5439
2012-12-31,1.3478,0.6794,2.3206,48.8406,16.0403,16.0403,25.6037,9.9472,6.1091,0.365,2.9511,7.2289,50.4918,11.643,11.643,2.2007,3.7323,12.2605,0.1822,1.0375
2013-12-31,1.2987,0.6747,2.2833,49.3451,17.3926,17.3926,26.9571,11.5139,6.8839,0.377,3.7753,7.1061,51.3646,13.0049,13.0049,2.6068,4.2311,13.1191,0.6059,0.301
2014-12-31,1.3332,0.6871,2.3574,46.2599,16.0468,16.0468,25.5885,10.1546,6.6444,0.3742,4.2026,8.0482,45.3517,12.9215,12.9215,2.4967,4.0436,13.4702,0.1671,0.7027
2015-12-31,1.0078,0.6818,2.3831,52.8656,18.2466,18.2466,29.8637,12.3296,8.101,0.318,3.9113,8.2242,44.3812,13.2076,13.2076,2.5863,4.2024,14.3398,0.538,0.6245
2016-12-31,0.8588,0.671,2.3389,56.1963,19.6281,19.6281,32.3019,12.9083,8.6107,0.2959,4.4776,7.6819,47.5145,12.8904,12.8904,2.5576,4.2408,15.3653,0.0905,0.4291
2017-12-31,0.889,0.6729,2.3419,56.7978,20.3251,20.3251,33.708,13.4589,6.9877,0.2856,4.2321,6.3056,57.8855,10.3171,10.3171,2.0043,3.3742,15.902,0.2311,0.2967
2018-12-31,0.9405,0.6904,2.4576,55.5071,16.9067,16.9067,30.4816,11.2615,9.5591,0.2802,4.7046,7.0276,51.938,13.7521,13.7521,2.6866,4.2582,16.909,0.0521,1.4539
2019-12-31,0.8621,0.7041,2.6206,58.6121,18.1008,18.1008,32.5931,12.111,9.9343,0.2551,4.6826,7.5803,48.1512,13.4916,13.4916,2.5413,3.9925,17.8056,0.2764,0.2069
2020-12-31,0.782,0.6926,2.5006,62.4551,20.3892,20.3892,36.0779,13.2485,11.3024,0.2252,4.3542,7.5737,48.1931,12.3745,12.3745,2.5349,3.8043,21.035,1.8393,2.5315
