date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.27,0.208,0.2646,18.2292,4.2421,4.2421,5.3027,4.6573,4.5148,1.8445,,27.936,13.0656,10.7091,21.2517,5.6436,8.4817,2.0474,0.4111,0.2617
2006-12-31,1.1646,0.3485,0.538,15.9094,1.2197,1.2197,2.35,1.4906,2.394,2.0363,,24.5022,14.8967,5.3918,9.7245,1.9665,3.5125,1.8816,0.6818,0.5492
2007-12-31,0.9169,0.3321,0.4996,15.8978,1.9951,1.9951,2.9993,2.3138,2.6508,2.4683,,34.8341,10.4783,9.888,15.4957,3.6583,6.6039,2.3762,0.0351,0.0163
2008-12-31,1.0396,0.3455,0.5284,17.1286,3.9103,3.9103,4.9628,4.0605,2.4817,2.3185,,36.361,10.0382,16.7935,26.2805,5.801,10.991,2.7805,0.1219,0.0558
2009-12-31,0.8606,0.3314,0.4968,14.2841,3.3668,3.3668,4.4393,3.3515,2.0393,2.4101,,39.6581,9.2037,14.3144,23.8121,5.2085,9.57,3.5864,0.1502,0.0483
2010-12-31,0.8583,0.2914,0.4148,14.2713,3.531,3.531,4.7,3.4683,2.1319,2.2884,,32.6499,11.1792,11.8413,19.2658,4.8553,8.3904,4.016,0.5629,0.6817
2011-12-31,1.1222,0.2711,0.3754,14.9996,3.9107,3.9107,5.0299,3.6141,2.1341,2.3793,,33.0993,11.0274,12.5652,18.7658,5.3719,9.1583,4.6025,0.4096,0.646
2012-12-31,1.1436,0.3596,0.565,10.0247,1.3317,1.3317,2.1455,1.5166,0.0247,2.9237,,32.25,11.3178,7.9684,11.2225,2.7398,5.1032,4.5566,0.0517,0.0213
2013-12-31,1.1546,0.3489,0.5382,11.1203,2.5499,2.5499,3.1667,2.4763,1.5189,3.0782,,25.3217,14.4145,13.033,19.1489,4.5905,8.4861,5.6174,0.3994,0.4787
2014-12-31,1.0176,0.334,0.5043,11.4976,2.8019,2.8019,3.3394,2.7597,1.6365,2.8434,,18.1579,20.1015,14.9742,30.0345,4.4815,9.9733,7.3586,3.3827,3.2571
2015-12-31,0.9934,0.3593,0.5632,12.065,3.0975,3.0975,3.7522,3.0624,1.5598,3.1012,,17.7952,20.5112,16.5129,36.0161,4.878,10.5792,9.0076,2.4072,2.5888
2016-12-31,0.9701,0.4404,0.7878,13.6528,3.1103,3.1103,3.7949,2.8567,1.384,2.0105,,12.6305,28.8983,9.494,161.2069,2.7776,5.3125,17.1854,2.9707,2.6472
2017-12-31,0.9326,0.4062,0.6846,11.99,2.4782,2.4782,3.2243,2.3438,1.7114,2.2138,,14.1758,25.7481,11.7716,112.6918,3.6971,6.9902,19.7882,1.4308,1.6919
2018-12-31,1.0023,0.3764,0.6071,14.0079,2.4253,2.4253,3.2487,2.2756,1.4971,1.9454,,11.673,31.2687,8.1177,50.8243,2.8931,5.062,26.6996,1.1167,1.6165
2019-12-31,1.5715,0.5186,1.0843,11.8477,2.3862,2.3862,3.2476,2.3875,1.7699,1.8207,,11.948,30.5491,10.3405,35.0656,3.1932,4.9778,30.5001,0.4309,0.3884
2020-12-31,1.0838,0.3919,0.6482,13.6939,2.7737,2.7737,3.9068,2.4956,1.6271,1.6169,,11.4599,31.8502,6.9307,155.3247,2.6106,4.2145,44.5158,5.9746,6.2105
