date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.9592,0.8686,6.8727,33.0488,9.6585,9.6585,16.0152,3.8881,2.5921,0.568,17.0393,8.4466,43.2128,17.3611,54.4794,1.3146,2.281,4.1806,0.1821,1.8207
2006-12-31,0.7095,0.8337,5.9042,36.5919,11.2137,11.2137,18.2423,5.301,4.6357,0.5285,14.8095,9.1632,39.8331,27.7635,289.9329,2.45,4.6164,4.9554,2.7024,1.7741
2007-12-31,0.7354,0.8221,5.4757,37.7013,12.3143,12.3143,19.5885,6.1104,4.1047,0.5384,12.2347,10.5747,34.5163,21.8232,346.4912,2.2102,3.8824,5.6037,0.6247,0.9461
2008-12-31,1.0657,0.8343,5.2755,34.0576,11.2436,11.2436,17.7531,6.3858,3.9392,0.5754,13.1213,11.221,32.5283,22.0574,136.8098,2.2667,3.6548,5.1714,0.214,0.5014
2009-12-31,0.9559,0.7756,3.8185,47.2165,13.5732,13.5732,22.9924,6.6176,4.4922,0.4188,13.367,10.4823,34.8207,14.0963,39.4486,1.8814,3.1638,6.7494,2.5289,2.3418
2010-12-31,0.9855,0.7378,2.965,47.934,14.2174,14.2174,24.3597,8.025,5.0313,0.4368,12.1973,9.0288,40.4263,13.8211,29.4274,2.1978,3.6232,7.5247,1.6468,2.1483
2011-12-31,0.9013,0.6718,2.176,52.0118,15.361,15.361,26.2012,13.8935,16.0592,0.3893,11.4873,10.9314,33.3899,18.2378,30.483,3.5479,5.9862,9.9108,1.0479,1.6623
2012-12-31,0.8039,0.6602,2.2774,61.4466,13.9292,13.9292,28.4487,10.1584,5.5958,0.3258,8.9224,9.6155,37.9596,9.6954,14.7194,1.8233,3.2944,10.0491,0.0761,0.1432
2013-12-31,0.8804,0.6436,1.9305,51.7888,12.4599,12.4599,24.5991,9.6348,3.8367,0.3706,13.7123,9.5253,38.3192,7.1841,8.9137,1.422,2.5605,10.0909,0.5852,0.749
2014-12-31,1.1705,0.6378,1.9474,46.6616,10.1344,10.1344,21.4177,9.5925,6.6226,0.3977,12.9842,8.9834,40.6303,13.4345,16.4779,2.6336,4.8658,10.5767,0.5087,0.7008
2015-12-31,1.094,0.6944,2.534,58.0016,12.632,12.632,26.1305,15.2992,9.3691,0.3469,8.9395,9.6549,37.8046,19.9942,26.4021,3.2504,6.1093,8.0439,1.115,0.6072
2016-12-31,0.949,0.6852,2.4832,60.6004,13.5893,13.5893,28.8921,9.1126,5.7386,0.3449,9.5064,9.7766,37.334,12.4856,16.6282,1.979,3.9301,8.0338,0.0821,0.5077
2017-12-31,1.1062,0.6361,1.8857,49.0951,11.8161,11.8161,22.8417,11.0568,18.6395,0.4229,12.3275,9.614,37.9655,38.2253,46.8987,7.8818,13.9098,10.8759,1.1659,1.1935
2018-12-31,2.1275,0.5186,1.1373,76.0395,13.8283,13.8283,34.3954,8.7781,5.3051,0.2324,3.8173,5.2748,69.1971,6.2678,5.5571,1.4662,2.3656,16.0775,1.4607,1.0937
2019-12-31,0.9897,0.6302,1.8079,73.3078,14.1592,14.1592,31.8747,10.2327,8.9106,0.2129,4.2775,9.3614,38.99,10.3037,19.6146,1.9196,3.0173,16.6434,1.4821,2.7819
2020-12-31,0.6052,0.5798,1.61,76.4761,14.0065,14.0065,30.4395,11.6608,12.7932,0.2216,3.49,9.7863,37.2971,9.8747,16.1874,1.7657,2.9745,15.1409,0.5135,0.5771
