date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.6119,1.5768,,,,,33.0983,21.1664,0.0964,,,,12.8046,17.6977,2.0396,4.9692,46.9772,13.625,13.0306
2006-12-31,,0.5739,1.3466,,,,,34.5924,22.7438,0.0709,,,,9.615,20.9175,1.6204,4.0974,61.5606,2.9736,4.6257
2007-12-31,,0.607,1.5446,,,,,32.3878,13.1435,0.0793,,,,10.6681,22.6087,1.721,4.1924,65.1572,21.9641,23.1044
2008-12-31,,0.4655,0.871,,,,,6.6197,0.8985,0.053,,,,0.3615,0.5803,0.0512,0.1707,67.924,23.4012,23.2368
2009-12-31,,0.4277,0.7903,,,,,15.2633,3.6559,0.0516,,,,3.7119,7.5958,0.5818,2.1242,58.4177,4.3837,4.0057
2010-12-31,,0.6028,1.5748,,,,,35.3066,22.3663,0.0621,,,,11.4917,23.5521,1.5443,4.5645,58.0749,13.0247,12.8429
2011-12-31,,0.5622,1.3335,,,,,32.955,22.4226,0.0676,,,,10.9654,20.2377,1.579,4.8006,64.4987,1.617,1.5575
2012-12-31,,0.5458,1.2324,,,,,30.5282,20.3875,0.0543,,,,9.1583,13.9462,1.1853,4.1599,69.5612,0.5737,0.2713
2013-12-31,,0.4884,0.9765,,,,,34.7472,21.3988,0.0638,,,,10.4583,15.7446,1.4663,5.3508,72.6974,0.1792,0.2244
2014-12-31,,0.5136,1.0756,,,,,35.0365,23.1639,0.0608,,,,9.8173,14.2333,1.4353,4.7749,81.4126,0.7226,0.2083
2015-12-31,,0.5515,1.2502,,,,,31.1543,20.5117,0.0565,,,,8.4849,12.2302,1.201,3.8058,89.6787,2.2113,2.1183
2016-12-31,,0.5559,1.2725,,,,,28.7995,18.4487,0.0533,,,,7.9345,11.426,1.0559,3.524,98.9424,4.7763,4.219
2017-12-31,,0.5506,1.237,,,,,27.898,8.6559,0.0538,,,,4.3443,6.1906,0.5789,1.9523,100.3656,5.7696,5.2142
2018-12-31,,0.5312,1.1401,,,,,32.9343,25.6976,0.0596,,,,11.661,16.2294,1.6173,5.4663,110.4685,2.1618,1.8874
2019-12-31,,0.4884,0.9601,,,,,30.7465,23.2232,0.0573,,,,9.5378,12.7612,1.4174,4.8794,127.0605,8.5457,8.4671
2020-12-31,,0.3984,0.6734,,,,,17.542,13.0073,0.0433,,,,4.513,5.9647,0.6444,2.715,131.1714,0.9795,1.32
