date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.3465,0.1245,0.1621,39.2322,18.5935,18.5935,27.6657,16.4989,14.2953,0.3914,9.2683,5.8002,62.9294,7.9796,26.2966,5.7438,6.9859,25.3911,2.9736,1.6789
2006-12-31,1.9323,0.2554,0.3586,38.4177,17.7793,17.7793,25.5823,16.6824,5.2706,0.4138,9.0072,5.2225,69.8897,7.8498,39.6648,4.8961,5.8452,23.8376,0.4578,1.7596
2007-12-31,2.0093,0.2068,0.2742,38.8575,18.4588,18.4588,25.4805,17.141,12.2416,0.4386,8.5482,5.7531,63.4445,8.2917,26.1012,5.4986,6.5771,27.3056,1.7371,0.9738
2008-12-31,2.0536,0.2787,0.415,38.5101,34.883,34.883,26.9031,36.3967,40.493,0.6049,8.2211,6.1618,59.2358,42.5603,81.551,24.6788,30.697,18.5183,0.1567,0.2503
2009-12-31,2.3846,0.2498,0.3587,36.1025,14.4765,14.4765,23.3325,12.9354,9.7676,0.5316,7.288,6.1633,59.2219,8.0944,15.6182,5.0453,6.0725,20.8544,0.8118,0.9244
2010-12-31,2.1283,0.4932,1.0176,33.9469,26.3374,26.3374,10.5799,29.4757,29.7039,0.6539,7.4644,5.8735,62.1438,48.5105,90.5304,19.2749,24.5847,12.2026,0.5952,0.0637
2011-12-31,1.9642,0.5714,1.3614,35.2026,15.2546,15.2546,24.4648,11.6101,9.5888,0.7333,7.964,6.1828,59.0346,21.9056,48.8744,7.4132,9.3878,10.7898,1.3414,1.0689
2012-12-31,1.4178,0.4664,1.105,34.7119,14.6756,14.6756,23.4312,11.4867,8.6138,0.712,8.3356,5.5642,65.5984,16.9294,32.9765,6.4373,9.0343,12.5093,0.2665,0.2421
2013-12-31,2.2367,0.4993,1.0306,33.8818,12.9899,12.9899,22.1014,11.8682,8.8224,0.7138,8.6204,5.2827,69.0931,16.367,32.057,6.4563,8.1945,13.5441,0.0141,0.1886
2014-12-31,1.9657,0.5228,1.1428,36.424,13.6916,13.6916,21.2567,13.6858,9.7636,0.6937,9.2652,5.0299,72.5664,19.2216,38.5102,6.9457,9.1723,14.2821,0.9904,0.6009
2015-12-31,1.7938,0.5342,1.1701,38.9563,15.1433,15.1433,22.103,14.3349,10.9523,0.6591,8.8783,5.048,72.3059,20.6136,65.7324,7.3501,9.601,15.7942,1.1399,1.009
2016-12-31,1.529,0.59,1.4718,38.2982,14.128,14.128,21.6607,13.2578,9.2044,0.62,10.8258,4.6187,79.0268,18.601,688.1175,5.7558,7.6258,17.7169,0.1663,0.3414
2017-12-31,1.7834,0.5154,1.0933,37.7324,15.5191,15.5191,22.5797,15.9859,6.6406,0.634,10.062,4.3198,84.4938,11.9902,71.9154,4.2863,5.8101,22.0963,0.0582,0.6028
2018-12-31,1.6084,0.5536,1.2639,37.0711,14.6235,14.6235,21.7626,12.4302,9.9896,0.5877,11.1503,4.7985,76.065,17.2164,76191.98,5.8928,7.6857,27.3762,2.45,1.2902
2019-12-31,1.4381,0.5304,1.1529,36.5597,13.3965,13.3965,20.9538,11.6008,9.6145,0.5586,10.3505,5.0993,71.578,15.5121,1185.914,5.4139,7.2849,33.4688,0.6785,0.7081
2020-12-31,1.4303,0.4767,0.9347,36.7157,14.7996,14.7996,22.8341,15.2915,12.4594,0.5325,9.9647,4.7333,77.1136,17.2463,150.3893,6.653,9.0249,42.5617,1.1214,0.658
