date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-01-31,1.3573,0.0157,0.0198,81.0325,3.6967,3.6967,14.3246,5.1895,4.165,0.6288,,3.6088,101.1425,5.0616,5.0616,2.6189,4.9821,0.3456,0.126,0.1163
2006-01-31,1.2923,0.0068,0.01,77.691,6.4875,6.4875,13.1464,9.1003,9.1894,0.7127,,4.0702,89.6759,14.5001,14.5001,6.5495,14.4019,0.4442,0.0759,0.0363
2007-01-31,1.123,0.005,0.005,76.0832,0.7238,0.7238,6.4951,2.5138,0.0968,0.7477,,3.8627,94.4943,0.1707,0.1749,0.0723,0.1698,0.6151,0.0295,0.0328
2008-01-31,1.2226,0.0047,0.0047,77.0815,2.7126,2.7126,11.5832,6.1724,2.4517,0.6871,,3.4022,107.2823,4.0605,4.1389,1.6847,4.0414,0.9473,0.1858,0.1428
2009-01-31,1.3932,0.011,0.0112,79.5248,5.9198,5.9198,14.7149,7.949,4.0332,0.7276,,4.0396,90.356,7.0382,7.5335,3.246,6.9606,1.3889,0.0411,0.0082
2010-01-31,1.8788,0.305,0.4388,80.2445,8.8292,8.8292,17.8517,10.9056,6.1826,0.5307,,4.0678,89.7292,8.015,8.4044,3.4425,5.5706,2.0776,0.0704,0.0957
2011-01-31,0.8421,0.2807,0.3902,80.4595,5.8835,5.8835,16.4756,6.2939,3.8907,0.5361,,3.8814,94.0381,5.46,7.9164,2.2547,3.9277,2.4008,0.3115,0.2418
2012-01-31,0.727,0.0434,0.358,78.4303,1.548,1.548,10.5775,1.47,0.5106,0.5443,,3.3149,110.1093,0.729,1.4429,0.2779,0.6973,2.8959,0.2527,0.1388
2013-01-31,0.6909,,0.2249,77.589,3.6296,3.6296,9.3433,4.1897,8.8665,0.5517,,3.4954,104.4233,11.669,34.3093,4.8914,11.669,3.9575,0.2116,0.1809
2014-01-31,0.6734,0.3,0.6168,76.2116,7.0271,7.0271,8.0443,8.7923,5.7031,0.4448,,2.9915,122.0106,7.6411,50.2203,2.5366,5.3491,4.98,0.1604,0.0292
2015-01-31,0.8006,0.2564,0.3448,76.0073,2.7102,2.7102,11.1643,3.9654,4.8885,0.5038,,2.82,129.4312,6.6082,136.4449,2.4631,4.9138,6.1101,0.428,0.4631
2016-01-31,1.0204,0.2045,0.2571,75.1838,1.7237,1.7237,14.807,0.9641,0.7113,0.5224,,2.671,136.6538,0.948,7.154,0.3716,0.7541,7.4566,0.6343,0.6697
2017-01-31,0.822,0.2112,0.2678,73.5214,2.5839,2.5839,16.0128,2.1216,3.8284,0.4798,,2.6393,138.2926,4.3066,36.8262,1.8368,3.397,10.6015,0.5614,0.3285
2018-01-31,0.952,0.0628,0.1658,73.6907,4.3074,4.3074,17.3624,3.9848,3.4156,0.4794,,2.6881,135.7841,3.4695,16.1074,1.6376,3.2517,14.2137,0.6366,0.5729
2019-01-31,0.9492,0.169,0.2033,74.0175,4.028,4.028,16.9703,7.401,8.3572,0.4321,,2.6974,135.3155,7.1131,133.574,3.6113,5.9112,20.2662,0.6593,0.6182
2020-01-31,1.0753,0.0731,0.0789,75.231,1.737,1.737,19.3473,4.1291,0.7369,0.3102,,2.7694,131.7996,0.3718,3.1289,0.2286,0.3447,37.9451,0.7108,0.722
2021-01-31,1.2347,0.0605,0.0644,74.4118,2.141,2.141,20.511,12.0506,19.1606,0.3205,,2.7295,133.7234,9.8137,36.814,6.1417,9.2198,45.1502,0.0671,0.0601
