date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.7962,0.3904,0.7581,60.803,17.9856,17.9856,27.9879,12.0214,13.2862,0.3556,16.9749,7.1697,50.9086,9.0521,9.0521,2.9713,5.5185,6.0754,0.8113,0.019
2006-12-31,1.0595,0.3749,0.6667,60.2969,22.465,22.465,31.5283,19.2452,13.6943,0.3807,18.6177,8.1482,44.7951,14.65,14.65,5.2131,9.1583,6.8088,0.661,0.3188
2007-12-31,0.9326,0.4269,0.8356,61.1067,22.5324,22.5324,31.4058,19.4217,13.32,0.3928,16.2542,8.5434,42.7228,14.2314,14.2314,4.8406,8.1557,7.098,0.1515,0.0058
2008-12-31,0.9946,0.4822,0.9706,58.6939,24.4425,24.4425,32.5633,20.7197,12.0391,0.4281,21.424,10.1671,35.9,18.4061,18.4061,5.649,9.5315,6.8864,0.7362,0.6521
2009-12-31,1.378,0.4738,0.9133,64.1743,25.1078,25.1078,35.0957,19.312,12.6424,0.3363,15.9557,9.0864,40.1698,12.865,12.865,4.1953,6.7695,7.4281,0.6422,0.4034
2010-12-31,1.1253,0.4806,0.9959,65.5792,28.8736,28.8736,37.7774,23.9376,14.6954,0.378,16.7936,10.711,34.0772,17.9655,17.9655,5.5542,9.3308,7.8306,1.108,0.7707
2011-12-31,1.097,0.5077,1.0913,63.7474,29.4193,29.4193,37.6939,24.9258,15.7185,0.402,17.8167,11.795,30.9453,21.8942,21.8942,6.3182,10.7778,8.0712,0.3799,0.0082
2012-12-31,1.1164,0.4977,1.0762,64.1248,29.4483,29.4483,38.4511,25.2572,15.8378,0.3829,15.4015,10.5593,34.5669,20.3919,20.3919,6.0639,10.243,8.9526,0.373,0.5562
2013-12-31,1.0734,0.4621,0.9097,64.1527,28.8791,28.8791,38.0592,24.2974,15.4998,0.3784,17.1071,11.4316,31.9292,17.7456,17.7456,5.865,9.5462,10.4118,0.3734,0.2276
2014-12-31,1.2207,0.4598,0.8717,64.2592,28.5184,28.5184,37.6036,24.0272,15.2104,0.3833,16.5861,11.2214,32.527,17.2423,17.2423,5.83,9.3137,11.2708,0.1302,0.0341
2015-12-31,1.4549,0.474,0.9029,68.0891,30.3446,30.3446,40.5724,26.5685,16.6624,0.3399,10.7686,12.0275,30.3471,16.8666,16.8666,5.6641,8.8717,12.0848,0.0885,0.0164
2016-12-31,1.2191,0.4838,0.9657,70.458,30.8339,30.8339,42.5874,24.7629,15.4847,0.3126,8.0344,11.8006,30.9305,14.6571,14.6571,4.8399,7.5653,12.5989,0.217,0.0865
2017-12-31,1.0111,0.4447,0.8022,70.1438,32.6087,32.6087,44.1357,27.5421,47.9576,0.3192,9.1559,11.7608,31.0352,37.1646,37.1646,15.3082,20.6367,16.5432,0.5909,0.7889
2018-12-31,1.3394,0.5395,1.1731,72.9633,39.7469,39.7469,50.6123,35.1347,27.0122,0.3335,12.5932,12.1287,30.0939,26.3037,26.3037,9.0092,12.1125,15.3756,1.5915,2.0611
2019-12-31,1.5239,0.5741,1.3688,74.8094,41.5934,41.5934,52.8944,36.1565,27.9048,0.312,11.5211,12.1065,30.1491,28.0789,28.0789,8.7069,11.9579,15.3374,0.6875,0.5855
2020-12-31,2.1996,0.5543,1.2742,75.7819,41.2171,41.2171,54.2852,34.272,26.1268,0.266,8.4868,11.6042,31.4542,21.0908,21.0908,6.9485,9.4003,17.1928,0.5269,0.813
