date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2011-12-31,,,,37.4231,5.1056,5.1056,2.8535,11.3328,9.4555,,,,,,,,,,,
2012-12-31,1.2794,0.7367,2.8868,44.587,6.2185,6.2185,13.5424,0.389,0.389,0.9703,49.6165,72.0011,5.0694,,2.4512,0.3775,0.4277,,1.2168,0.8234
2013-12-31,1.5679,0.6898,2.2595,43.8536,9.1356,9.1356,16.3711,7.6449,7.6449,0.9149,44.6401,76.292,4.7843,25.0043,34.3576,6.9942,7.7571,1.6278,0.2071,0.1309
2014-12-31,1.2793,0.8364,5.112,40.2609,4.8518,4.8518,12.1432,3.4697,3.9868,0.3088,29.8797,50.875,7.1744,9.4459,3.5179,1.2225,1.5455,3.2658,0.0473,0.0113
2015-12-31,1.099,0.761,3.2004,40.0573,10.0747,10.0747,17.3754,6.1967,15.8635,0.5432,36.7449,72.1154,5.0613,42.1858,39.6205,8.6175,10.0835,5.7813,0.1495,0.2761
2016-12-31,0.9972,0.7273,2.6819,42.6929,9.8505,9.8505,17.2876,4.1787,2.7238,0.6959,46.6784,61.2811,5.9562,8.2181,9.5856,1.8954,2.2413,6.3357,0.7928,0.6993
2017-12-31,1.1219,0.6993,2.326,47.2236,6.4026,6.4026,16.5455,2.9301,4.9554,0.4175,46.3256,32.334,11.2884,7.7931,9.1459,2.0691,2.3435,12.2562,0.0921,0.4389
2018-12-31,1.4252,0.804,4.102,46.8872,15.0778,15.0778,23.8327,6.5661,4.6206,0.3478,53.0226,34.1704,10.6818,9.2309,7.0834,1.607,1.8094,13.3284,2.2338,1.5811
2019-12-31,0.8794,0.6755,2.3017,50.8307,16.2184,16.2184,25.8703,4.9446,3.2041,0.4481,69.0556,46.8148,7.7967,7.2516,8.9602,1.4359,2.3533,14.4001,0.179,6.3131
2020-12-31,2.5791,0.7365,2.8089,53.1376,12.5792,12.5792,15.285,46.9776,50.5757,0.0955,37.0,10.2781,35.5124,34.9225,19.66,4.8317,9.2008,24.1962,8.4389,11.4977
