date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.6322,0.3748,0.6986,17.343,12.9548,12.9548,17.4445,13.8187,9.7501,1.0081,7.1961,5.8424,62.4741,29.5941,38.6253,9.8729,18.5027,47.5379,13.7422,9.1594
2006-12-31,1.6233,0.3201,0.5594,15.467,9.0465,9.0465,13.2685,10.1213,7.5808,1.0777,6.8547,6.1039,59.7981,21.8224,27.8617,8.1701,14.8361,53.442,0.9515,0.9227
2007-12-31,1.4989,0.2811,0.5011,13.2515,6.6023,6.6023,10.7054,7.8539,5.4089,1.0937,6.7251,5.5117,66.2231,15.2767,19.6994,6.0695,10.9826,61.8618,1.1419,0.0959
2008-12-31,1.2252,0.3719,0.873,9.4977,1.834,1.834,6.1488,2.2263,1.0094,1.2614,8.6006,8.3665,43.6262,4.6097,6.6902,1.3766,2.8952,36.861,1.12,0.4447
2009-12-31,1.4912,0.4755,1.0591,12.7621,3.0552,3.0552,9.3705,1.0451,0.7487,0.6797,5.7175,4.8804,74.7894,3.3053,29.1003,0.8573,1.4053,55.1012,9.1454,6.6326
2010-12-31,1.7365,0.4764,1.0523,14.7073,5.824,5.824,11.3426,5.2204,3.6703,0.7713,6.4597,5.9348,61.502,12.4504,55.9952,3.3353,5.3668,58.2007,4.8528,8.1434
2011-12-31,1.7179,0.4401,0.9274,14.9304,6.1332,6.1332,10.9394,6.0032,4.0043,0.8665,6.7347,6.2316,58.5728,14.4316,52.5283,4.0217,6.6921,58.9923,0.7115,5.2728
2012-12-31,2.0607,0.4767,0.9598,15.8384,4.1507,4.1507,9.2893,2.9321,1.4828,0.8158,5.6385,5.8669,62.2131,6.1566,24.9038,1.5803,2.6325,54.5234,0.3444,0.901
2013-12-31,2.0865,0.3759,0.6432,16.6188,11.9657,11.9657,16.6626,11.9201,7.7908,0.8213,5.7321,5.9169,61.6881,20.1304,44.5431,6.9294,10.7635,69.0456,7.7963,10.4489
2014-12-31,2.0944,0.4452,0.8424,18.4005,9.2183,9.2183,14.0269,9.0515,5.9003,0.8468,5.859,6.2065,58.8096,19.8357,55.2056,5.5891,9.1198,60.5298,1.7545,6.6646
2015-12-31,2.1539,0.3824,0.6573,22.6188,20.9152,20.9152,26.0835,20.3575,15.058,0.718,5.4934,6.2169,58.7107,35.0854,74.7503,11.456,18.357,70.3321,1.9504,7.3769
2016-12-31,1.8771,0.429,0.7846,21.7825,10.0274,10.0274,15.9704,9.1636,8.2603,0.6057,5.1158,5.364,68.0462,16.1739,74.2539,5.5389,9.2356,67.4535,26.2839,32.687
2017-12-31,1.9096,0.2277,0.3343,18.1117,16.2097,16.2097,44.0456,13.0655,9.9297,0.0607,0.5625,0.6909,528.2681,0.2286,2.5531,0.1213,0.1765,131.4001,6.4627,14.442
2018-12-31,1.7276,0.1163,0.1318,32.2741,0.9206,0.9206,34.3189,2.6556,17.0178,0.1203,3.7258,6.6629,54.7807,0.4223,0.8663,0.2156,0.3732,126.7973,7.5659,4.4388
2019-12-31,1.1981,0.2468,0.4198,34.6597,0.5113,0.5113,16.5396,2.2034,2.315,0.3102,3.2545,5.6581,64.5096,1.4775,11.835,0.8854,1.1129,56.2659,4.2418,2.3347
2020-12-31,2.3147,0.3582,0.5583,33.7059,11.3791,11.3791,3.7898,14.2031,14.4678,0.2877,3.6291,5.744,63.5444,7.356,123.9862,4.0534,4.7211,53.2141,3.6796,6.4059
