date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.9711,0.3124,0.5763,40.9772,18.4643,18.4643,21.692,17.4099,10.0111,1.0284,41.3235,7.4453,49.0241,20.7455,98.5506,10.8026,14.2644,13.9225,4.1434,3.0522
2006-12-31,1.0349,0.291,0.5154,41.0399,17.9955,17.9955,21.1445,16.4832,9.3548,1.1072,47.0445,8.0947,45.0912,20.724,110.6987,11.0517,14.6936,15.5668,0.627,0.7489
2007-12-31,1.0668,0.504,1.0651,40.7919,16.2767,16.2767,19.8245,14.0034,5.07,0.7828,41.6852,7.6022,48.0123,17.4578,20.856,6.7751,8.6599,17.1317,0.0233,0.1761
2008-12-31,1.2221,0.4592,0.8505,41.2899,16.8616,16.8616,20.5115,14.4929,8.0212,0.8626,41.676,8.7041,41.9341,18.3135,29.4121,7.8998,9.904,19.0422,0.6778,0.7145
2009-12-31,1.5855,0.4227,0.7746,42.0344,18.2303,18.2303,21.6733,16.4707,9.7798,0.8706,47.2882,9.0111,40.5058,19.1316,40.4746,8.9618,11.0453,21.8855,0.1138,0.0828
2010-12-31,1.3221,0.3945,0.7376,41.1093,17.6799,17.6799,21.178,16.1841,9.9295,0.8514,55.8368,8.5888,42.4971,18.3728,40.3888,8.7346,11.1251,23.7476,0.9942,0.7246
2011-12-31,0.8976,0.4757,1.0834,40.9767,13.3523,13.3523,17.1537,11.4854,6.3718,0.7937,48.9499,8.1548,44.7587,13.2975,15.8517,5.3042,6.972,23.5993,0.7115,0.5594
2012-12-31,1.4895,0.4448,0.8036,40.8777,16.2671,16.2671,20.1544,14.4657,7.5308,0.7952,46.9355,8.5156,42.8627,15.9102,29.973,7.1736,8.8329,26.4937,1.825,1.6938
2013-12-31,1.2217,0.4399,0.8387,39.4626,20.6409,20.6409,24.6012,18.5279,11.8808,0.7986,47.5385,8.3873,43.5181,21.3441,32.9705,9.477,11.9555,27.5903,3.1574,3.5297
2014-12-31,0.938,0.4268,0.8642,37.6328,13.2213,13.2213,17.4445,11.0693,7.4781,0.7543,42.1545,7.9775,45.7539,13.5566,21.1684,5.9552,7.7707,30.0694,2.2489,1.6346
2015-12-31,1.2796,0.4256,0.7747,37.8487,18.6708,18.6708,22.7279,14.7204,9.4221,0.7522,55.4405,8.3163,43.8896,15.9771,34.6048,7.5587,9.1773,32.958,0.8482,0.5379
2016-12-31,1.5607,0.4444,0.8013,36.0133,17.7017,17.7017,21.1533,15.0541,8.8994,0.7143,56.2927,7.7905,46.852,14.9356,30.4063,6.8911,8.2976,34.0146,2.1971,1.9475
2017-12-31,1.2356,0.4307,0.7637,36.247,15.739,15.739,19.3867,13.9152,10.4296,0.7048,49.6737,8.0108,45.5634,16.6297,32.9732,7.8454,9.468,36.7037,0.5337,0.7971
2018-12-31,0.936,0.3943,0.7391,34.5904,14.6196,14.6196,18.7226,12.2958,9.7729,0.6844,49.7576,7.4417,49.0479,14.9611,31.4822,7.1617,9.0616,39.0148,0.2402,0.7152
2019-12-31,1.2513,0.4109,0.8388,34.8046,15.9332,15.9332,20.1916,13.927,11.1054,0.6016,40.9512,7.2681,50.2194,15.5794,43.1564,6.8987,9.1785,42.7594,0.5066,0.3208
2020-12-31,1.7218,0.3708,0.5897,38.4974,20.8859,20.8859,24.7112,19.964,15.1637,0.6728,26.0269,6.2086,58.7899,22.015,121.7709,10.6873,13.8514,51.1955,5.603,5.4706
