date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,4.2697,,,33.6503,0.2019,0.2019,10.7954,11.823,4.7913,0.1193,,5.1592,70.7471,0.7273,1.3627,0.5718,0.7273,16.329,0.3051,0.0187
2006-12-31,2.6037,,,21.25,13.75,13.75,187.5,116.25,57.5,0.0136,,0.5426,672.6768,1.143,2.1015,0.8857,1.143,16.2346,0.0444,0.0044
2007-12-31,3.1,,,21.0526,10.5263,10.5263,296.0526,186.8421,89.4737,0.013,,7.6,48.0263,1.9132,3.1711,1.4661,1.9132,15.9397,0.0543,0.0534
2008-12-31,1.0364,0.3746,0.6814,70.3726,31.4607,31.4607,39.2076,22.3832,9.3732,0.3226,,4.3359,84.181,7.2675,19.7459,3.8535,4.5434,19.7199,1.5731,1.4236
2009-12-31,2.1341,0.3572,0.5619,69.8091,36.8421,36.8421,61.8277,30.0463,15.6449,0.3157,,4.2586,85.7085,9.1669,66.5888,5.2045,5.8903,21.9014,0.2689,0.0815
2010-12-31,2.2102,0.366,0.5805,72.666,37.156,37.156,60.0108,25.6881,17.5931,0.3363,,4.2114,86.6703,10.5762,81.7618,5.9806,6.7033,21.9472,0.0465,0.0617
2011-12-31,3.2587,0.3929,0.6512,71.785,43.2582,43.2582,67.6584,37.5,27.1593,0.3499,,4.0,91.25,17.4313,331.1953,9.5358,10.5793,24.977,1.1589,1.1299
2012-12-31,2.8858,0.453,0.8331,72.8549,41.4308,41.4308,63.762,33.8311,21.0163,0.347,,3.9708,91.9211,15.1963,133.3333,7.3937,8.3094,25.659,1.268,1.2263
2013-12-31,1.8624,0.5112,1.0487,69.4851,35.682,35.682,62.168,31.3641,19.4219,0.3695,,4.0372,90.4092,17.385,39.7564,7.1901,8.4944,26.47,0.3318,0.274
2014-12-31,0.9566,0.5171,1.2686,66.0974,32.8971,32.8971,63.0008,27.8851,18.1804,0.3923,,4.3719,83.4868,20.2963,24.7013,7.1196,9.7967,12.7581,0.1387,0.1233
2015-12-31,1.6441,0.5828,1.419,63.3563,31.0447,31.0447,62.934,24.3822,16.1714,0.4031,,4.3232,84.4284,19.2329,23.5877,6.6062,8.0202,13.3016,0.0541,0.0717
2016-12-31,1.6028,0.6028,1.5334,62.5673,31.6762,31.6762,63.9218,25.7196,18.3777,0.4146,,4.3458,83.9888,23.5818,27.7765,7.7718,9.3635,13.2945,0.2897,0.3025
2017-12-31,5.3399,0.7619,3.2072,61.356,10.3739,10.3739,62.2727,1.9933,4.9032,0.3047,,3.7394,97.6095,6.7896,7.3943,1.3877,1.6163,12.071,0.5658,0.4758
2018-12-31,1.0585,0.5971,1.6623,62.712,18.3265,18.3265,62.731,9.6845,5.6287,0.3242,,4.0279,90.6188,6.7412,5.4142,2.0922,2.7157,19.2794,0.9161,0.9367
2019-12-31,1.6107,0.5624,1.338,65.7304,27.0011,27.0011,66.0804,20.5851,18.5661,0.3303,,4.2324,86.2388,19.2034,21.711,6.56,8.4036,21.9505,1.0364,0.8436
2020-12-31,1.989,0.5567,1.2837,63.8272,23.5686,23.5686,65.1673,16.1934,11.4235,0.3131,,4.2061,86.7777,11.2917,15.5568,3.9751,5.0057,24.6407,0.7047,0.8964
