date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.5146,1.0603,,17.3958,17.3958,53.8786,20.0358,43.3301,0.1263,,,,7.3969,5.4148,2.3517,2.6282,18.2098,2.6245,7.1989
2006-12-31,,0.6128,1.5825,,17.9307,17.9307,47.2895,17.9695,16.2041,0.1237,,,,9.3011,6.0457,2.091,2.3411,18.6945,0.7978,10.2159
2007-12-31,,0.6108,1.5696,,30.5594,30.5594,56.3061,15.2122,18.8881,0.1464,,,,8.197,5.9794,2.1461,2.327,18.8133,0.3437,2.685
2008-12-31,,0.5959,1.4748,,20.992,20.992,47.5467,6.3974,4.0737,0.1609,,,,4.5752,2.9713,1.1204,1.2006,19.539,1.989,1.6742
2009-12-31,,0.565,1.2986,,10.6615,10.6615,21.9784,22.7226,30.776,0.1484,,,,12.312,8.0946,3.289,3.5215,13.2477,2.169,0.1656
2010-12-31,,0.5846,1.4071,,15.5766,15.5766,47.1471,3.2209,1.1906,0.155,,,,1.8841,1.3141,0.514,0.5459,11.8555,0.3532,1.2887
2011-12-31,,0.5782,1.3705,,16.8877,16.8877,50.0166,0.2723,2.6006,0.1725,,,,0.1559,0.1114,0.0442,0.047,10.99,0.337,3.4986
2012-12-31,,0.6287,1.6931,,14.1016,14.1016,51.6815,8.2024,12.0704,0.1382,,,,4.2799,3.2603,1.1325,1.2106,9.3984,0.1835,6.132
2013-12-31,,0.5829,1.3973,,27.5853,27.5853,71.148,5.6177,15.7979,0.125,,,,2.2912,1.9543,0.7675,0.8152,9.3279,0.2168,1.6119
2014-12-31,,0.6051,1.5322,,39.2671,39.2671,76.9423,20.5135,19.5723,0.135,,,,7.4861,7.4861,2.7801,2.9563,8.369,0.0279,0.8233
2015-12-31,,0.5088,1.036,,52.0242,52.0242,93.4093,23.2676,77.6734,0.1149,,,,5.8739,5.8739,2.73,2.8851,9.2816,0.2078,3.5631
2016-12-31,,0.4543,0.8326,,59.3163,59.3163,103.5518,40.7704,42.7294,0.1079,,,,8.5427,8.5427,4.4067,4.6615,9.847,0.1821,3.2953
2017-12-31,,0.3463,0.5297,,49.7636,49.7636,88.8033,37.1651,209.2918,0.1057,,,,6.3526,6.3526,3.9332,4.1529,12.8364,0.0363,4.6577
2018-12-31,,0.3606,0.564,,48.5674,48.5674,82.1252,41.3766,40.4833,0.1215,,,,8.1338,8.1338,4.9124,5.2005,13.1343,0.0898,5.545
2019-12-31,,0.3646,0.5737,,53.8902,53.8902,88.1656,45.2766,44.0532,0.1156,,,,8.5074,8.5074,5.1327,5.4058,13.8069,0.0438,0.1797
2020-12-31,,0.3927,0.6467,,42.0708,42.0708,78.5356,29.9575,30.1969,0.109,,,,5.7819,5.7819,3.3217,3.5112,14.0237,0.1367,0.0466
