date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.9452,0.4695,0.9751,77.0055,21.0831,21.0831,48.3637,18.3609,26.2381,0.1262,1.8401,2.6767,136.3597,5.4322,7.0879,1.6319,2.8819,53.1486,8.7163,1.5187
2006-12-31,1.0656,0.4097,0.7729,65.0137,17.1679,17.1679,38.0504,14.4244,17.5639,0.1544,2.7327,4.7017,77.6318,4.1376,6.3447,1.5721,2.4423,62.3022,0.7493,0.5918
2007-12-31,0.8628,0.3094,0.555,64.5991,19.5991,19.5991,34.4418,17.5786,11.7925,0.256,4.4496,7.1986,50.704,7.189,9.623,3.0673,4.9647,50.3989,1.8569,0.73
2008-12-31,1.2136,0.3852,0.6827,61.9899,19.0127,19.0127,32.8992,14.3182,10.3127,0.2488,4.4229,7.9897,45.6837,6.0281,8.0947,2.4022,3.7063,49.8894,0.2721,3.0504
2009-12-31,1.4105,0.424,0.7774,65.0931,17.6655,17.6655,32.1656,14.3822,8.444,0.2232,2.9333,7.3125,49.9148,4.9027,6.333,1.8811,2.8238,50.1639,0.1486,0.6044
2010-12-31,1.5969,0.4419,0.8134,65.4919,17.2436,17.2436,31.215,15.4849,9.2489,0.2415,3.7367,6.908,52.837,5.827,7.2021,2.2339,3.2522,51.1406,2.2229,1.4673
2011-12-31,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,3.2399,7.4853,48.7621,7.4918,9.1835,2.7397,4.1233,51.382,1.982,0.7745
2012-12-31,1.0093,0.4703,0.9897,64.0018,16.2517,16.2517,31.0574,12.4721,9.8705,0.1573,2.0006,6.5926,55.3654,3.9349,6.5552,1.4149,2.0843,58.1548,0.8497,1.1093
2013-12-31,1.2166,0.4795,0.9924,65.4069,21.3306,21.3306,35.5203,16.6769,11.7112,0.1983,2.4222,7.5727,48.1994,6.2548,10.3319,2.2565,3.2554,58.6516,0.0803,1.6595
2014-12-31,1.0304,0.4754,1.0363,64.8274,21.5114,21.5114,37.0918,16.7178,8.3655,0.1867,2.2888,8.1436,44.8203,6.2055,10.3263,2.1052,3.2555,57.8487,0.2757,0.4876
2015-12-31,0.73,0.4809,1.0686,66.4923,22.699,22.699,38.8494,17.478,12.5877,0.1846,2.0011,9.8856,36.9226,6.6732,11.1988,2.1906,3.4642,57.8067,0.3388,1.7952
2016-12-31,0.696,0.5262,1.2276,69.705,22.873,22.873,39.9332,16.4182,9.4623,0.1713,1.9563,8.6017,42.4333,6.2815,11.9264,1.9418,2.9763,58.63,0.2778,1.4071
2017-12-31,0.6772,0.5402,1.3044,70.3713,23.8702,23.8702,41.0397,18.1031,12.9811,0.1709,2.1483,8.495,42.9667,7.3556,13.7416,2.226,3.3821,59.6243,0.4691,0.5378
2018-12-31,0.6458,0.5384,1.3218,69.2998,19.1061,19.1061,38.257,12.5321,10.8723,0.1687,2.441,7.8242,46.6502,5.9885,10.7008,1.8055,2.7644,60.2944,0.6868,1.0716
2019-12-31,0.6211,0.5342,1.2776,70.2819,22.7641,22.7641,43.4029,16.3364,14.7813,0.1579,2.306,8.1958,44.5353,7.7801,12.4895,2.2526,3.4759,65.4175,1.1109,0.8843
2020-12-31,0.5325,0.5307,1.2755,72.7208,19.0758,19.0758,42.0605,3.5152,5.3209,0.147,2.0559,7.5699,48.2171,2.2765,3.5976,0.662,1.0257,63.9584,0.7394,2.5718
