date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,7.2112,,,,,,,,,,,,,62.2682,62.2682,54.2394,62.2682,1.9441,1.1906,1.4374
2006-12-31,10.9667,0.0359,0.0532,405.023,2272.765,2272.765,2165.622,2147.419,2147.419,0.0336,7.7558,18.0833,20.1843,82.0001,82.0001,72.1872,79.0537,2.0178,0.4152,0.2915
2007-12-31,7.9663,0.8956,8.771,175.254,1008.775,1008.775,954.7224,1047.201,1047.201,0.0599,11.1817,21.5209,16.9602,681.0115,681.0114,62.7163,71.1032,0.2486,0.4329,0.4344
2008-12-31,2.1378,1.8719,2.2461,56.2005,536.9689,536.9689,504.4826,598.2516,598.2516,0.2242,6.2825,8.7996,41.479,302.3217,302.3218,134.1233,263.5973,0.6528,0.0972,0.0601
2009-12-31,1.9642,1.6753,2.5295,12.3295,154.3562,154.3562,142.5353,180.258,180.258,0.6325,9.8569,8.508,42.9007,290.1815,290.1817,114.007,195.9725,0.4006,0.3819,0.4057
2010-12-31,4.3202,,0.0086,37.8601,93.2099,93.2099,86.8313,113.5803,113.5803,0.6298,3.7229,7.2853,50.1011,90.5022,90.5022,71.536,90.5022,0.9825,0.1378,0.0772
2011-12-31,7.1088,,,47.0511,58.7156,58.7156,52.5557,58.5845,58.5845,0.6332,4.9268,6.104,59.7969,42.7751,42.7751,37.0954,42.7751,1.5481,0.2916,0.2909
2012-12-31,3.9795,0.0811,0.0909,46.6466,55.7558,55.7558,48.2483,55.8559,54.5546,0.9425,7.2027,5.1231,71.2463,70.7793,78.3046,51.4151,65.0358,1.1079,0.023,0.0393
2013-12-31,2.9003,0.0519,0.0809,62.5625,18.0625,18.0625,13.25,18.625,18.625,1.3061,6.6556,6.1303,59.5406,35.434,38.5511,24.3265,33.5964,1.16,0.5156,0.5427
2014-12-31,3.5936,0.0161,0.0328,68.017,8.2948,8.2948,5.054,8.6034,8.642,1.4041,5.1813,6.1132,59.7068,15.9772,16.6791,12.1343,15.7193,1.8137,0.28,0.1758
2015-12-31,3.4574,,0.0104,69.2537,14.204,14.204,11.5174,14.3035,14.3284,1.3767,3.5114,5.4251,67.2799,26.0398,26.7534,19.726,26.0398,2.7075,0.3002,0.0983
2016-12-31,2.7344,,,66.0038,11.146,11.146,8.5296,11.3204,11.4425,1.4233,4.293,5.6372,64.7488,23.1149,24.0734,16.286,23.1149,3.3546,0.0582,0.1907
2017-12-31,5.3614,0.4386,0.7811,68.4899,5.9151,5.9151,3.6743,6.7641,6.9868,0.7947,5.0088,5.35,68.2248,11.9695,12.3251,5.5525,6.7202,4.8207,0.3938,0.2953
2018-12-31,7.6416,0.6037,1.5231,64.3564,18.0593,18.0593,15.2385,12.2625,12.3207,0.5384,5.2008,4.5505,80.2108,19.1618,19.7177,6.6336,7.5944,7.37,0.3308,0.3348
2019-12-31,5.4675,0.5456,1.2007,63.1098,9.6409,9.6409,12.9404,7.0596,6.8496,0.6163,4.5451,5.1554,70.7991,11.4548,11.7014,4.2213,5.2052,9.6354,2.0106,0.8211
2020-12-31,5.5769,0.4772,0.9128,66.44,15.5447,15.5447,19.0274,11.678,25.6189,0.4491,2.755,4.4964,81.1764,27.0244,27.313,11.5045,14.1283,19.0062,1.4705,1.3797
