date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,2.1437,,,82.0292,31.6692,31.6692,39.9761,34.0332,23.7686,0.3862,,7.8752,46.3482,10.7688,34.8527,9.1784,10.7688,7.1557,1.4419,1.2196
2006-12-31,1.9737,,,78.9473,23.8361,23.8361,32.958,25.915,18.8557,0.4424,,7.5329,48.4543,10.3226,30.6098,8.3418,10.3226,7.9682,0.135,0.0043
2007-12-31,2.2979,,0.0171,77.0217,7.9921,7.9921,33.9628,9.7865,4.5391,0.4993,,3.8474,94.8681,2.9753,7.1783,2.2664,2.9753,8.6687,0.3424,0.3742
2008-12-31,1.6967,,0.0902,73.9141,24.3018,24.3018,32.7293,25.5649,20.8339,0.5478,,4.4879,81.3291,16.0547,53.5611,11.4124,16.0546,8.6456,0.2763,0.175
2009-12-31,2.323,,,71.5864,16.6919,16.6919,25.9839,32.9899,27.3748,0.4741,,3.4019,107.2936,17.3278,34.7417,12.9784,17.3278,10.6239,0.0329,0.0294
2010-12-31,2.45,0.089,0.1173,71.9965,22.4334,22.4334,30.7558,22.9139,19.6702,0.4161,,3.0468,119.7969,11.7696,21.0193,8.185,10.7225,11.7917,0.1592,0.2702
2011-12-31,1.8802,0.0784,0.1166,70.2969,20.3656,20.3656,28.4329,33.5565,27.712,0.4265,,1.8943,192.6807,18.0089,39.5759,11.8192,16.5973,13.9425,0.4242,0.2364
2012-12-31,1.9588,0.1644,0.2166,70.0398,20.523,20.523,29.0506,21.9159,18.5404,0.3796,,1.2705,287.2896,12.5042,23.2946,7.0373,10.4481,16.1244,0.4296,0.2056
2013-12-31,1.8422,0.1483,0.1744,81.9305,29.7202,29.7202,37.7135,31.1372,34.5888,0.199,,0.6377,572.3652,8.7411,15.3806,4.9822,7.4449,18.2743,0.8812,1.3222
2014-12-31,1.5134,0.254,0.3832,81.0808,28.1684,28.1684,35.9272,28.6121,0.5233,0.1948,,14.65,24.9147,4.3454,5.7277,1.9166,3.2418,16.2631,0.7337,0.7529
2015-12-31,3.4927,0.5065,1.0263,79.3878,25.5703,25.5703,33.5661,28.0028,20.0768,0.4839,,13.8805,26.296,29.6077,95.6757,10.9659,14.6116,5.5541,1.2323,1.2826
2016-12-31,2.307,0.4161,0.8502,78.447,25.0054,25.0054,32.3403,39.2665,78.1458,0.3899,,15.7061,23.2394,69.1242,122.7257,30.5489,40.3646,9.6955,0.8354,0.8351
2017-12-31,2.1759,0.5343,1.2443,77.6267,22.8065,22.8065,29.6162,22.9173,10.2448,0.382,,14.2629,25.5908,12.5854,31.5872,3.8983,5.8613,7.8222,0.4865,0.4077
2018-12-31,1.5999,0.5503,1.4697,76.6127,20.2543,20.2543,27.5954,26.0,29.2486,0.3791,,12.1489,30.0439,33.88,206.8027,9.3256,15.237,6.8645,0.2747,0.2773
2019-12-31,1.1574,0.7105,2.8094,75.2663,21.5493,21.5493,28.8328,20.2524,20.6809,0.4752,,15.5604,23.457,52.8223,89.0717,8.3416,15.2931,3.6055,0.9558,0.9734
2020-12-31,1.7966,0.685,2.18,75.9225,26.3947,26.3947,32.324,33.2976,55.1748,0.5319,,24.9296,14.6412,71.3845,225.7549,13.1642,22.4836,5.2061,0.2688,0.3458
