date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.9521,0.3612,0.6779,58.8333,29.2365,29.2365,34.9314,27.068,17.0777,0.7881,,6.6824,54.621,30.05,74.8558,13.4589,19.1963,6.3491,2.5552,2.2057
2006-12-31,0.593,0.1718,0.6012,59.4904,28.2028,28.2028,33.5575,26.8965,17.7521,0.8636,,6.3166,57.7844,32.7527,80.4278,15.3301,27.1245,6.7209,0.3204,0.268
2007-12-31,0.7771,0.4544,0.9915,58.904,26.3809,26.3809,33.3098,23.3695,14.7965,0.523,,6.2306,58.5822,19.9257,21.519,7.9117,10.8719,10.788,0.4812,0.0059
2008-12-31,1.1126,0.4729,0.9213,59.0979,24.206,24.206,32.7746,20.6165,15.0419,0.5563,,7.1571,50.9986,19.2595,21.0002,7.8183,10.1517,10.479,0.0796,0.1094
2009-12-31,0.8468,0.3803,0.727,58.1119,22.2494,22.2494,31.5035,19.289,13.6305,0.4833,,6.6332,55.0265,13.8947,20.2035,6.3202,8.6112,12.7972,0.1651,0.1295
2010-12-31,1.3556,0.3643,0.5851,59.1342,23.1245,23.1245,32.1484,20.1775,14.3426,0.5409,,7.0811,51.5456,14.2414,27.1601,7.0778,9.0537,14.0033,0.4839,0.7201
2011-12-31,1.2521,0.3594,0.5884,62.8196,24.7517,24.7517,33.4619,21.4399,12.3019,0.538,,6.6568,54.831,13.8668,26.9861,6.7866,8.8836,14.3988,0.5166,0.6993
2012-12-31,0.8333,0.4249,0.8834,63.3623,23.1549,23.1549,31.0372,20.8056,13.1259,0.4586,,6.5394,55.8153,14.0517,17.4971,6.0906,8.0814,16.2724,0.7474,0.815
2013-12-31,0.9787,0.3286,0.616,65.8275,26.5289,26.5289,34.7888,23.0218,15.2698,0.5075,,7.4391,49.0649,14.5878,30.415,7.5222,9.7949,19.2043,0.5484,0.4137
2014-12-31,0.7174,0.3389,0.6829,65.33,26.1944,26.1944,34.5756,23.5676,15.0796,0.5227,,7.2254,50.5163,16.7368,26.3139,8.024,11.0641,18.7152,0.3897,0.3635
2015-12-31,0.9301,0.3263,0.5053,66.6842,26.0512,26.0512,33.5598,23.9,16.1098,0.5917,,7.6146,47.934,18.499,38.0336,9.659,12.4627,19.8012,1.372,0.8623
2016-12-31,0.5342,0.434,0.982,64.5967,26.2361,26.2361,34.7801,23.155,15.5426,0.4719,,7.258,50.2892,18.1935,18.532,7.4295,10.2972,22.6964,0.4345,0.2111
2017-12-31,0.5966,0.3493,0.8349,63.9908,24.7368,24.7368,33.3889,22.2057,17.4677,0.4648,,7.5589,48.2874,18.4625,26.1478,8.2672,12.0129,26.9692,0.08,0.3724
2018-12-31,1.0913,0.4546,0.8352,57.7855,13.1297,13.1297,22.388,10.8555,9.1,0.477,,7.2737,50.1807,10.0453,14.6218,4.4316,5.4785,26.1667,1.1789,2.0593
2019-12-31,0.8899,0.563,1.2896,56.6171,9.5621,9.5621,0.0542,11.7972,10.9505,0.4435,,6.592,55.3702,14.4153,13.3845,4.7806,6.2991,21.6411,2.965,3.6349
2020-12-31,0.9981,0.5052,1.3639,57.9067,16.3925,16.3925,26.0666,16.6009,12.6009,0.4294,,6.5454,55.7648,16.391,22.126,5.4745,8.1109,26.3571,5.1331,4.9777
