date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.2017,0.5464,1.341,62.6055,19.5157,19.5157,29.3706,14.8161,9.5933,0.3407,12.9971,9.7148,37.5717,16.7498,15.1077,3.1847,6.8535,22.51,6.7681,1.1717
2006-12-31,1.274,0.5135,1.1281,60.0953,20.4536,20.4536,30.3476,15.2437,9.705,0.3356,12.3878,12.001,30.4142,14.0485,12.558,2.9867,6.11,26.4693,4.6319,2.8131
2007-12-31,0.9972,0.4907,1.0414,60.2891,19.498,19.498,29.5384,13.9804,8.5328,0.3429,11.8287,12.4569,29.301,15.4785,13.9652,3.4832,7.1129,28.7252,1.5994,2.7159
2008-12-31,1.098,0.5056,1.2598,57.5397,18.1619,18.1619,28.2171,13.7755,8.6097,0.3163,10.8354,14.0278,26.0197,13.7523,12.5875,3.0214,6.2237,32.8688,2.9283,2.6367
2009-12-31,1.1698,0.4867,0.9903,65.4721,11.3098,11.3098,23.7521,6.9088,6.8684,0.2983,8.0075,12.1544,30.0303,9.4267,8.6498,2.2971,4.4397,33.7803,2.4396,4.9855
2010-12-31,1.1189,0.5184,1.0905,67.0568,18.1973,18.1973,32.0028,14.7959,12.565,0.2195,5.7975,10.7368,33.9951,10.8057,9.953,2.5126,4.7936,35.2781,1.2565,4.5387
2011-12-31,1.0313,0.4435,0.8356,68.3037,19.4654,19.4654,32.943,15.7537,0.3495,0.2204,9.5886,13.7865,26.4753,10.9377,9.9224,2.2898,5.5221,34.0259,1.3039,0.2645
2012-12-31,0.7137,0.452,0.8405,65.1071,19.2632,19.2632,33.0383,15.6888,1.5427,0.2672,12.1735,15.5669,23.4471,16.8999,14.2436,3.5906,7.8053,34.3481,1.7693,1.4677
2013-12-31,0.6785,0.4566,0.9097,61.1239,13.6317,13.6317,27.1123,9.7051,7.2729,0.2697,19.1055,15.0131,24.3121,9.8511,8.374,2.0988,4.5501,35.8828,1.0848,0.7534
2014-12-31,0.651,0.4408,0.9266,58.3017,18.4299,18.4299,31.9615,14.7543,12.0182,0.2697,19.9039,16.9785,21.4978,11.8318,11.8318,3.0884,6.6161,39.8452,0.8541,0.6292
2015-12-31,0.5387,0.4484,0.8868,62.9816,17.4245,17.4245,34.823,13.6064,8.8511,0.2294,15.9775,14.9468,24.4199,8.0819,8.0819,2.1541,4.458,41.0913,3.8329,2.8632
2016-12-31,0.3591,0.4177,0.8785,61.8586,17.373,17.373,35.0493,13.3962,11.0456,0.2313,18.9414,16.6,21.988,9.9598,9.9598,2.7534,5.8,43.5437,3.8446,2.3632
2017-12-31,0.5276,0.4564,1.0469,60.4464,11.8182,11.8182,28.9854,7.7029,4.586,0.2343,20.1364,13.0925,27.8787,4.8175,4.8175,1.2704,2.6188,42.5584,1.1059,0.747
2018-12-31,0.6226,0.5363,1.2196,57.2885,4.3612,4.3612,10.9663,8.6039,3.342,0.2232,19.1702,13.7427,26.5596,2.7664,2.7664,0.6171,1.2828,38.8323,1.2211,3.3329
2019-12-31,0.6446,0.5355,1.2192,60.8083,14.376,14.376,30.2098,9.1277,10.3993,0.1918,13.294,13.628,26.783,9.0669,9.0669,2.1823,4.2116,42.8084,10.6457,11.1165
2020-12-31,0.4925,0.5518,1.4458,63.6765,8.963,8.963,26.3809,4.1685,5.4426,0.1957,12.1778,7.1238,51.2366,5.4612,5.4612,1.2556,2.4479,42.0921,4.2773,3.9163
