date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-06-30,1.5374,0.2104,0.4222,74.4777,11.5733,11.5733,14.7054,11.3519,6.4666,1.6161,2.0862,8.0865,45.1368,24.2143,45.5242,10.5487,19.1194,3.842,1.0457,0.5435
2006-06-30,1.5136,0.2102,0.3215,73.907,11.0106,11.0106,14.08,9.2175,3.778,1.7081,2.201,8.3815,43.5484,20.0025,35.6789,8.5754,15.7977,3.8305,0.5868,0.4882
2007-06-30,1.4922,0.4616,0.9078,74.7808,10.6558,10.6558,13.7577,10.103,6.3829,1.7058,2.0738,8.1784,44.6298,37.4229,103.3156,10.8757,20.1473,3.085,0.0406,0.1907
2008-06-30,1.6403,0.3947,0.724,74.7586,10.248,10.248,13.5941,9.4036,5.9893,1.5786,2.0227,7.6153,47.9297,29.2766,64.3275,9.6584,17.7199,4.241,0.1587,0.002
2009-06-30,1.996,0.4547,0.8542,74.3084,5.7129,5.7129,10.0426,4.6793,2.9821,1.4148,2.3668,8.5829,42.5264,13.6298,30.0796,4.3813,7.4322,4.2299,0.0096,0.2096
2010-06-30,1.9851,0.3801,0.625,76.5335,10.1324,10.1324,14.1358,8.8291,6.1354,1.4611,2.2132,10.4473,34.9372,24.5446,43.7194,9.0412,15.2158,4.9701,0.6226,0.6562
2011-06-30,1.897,0.2898,0.4602,78.0148,12.3655,12.3655,16.1385,11.6402,7.9546,1.4042,1.9455,9.3168,39.1764,26.5886,45.6361,11.2179,18.8833,6.7087,0.1694,0.0289
2012-06-30,1.8135,0.2801,0.4688,79.4536,13.5038,13.5038,16.7724,12.9828,8.8217,1.4733,2.0291,9.1612,39.842,31.3194,51.3793,13.0517,22.5463,7.0649,0.2858,0.0984
2013-06-30,2.2212,0.2865,0.4071,80.1025,14.9877,14.9877,18.4704,14.4887,10.016,1.425,1.8187,8.6897,42.0038,31.0064,45.486,14.3285,22.1223,8.5102,0.2673,0.1597
2014-06-30,2.3461,0.255,0.3471,80.3242,16.6618,16.6618,20.1681,16.1987,10.9775,1.394,1.6679,7.9524,45.8979,31.2477,42.8926,15.3658,23.2783,10.1059,0.8001,0.6695
2015-06-30,1.9643,0.3039,0.4447,80.5195,14.898,14.898,18.692,14.4805,10.102,1.3103,1.7273,9.1784,39.7674,29.9373,50.1168,13.2978,20.8405,9.7479,1.1322,1.2038
2016-06-30,1.5759,0.3475,0.625,80.634,14.2959,14.2959,17.9808,13.8075,9.9006,1.2211,1.7255,8.9523,40.7716,31.2517,55.6328,12.1544,20.3929,9.7536,0.2872,0.455
2017-06-30,1.7584,0.4346,0.8114,79.4148,14.4114,14.4114,18.3356,13.6756,10.5633,1.0221,1.6457,8.476,43.0628,28.5325,108.3693,10.8575,16.1336,11.9586,0.0485,0.1236
2018-06-30,1.8634,0.4164,0.7524,79.2151,15.0186,15.0186,18.8994,14.4705,8.0976,1.0888,1.7577,9.2017,39.6664,23.7155,74.0716,8.8884,13.8397,12.8287,2.0204,1.6652
2019-06-30,1.5661,0.3963,0.7735,77.2119,15.5621,15.5621,19.3097,15.5218,12.0097,1.1298,1.6884,8.1174,44.965,40.6711,133.8806,13.6364,24.5518,12.2154,0.0239,0.353
2020-06-30,1.7169,0.5536,1.5487,75.1504,4.2395,4.2395,8.5141,7.3178,4.7852,0.8039,1.7226,11.9715,30.489,17.5669,312.1076,3.9143,7.8414,10.9895,0.5812,0.2759
