date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.8306,0.5014,1.0081,21.0526,11.4551,11.4551,16.161,11.8112,8.6223,1.119,7.6006,9.8476,37.065,33.5608,41.6154,9.3712,16.7337,9.8858,4.7005,2.8423
2006-12-31,2.2871,0.4392,0.7846,18.6606,9.6474,9.6474,14.1909,8.7624,6.0333,1.1055,8.085,8.9907,40.5974,21.0449,24.898,6.9635,11.8021,12.1453,1.0406,0.3188
2007-12-31,2.0437,0.4244,0.7719,17.4524,7.3792,7.3792,12.1669,6.8814,4.3924,1.1366,10.4601,10.3799,35.164,15.4179,18.1767,5.342,8.8748,13.0664,0.7024,0.7475
2008-12-31,1.7103,0.4815,0.9369,18.2615,9.2823,9.2823,13.7803,7.7662,5.8288,1.124,7.617,16.7684,21.7672,22.2151,28.0945,6.5329,11.5192,10.7155,0.0662,0.1373
2009-12-31,2.1688,0.5146,1.0601,23.4759,7.848,7.848,14.081,5.778,3.0937,0.7971,6.3352,11.5989,31.4684,10.1785,12.8548,2.7924,4.9406,10.4511,0.8674,0.9253
2010-12-31,1.9131,0.4955,0.9859,24.9743,14.4471,14.4471,19.24,10.6128,7.2749,0.9759,7.2089,8.642,42.2355,25.6915,33.3866,6.983,12.9612,11.5109,1.2731,1.0027
2011-12-31,2.0664,0.4319,0.8406,21.8585,13.0538,13.0538,16.8571,12.2736,8.9997,1.1607,7.2003,10.196,35.7983,31.9306,43.5438,9.8157,18.1411,13.8845,0.4772,1.0878
2012-12-31,1.9787,0.6121,1.5796,21.7477,9.8741,9.8741,14.3175,8.0104,5.3937,0.6919,5.0317,8.1264,44.9155,14.6301,30.2389,3.7831,5.6744,19.6758,3.1978,3.302
2013-12-31,1.932,0.5233,1.0978,29.6898,19.9144,19.9144,24.5455,17.9572,12.4599,0.7894,5.2009,8.5938,42.4727,30.2452,215.8379,9.8945,14.4175,25.4238,0.7221,0.7882
2014-12-31,1.5692,0.6688,2.1028,23.3127,12.1969,12.1969,16.9203,10.3915,7.8829,0.5928,4.8416,7.9392,45.9746,21.0306,19.8632,4.6976,6.9662,24.1593,1.1963,0.444
2015-12-31,1.3998,0.6206,1.7429,26.7413,14.3449,14.3449,20.2633,11.7019,8.7894,0.6193,4.7789,9.2948,39.2693,21.2385,27.137,5.4814,8.0581,27.2127,1.3573,0.8701
2016-12-31,1.5967,0.578,1.431,26.1656,15.4196,15.4196,21.8584,11.6452,9.4805,0.5828,4.7372,7.4385,49.0692,18.6415,36.8353,5.5574,7.867,31.4672,1.5082,1.1246
2017-12-31,1.5858,0.5287,1.1934,24.7461,16.0226,16.0226,22.1699,13.4988,14.4937,0.5968,4.7621,6.8896,52.9783,25.3285,97.7465,8.6755,11.9377,38.3442,2.0087,1.6044
2018-12-31,1.8179,0.502,1.0493,24.4212,15.2891,15.2891,21.2393,12.9051,10.6394,0.6346,4.8465,6.8449,53.3243,18.4417,140.0517,6.7771,9.1841,42.0678,0.5438,0.1427
2019-12-31,1.8563,0.4819,0.9586,24.0915,12.0781,12.0781,18.6671,9.7272,8.1851,0.5793,4.2353,6.744,54.1222,12.6326,185.8537,4.7601,6.5447,44.3719,0.0614,0.6527
2020-12-31,1.7375,0.4631,0.9198,23.3093,8.7454,8.7454,15.5199,6.2552,5.6414,0.5268,4.7121,5.5927,65.2632,8.0059,328.1879,3.0405,4.2981,44.9743,0.1999,0.0629
