date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.3338,0.166,0.2282,100.0,55.178,55.178,73.1866,54.0909,34.4656,0.4686,,4.7649,76.6024,29.8674,29.1819,16.2456,24.3383,8.9152,4.8559,1.419
2006-12-31,1.0758,0.1158,0.131,100.0,48.4532,48.4532,69.2515,48.6845,32.8075,0.4178,,4.6304,78.8269,23.4349,23.2136,13.8254,20.5252,11.2236,0.4184,1.8945
2007-12-31,0.8765,0.145,0.1695,100.0,38.8837,38.8837,64.0186,38.4702,25.5527,0.3507,,4.4811,81.4531,15.6034,15.5923,9.0159,13.3322,14.1773,0.5831,0.9273
2008-12-31,1.1946,0.171,0.2104,100.0,52.8569,52.8569,71.4741,52.5672,34.1859,0.4468,,9.5061,38.3966,27.0333,27.0333,15.2773,22.4095,18.0556,3.3891,1.0462
2009-12-31,1.3671,0.2163,0.2798,100.0,20.281,20.281,52.6436,18.2164,11.4191,0.2642,,5.9213,61.6415,5.4673,5.4673,3.0169,4.2846,19.7975,3.4453,0.375
2010-12-31,1.1384,0.3284,0.5105,100.0,8.5791,8.5791,40.4145,6.6882,2.6337,0.2821,,5.2216,69.9014,1.5702,1.5702,0.7429,1.0545,20.1348,0.4798,3.591
2011-12-31,1.2901,0.2838,0.3963,100.0,20.8699,20.8699,45.7203,18.8601,10.7753,0.4077,,6.852,53.2692,8.6317,8.6317,4.3928,6.182,23.4944,3.276,2.5588
2012-12-31,1.2277,0.3077,0.4751,100.0,12.6666,12.6666,39.7984,10.9628,4.8814,0.4274,,6.9301,52.6688,4.2927,4.2927,2.0861,2.9717,24.4536,1.073,0.2707
2013-12-31,1.4229,0.277,0.3835,100.0,25.3688,25.3688,50.2252,23.7237,15.166,0.4738,,8.708,41.9153,14.2499,14.2499,7.1861,10.3029,28.23,3.7479,3.3776
2014-12-31,1.6003,0.25,0.3337,100.0,29.0642,29.0642,51.2264,27.6974,16.1654,0.5188,,9.7439,37.4592,16.46,16.46,8.3868,12.3454,32.3048,2.3493,0.1131
2015-12-31,1.4249,0.3394,0.5142,100.0,76.3475,76.3475,38.5094,79.0364,51.6649,0.3247,,9.0161,40.4833,34.9571,34.9571,16.7758,23.0938,23.5388,9.1794,4.0166
2016-12-31,1.6698,0.333,0.4997,100.0,16.0154,16.0154,30.4306,20.3579,14.3346,0.2611,,6.227,58.6158,7.8438,7.8438,3.7431,5.2319,24.2441,2.3252,3.8634
2017-12-31,1.2031,0.2703,0.3922,100.0,8.2653,8.2653,38.6837,5.899,23.0416,0.3757,,6.5513,55.714,15.8603,15.8603,8.6568,11.5738,28.1486,3.1076,0.9825
2018-12-31,1.3565,0.2107,0.3142,100.0,25.8712,25.8712,45.7573,24.5494,19.7914,0.5091,,7.3728,49.5063,17.6565,17.6565,10.0754,13.9357,33.3852,6.0134,2.6714
2019-12-31,1.1753,0.1613,0.2392,100.0,21.2832,21.2832,42.858,20.3986,15.736,0.4682,,8.0712,45.2223,12.6378,12.6378,7.3668,10.5998,37.1889,0.6716,0.0684
2020-12-31,1.6942,0.1987,0.2865,100.0,4.9312,4.9312,25.8913,6.6992,5.4801,0.3081,,7.1391,51.1267,2.9779,2.9779,1.6885,2.3861,34.7891,5.4058,0.2419
