date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,1.2027,0.5432,1.2108,24.7423,2.941,2.941,5.9981,5.9378,3.4506,0.5845,26.7655,8.1487,44.7922,10.5754,11.3782,2.0441,4.61,16.6124,3.3516,2.5384
2006-12-31,1.2693,0.5039,1.0175,32.6693,3.431,3.431,10.1236,0.9039,6.8421,0.6085,26.6318,19.0412,19.169,4.7508,5.0608,1.1761,2.2628,18.896,0.7108,0.4789
2007-12-31,1.0664,0.5348,1.2267,42.4503,9.2659,9.2659,17.9741,6.1982,4.2335,0.5027,15.8913,14.025,26.025,8.6297,9.169,2.1711,3.8604,19.5385,1.0053,2.5256
2008-12-31,0.8838,0.5668,1.5228,48.3426,10.1854,10.1854,21.7343,6.4145,4.497,0.4146,9.9856,8.3006,43.9727,8.8199,9.3505,1.9043,3.6795,20.1273,2.5631,1.694
2009-12-31,1.2945,0.5488,1.2613,51.6564,13.8135,13.8135,23.7571,9.4778,6.0674,0.3869,9.4903,10.0661,36.2602,9.3796,9.8515,2.3873,4.0991,21.0346,1.5282,4.3177
2010-12-31,1.1203,0.5411,1.264,58.464,16.3304,16.3304,29.063,12.3417,7.9203,0.3384,8.3367,7.9868,45.7003,10.3369,10.8234,2.7231,4.6031,22.2662,0.455,0.317
2011-12-31,0.697,0.5276,1.2739,62.8741,17.7841,17.7841,28.1562,12.7969,8.8384,0.2854,6.6594,9.1509,39.8868,9.9739,10.4185,2.5597,4.579,23.3227,0.7242,1.3839
2012-12-31,0.6113,0.4339,0.9671,66.7766,17.8235,17.8235,29.6312,12.879,8.3832,0.2217,7.7858,7.9132,46.1253,5.7711,9.0764,1.8835,3.2127,29.9077,1.2804,0.5208
2013-12-31,0.6371,0.4433,0.9627,65.9925,20.9477,20.9477,32.7222,16.7182,10.7654,0.2627,8.1883,9.3363,39.0946,8.2577,12.7037,2.8555,4.524,30.9797,1.0837,1.7727
2014-12-31,0.859,0.462,0.9794,60.9712,21.0912,21.0912,29.1688,16.7319,10.5859,0.2603,8.6413,6.4859,56.2764,8.2899,12.808,2.7809,4.4597,31.4743,0.0565,0.5018
2015-12-31,0.8759,0.4596,0.9849,61.1946,22.1773,22.1773,30.8286,17.9259,11.0434,0.2601,9.1742,7.3599,49.5933,8.5586,12.9669,2.8973,4.6248,32.6372,0.7019,1.0639
2016-12-31,0.6809,0.4518,1.0037,67.2629,24.1032,24.1032,34.4075,19.6988,12.3352,0.2383,7.6078,9.0158,40.4843,8.8671,13.206,2.9633,4.8606,33.8031,2.4318,1.6385
2017-12-31,0.693,0.5151,1.2099,67.2951,24.3584,24.3584,35.5012,20.3098,12.7451,0.214,11.3657,8.3797,43.5575,8.9797,14.95,2.7485,4.3544,34.985,0.6576,1.8331
2018-12-31,0.5573,0.5161,1.2184,62.8445,20.1218,20.1218,32.8104,15.737,12.2275,0.2209,13.1866,8.4987,42.9476,9.0584,14.7392,2.7209,4.3838,36.2491,0.5202,1.2187
2019-12-31,0.6697,0.5216,1.1866,64.3444,18.6536,18.6536,31.3277,13.9574,10.6615,0.2073,12.911,8.618,42.3534,7.2571,11.174,2.2288,3.4718,38.2865,0.4662,0.4676
2020-12-31,0.6369,0.5182,1.2393,66.4455,22.3342,22.3342,35.3509,17.5067,13.5345,0.1932,11.2494,7.4456,49.022,8.6229,12.6091,2.6306,4.1545,41.0072,1.2717,0.916
