date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,0.8647,0.5209,1.1569,66.637,18.994,18.994,29.8342,12.3403,8.5039,0.3039,5.188,12.5382,29.111,9.5246,9.3825,2.5886,4.495,16.5537,4.0745,1.6243
2006-12-31,0.8093,0.5013,1.1072,69.8608,19.1046,19.1046,31.804,13.8018,10.2345,0.2944,3.2715,8.2345,44.3255,10.6918,10.5456,3.0303,5.2593,17.9366,1.1493,2.6205
2007-12-31,0.8965,0.5207,1.1837,68.4729,19.5381,19.5381,32.1519,13.4462,9.6931,0.27,2.8277,6.4701,56.4137,9.1883,9.082,2.6324,4.3532,19.418,0.2032,4.4848
2008-12-31,0.8518,0.5114,1.1921,62.2431,15.4783,15.4783,28.0735,9.9008,9.6341,0.2471,3.3987,7.8063,46.757,8.1486,8.0695,2.3933,3.9429,20.3819,0.0778,0.6731
2009-12-31,0.9223,0.5342,1.2547,71.2165,19.1011,19.1011,34.4014,10.7726,9.3694,0.2469,2.7594,7.1091,51.3423,6.2943,6.2348,1.878,2.904,20.7825,1.7235,5.4543
2010-12-31,0.7685,0.5346,1.2554,71.6288,22.997,22.997,38.1796,14.2817,9.8691,0.2545,2.82,8.4139,43.3808,8.7329,8.6553,2.5821,4.028,21.4966,1.0762,1.3056
2011-12-31,0.7659,0.4946,1.0907,64.8567,23.6035,23.6035,38.6486,15.6391,10.525,0.25,3.33,9.3673,38.9652,8.4978,8.4328,2.7201,4.2623,22.2815,1.5324,2.5904
2012-12-31,0.76,0.5111,1.1707,66.5467,24.857,24.857,38.9244,18.0678,12.0608,0.2441,3.0381,10.0761,36.2243,9.7057,9.7057,3.0486,4.7455,23.0052,0.8096,0.321
2013-12-31,0.7398,0.5076,1.1653,65.6888,24.4315,24.4315,37.2944,17.91,12.305,0.247,3.3961,9.4813,38.497,9.8048,9.8048,3.1349,4.8275,23.9254,0.7568,1.0611
2014-12-31,0.7879,0.5039,1.1023,64.4704,24.3286,24.3286,36.905,18.2033,12.0102,0.2529,3.7363,9.7323,37.504,9.7636,9.7636,3.1327,4.8434,25.0694,0.8693,0.3962
2015-12-31,0.8569,0.4735,0.9751,67.8709,25.2524,25.2524,39.5629,18.4533,11.8711,0.2297,2.6224,9.5211,38.336,8.2189,8.2189,2.819,4.3274,25.9773,1.1583,0.3195
2016-12-31,0.7338,0.4773,1.0483,71.0277,27.415,27.415,42.875,21.0452,13.528,0.223,2.4733,8.4956,42.9633,9.423,9.423,3.1444,4.9256,27.0341,0.4518,2.1006
2017-12-31,0.8826,0.494,1.0551,69.296,26.4022,26.4022,43.5395,18.7087,12.5982,0.2212,2.6887,8.8442,41.2701,8.7167,8.7167,2.8948,4.4106,27.1679,0.7597,3.026
2018-12-31,0.5863,0.401,0.8535,68.6943,21.834,21.834,38.3498,14.0228,12.5307,0.167,2.6196,6.8229,53.4965,5.4651,7.1356,2.133,3.2738,39.1292,0.5954,0.9609
2019-12-31,0.6283,0.5064,1.1644,70.5447,23.0351,23.0351,41.6527,15.0122,13.0133,0.1982,3.1485,7.8833,46.3004,8.0231,11.0426,2.6394,3.9605,37.7041,0.2947,0.2469
2020-12-31,0.6895,0.5132,1.1838,72.2758,23.2812,23.2812,43.3061,14.7332,12.584,0.1812,2.7001,7.0514,51.7629,7.226,9.8717,2.3235,3.5177,38.4351,0.4185,1.3959
