date,current_ratio,longterm_debt_to_capital,debt_to_equity_ratio,gross_margin,operating_margin,ebit_margin,ebitda_margin,pretax_profit_margin,net_profit_margin,asset_turnover,inventory_turnover_ratio,receiveable_turnover,days_sales_in_receivables,roe__return_on_equity,return_on_tangible_equity,roa__return_on_assets,roi__return_on_investment,book_value_per_share,operating_cash_flow_per_share,free_cash_flow_per_share
2005-12-31,,0.6435,1.8053,,24.0143,24.0143,49.4715,4.0081,3.6859,0.0949,,,,1.0343,1.0343,0.3497,0.3687,9.275,0.4922,2.3743
2006-12-31,,0.5957,1.4733,,30.2397,30.2397,50.2824,8.0405,7.5412,0.1181,,,,2.3115,2.3115,0.8909,0.9346,10.0294,0.8045,0.1283
2007-12-31,,0.6804,2.1289,,35.0816,35.0816,53.1294,14.7744,12.651,0.1163,,,,5.6928,5.6928,1.7181,1.8194,9.4236,0.147,0.4491
2008-12-31,,0.5761,1.3591,,33.9023,33.9023,53.3947,16.0847,13.1195,0.119,,,,4.5785,4.5785,1.8921,1.9408,11.0362,0.249,0.6193
2009-12-31,,0.5972,1.4827,,25.6606,25.6606,45.7501,15.4894,11.4144,0.1164,,,,4.1315,4.1315,1.6238,1.6641,10.9109,0.3036,0.9491
2010-12-31,,0.5704,1.3278,,32.2615,32.2615,51.6943,13.3344,9.3539,0.1251,,,,3.5539,3.5539,1.4834,1.5267,10.7216,0.2476,0.3694
2011-12-31,,0.5595,1.27,,35.0108,35.0108,54.2925,18.0633,15.2955,0.131,,,,5.441,5.441,2.3207,2.3969,11.3285,0.401,0.8124
2012-12-31,,0.5052,1.0209,,38.408,38.408,58.0326,32.5118,28.6542,0.127,,,,8.2629,8.2629,3.9612,4.0888,13.955,0.5407,3.1156
2013-12-31,,0.5019,1.0076,,41.0061,41.0061,60.4503,37.5596,33.0526,0.1309,,,,9.6049,9.6049,4.6656,4.7842,16.6894,0.3179,3.038
2014-12-31,,0.5514,1.229,,43.0296,43.0296,61.83,31.4401,27.5599,0.1477,,,,10.2457,10.2457,4.4705,4.5966,16.4316,0.3816,0.8511
2015-12-31,,0.5984,1.4902,,37.6668,37.6668,55.7214,28.2107,24.2211,0.1288,,,,8.8315,8.8315,3.4512,3.5465,19.1154,0.1143,1.4735
2016-12-31,,0.6239,1.6587,,46.2057,46.2057,65.9141,41.6319,36.9126,0.1399,,,,15.2952,15.2952,5.5995,5.7529,20.624,1.3874,3.9599
2017-12-31,,0.6257,1.672,,59.2207,59.2207,77.8255,46.8636,43.3492,0.1481,,,,18.8788,18.8788,6.8922,7.0654,21.6163,0.1712,5.7026
2018-12-31,,0.6333,1.7274,,51.7885,51.7885,70.4526,38.1349,34.7056,0.1525,,,,16.0507,16.0507,5.6968,5.885,21.9145,0.6373,0.178
2019-12-31,,0.6333,1.7272,,48.5274,48.5274,66.2464,35.3418,32.0964,0.1534,,,,15.4405,15.4405,5.2872,5.6616,22.5554,0.0969,0.4632
2020-12-31,,0.6618,1.9571,,49.1177,49.1177,66.3591,39.1821,35.5239,0.1443,,,,17.6281,17.6281,5.5086,5.9613,22.3521,0.7646,0.9894
